SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
47.341    -35   -0.176  0.000  0.319  2.498  0.803  0.401  0.082  0.004
22.526    -35   -0.176  0.000  0.319  -6.732  -1.363  0.119  0.071  0.005
-10.925    -34   -0.176  0.000  0.319  -12.936  -2.610  0.133  0.050  0.006
-42.886    -34   -0.176  0.000  0.319  -15.369  -3.070  0.148  0.026  0.007
-78.629    -33   -0.176  0.000  0.319  -19.792  -4.189  -0.107  -0.008  0.006
-116.240    -34   -0.176  0.000  0.319  -23.652  -5.105  -0.278  -0.049  0.004
-124.603     -8   -0.176  0.000  0.319  -13.860  -2.938  -0.162  -0.072  0.002
-16.959     -8   -0.176  0.000  0.319  37.624  7.744  -0.078  -0.010  0.002
127.131     -4   -0.176  0.000  0.319  63.954  12.935  -0.229  0.093  -0.000
75.725     -3   -0.176  0.000  0.319  -11.429  -2.190  0.284  0.076  0.002
14.266     -3   -0.176  0.000  0.319  -20.238  -4.478  -0.247  0.040  0.000
-17.291     -3   -0.176  0.000  0.319  -12.232  -2.774  -0.226  0.018  -0.002
-10.127     -3   -0.176  0.000  0.319  2.615  0.145  -0.390  0.019  -0.005
37.997     -7   -0.176  0.000  0.319  21.797  4.179  -0.285  0.052  -0.007
98.319     -7   -0.176  0.000  0.319  31.129  6.702  0.400  0.106  -0.004
119.572     -7   -0.176  0.000  0.319  19.031  3.926  0.155  0.137  -0.003
90.957     -7   -0.176  0.000  0.319  -1.549  -0.367  0.124  0.134  -0.002
38.598    -10   -0.176  0.000  0.319  -14.600  -3.331  -0.181  0.108  -0.003
24.849    -10   -0.176  0.000  0.319  -1.416  -1.037  -0.649  0.099  -0.008
33.857    -30   -0.176  0.000  0.319  7.268  1.380  0.016  0.110  -0.008
108.453    -34   -0.176  0.000  0.319  37.358  7.801  0.283  0.173  -0.006
71.179    -33   -0.176  0.000  0.319  -6.562  -1.142  0.442  0.164  -0.002
25.914    -33   -0.176  0.000  0.319  -13.366  -2.901  0.045  0.141  -0.002
-67.726    -34   -0.176  0.000  0.319  -39.291  -8.174  0.070  0.075  -0.001
-120.402    -34   -0.176  0.000  0.319  -29.089  -6.256  -0.201  0.025  -0.003
-135.378    -35   -0.176  0.000  0.319  -16.794  -3.659  -0.186  -0.004  -0.004
-133.544    -35   -0.176  0.000  0.319  -10.825  -2.065  0.168  -0.021  -0.003
-159.993    -10   -0.176  0.000  0.319  -23.396  -4.706  0.083  -0.058  -0.002
-233.272     -5   -0.176  0.000  0.319  -46.993  -9.433  0.163  -0.134  -0.001
-284.006     -2   -0.176  0.000  0.319  -43.809  -8.426  0.439  -0.201  0.002
-282.836     23   -0.176  0.000  0.319  -24.922  -4.773  0.110  -0.239  0.003
-264.032     25   -0.176  0.000  0.319  -16.469  -3.446  -0.372  -0.267  0.000
-206.153     26   -0.176  0.000  0.319  2.630  0.882  0.025  -0.260  0.001
-111.172     26   -0.176  0.000  0.319  24.419  5.491  0.175  -0.216  0.002
-2.527     26   -0.176  0.000  0.319  39.355  8.234  -0.115  -0.150  0.001
83.507     25   -0.176  0.000  0.319  39.111  8.049  -0.174  -0.086  -0.000
120.190     25   -0.176  0.000  0.319  24.538  5.189  0.050  -0.044  -0.000
137.290     25   -0.176  0.000  0.319  19.604  3.539  -0.571  -0.016  -0.005
129.680     23   -0.176  0.000  0.319  9.887  1.912  -0.140  -0.001  -0.006
104.663      2   -0.176  0.000  0.319  1.192  0.340  0.107  0.002  -0.005
76.280      2   -0.176  0.000  0.319  -2.329  -0.693  -0.218  -0.003  -0.007
50.271     -1   -0.176  0.000  0.319  -3.925  -0.815  -0.005  -0.010  -0.007
25.578     -4   -0.176  0.000  0.319  -5.792  -1.081  0.111  -0.019  -0.006
9.079     -5   -0.176  0.000  0.319  -4.434  -0.746  0.158  -0.025  -0.004
-1.749     -5   -0.176  0.000  0.319  -3.203  -0.729  -0.100  -0.030  -0.005
-35.055     -2   -0.176  0.000  0.319  -14.588  -2.732  0.248  -0.052  -0.003
-43.650     -4   -0.176  0.000  0.319  -6.561  -1.085  0.217  -0.061  -0.002
-24.940     -6   -0.176  0.000  0.319  5.380  0.856  -0.337  -0.054  -0.004
10.067     -6   -0.176  0.000  0.319  14.153  3.066  0.105  -0.030  -0.003
39.933     -4   -0.176  0.000  0.319  15.008  3.159  0.048  -0.004  -0.003
28.519     -3   -0.176  0.000  0.319  -0.803  -0.218  -0.058  -0.006  -0.003
1.112     -3   -0.176  0.000  0.319  -9.334  -1.646  0.283  -0.019  -0.001
-3.209     -5   0.000  0.000  0.000  -3.624  -0.335  0.410  -0.022  0.002
-3.511     -5   0.000  0.000  0.000  0.183  0.263  0.209  -0.020  0.004
7.211     -5   0.000  0.000  0.000  4.242  0.680  -0.232  -0.014  0.002
9.950     -4   0.000  0.000  0.000  1.675  0.462  0.104  -0.011  0.003
14.245     -3   0.000  0.000  0.000  2.382  0.794  0.305  -0.004  0.005
13.354     -5   0.000  0.000  0.000  0.910  -0.133  -0.350  -0.005  0.002
-4.007     -5   0.000  0.000  0.000  -6.803  -1.337  0.055  -0.016  0.003
11.958     -5   0.000  0.000  0.000  6.880  1.217  -0.231  -0.006  0.001
26.133     -6   0.000  0.000  0.000  7.549  1.420  -0.147  0.005  -0.000
0.900     -6   0.000  0.000  0.000  -9.055  -1.797  0.074  -0.009  0.000
37.002     -6   0.000  0.000  0.000  16.219  3.443  0.105  0.018  0.001
79.735     -5   0.000  0.000  0.000  23.035  4.198  -0.542  0.052  -0.003
