vel_hum: -0.0045, vel_exo: 0.0106, acc_hum: 0.0621, acc_exo: -0.0246, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0043, vel_exo: 0.0106, acc_hum: 0.0192, acc_exo: -0.0011, tht_c: 0.0000, tht_l: 0.0068
vel_hum: -0.0043, vel_exo: 0.0106, acc_hum: 0.0192, acc_exo: -0.0011, tht_c: 0.0000, tht_l: 0.0068
vel_hum: -0.0045, vel_exo: 0.0113, acc_hum: -0.0138, acc_exo: 0.0721, tht_c: 0.0000, tht_l: 0.0054
vel_hum: -0.0045, vel_exo: 0.0113, acc_hum: -0.0138, acc_exo: 0.0721, tht_c: 0.0000, tht_l: 0.0054
vel_hum: -0.0038, vel_exo: 0.0118, acc_hum: 0.0683, acc_exo: 0.0486, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0038, vel_exo: 0.0118, acc_hum: 0.0683, acc_exo: 0.0486, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0031, vel_exo: 0.0115, acc_hum: 0.0726, acc_exo: -0.0299, tht_c: 0.0000, tht_l: 0.0049
vel_hum: -0.0031, vel_exo: 0.0115, acc_hum: 0.0726, acc_exo: -0.0299, tht_c: 0.0000, tht_l: 0.0049
vel_hum: -0.0033, vel_exo: 0.0114, acc_hum: -0.0249, acc_exo: -0.0102, tht_c: 0.0000, tht_l: 0.0052
vel_hum: -0.0033, vel_exo: 0.0114, acc_hum: -0.0249, acc_exo: -0.0102, tht_c: 0.0000, tht_l: 0.0052
vel_hum: -0.0035, vel_exo: 0.0118, acc_hum: -0.0235, acc_exo: 0.0450, tht_c: 0.0000, tht_l: 0.0054
vel_hum: -0.0035, vel_exo: 0.0118, acc_hum: -0.0235, acc_exo: 0.0450, tht_c: 0.0000, tht_l: 0.0054
vel_hum: -0.0031, vel_exo: 0.0115, acc_hum: 0.0453, acc_exo: -0.0336, tht_c: 0.0000, tht_l: 0.0062
vel_hum: -0.0031, vel_exo: 0.0115, acc_hum: 0.0453, acc_exo: -0.0336, tht_c: 0.0000, tht_l: 0.0062
vel_hum: -0.0037, vel_exo: 0.0107, acc_hum: -0.0626, acc_exo: -0.0782, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0037, vel_exo: 0.0107, acc_hum: -0.0626, acc_exo: -0.0782, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0049, vel_exo: 0.0107, acc_hum: -0.1206, acc_exo: 0.0003, tht_c: 0.0000, tht_l: 0.0061
vel_hum: -0.0049, vel_exo: 0.0107, acc_hum: -0.1206, acc_exo: 0.0003, tht_c: 0.0000, tht_l: 0.0061
vel_hum: -0.0056, vel_exo: 0.0109, acc_hum: -0.0715, acc_exo: 0.0199, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0056, vel_exo: 0.0109, acc_hum: -0.0715, acc_exo: 0.0199, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0049, vel_exo: 0.0108, acc_hum: 0.0716, acc_exo: -0.0088, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0049, vel_exo: 0.0108, acc_hum: 0.0716, acc_exo: -0.0088, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0040, vel_exo: 0.0107, acc_hum: 0.0883, acc_exo: -0.0110, tht_c: 0.0000, tht_l: 0.0087
vel_hum: -0.0040, vel_exo: 0.0107, acc_hum: 0.0883, acc_exo: -0.0110, tht_c: 0.0000, tht_l: 0.0087
vel_hum: -0.0037, vel_exo: 0.0104, acc_hum: 0.0301, acc_exo: -0.0273, tht_c: 0.0000, tht_l: 0.0088
vel_hum: -0.0037, vel_exo: 0.0104, acc_hum: 0.0301, acc_exo: -0.0273, tht_c: 0.0000, tht_l: 0.0088
vel_hum: -0.0042, vel_exo: 0.0103, acc_hum: -0.0499, acc_exo: -0.0156, tht_c: 0.0000, tht_l: 0.0100
