0.004000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.008000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0014,-0.0118
0.011000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0007,0.0458,0.0033,-0.0275
0.014000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0007,-0.0000,0.0066,-0.0510
0.017001,0.0000,0.0000,0.0000,0.0004,0.0000,0.0004,-0.0000,0.0091,-0.0665
0.020001,0.0001,0.0000,0.0000,0.0007,0.0000,0.0004,0.0000,0.0106,-0.0774
0.023001,0.0001,0.0000,0.0000,0.0009,0.0000,0.0002,0.0000,0.0113,-0.0813
0.026001,0.0001,0.0000,0.0000,0.0012,0.0000,0.0004,0.0233,0.0118,-0.0861
0.029001,0.0001,0.0000,0.0000,0.0015,0.0000,0.0004,0.0000,0.0129,-0.0938
0.032001,0.0001,0.0000,0.0000,0.0018,0.0000,0.0006,-0.0000,0.0143,-0.1050
0.035002,0.0001,0.0000,0.0000,0.0022,0.0000,0.0006,0.0000,0.0160,-0.1172
0.038002,0.0001,0.0000,0.0000,0.0026,0.0000,0.0010,0.0000,0.0189,-0.1408
0.041002,0.0002,0.0000,0.0000,0.0031,0.0000,0.0011,0.0058,0.0219,-0.1630
0.044002,0.0002,0.0001,0.0000,0.0037,0.0001,0.0011,0.0000,0.0248,-0.1840
0.047002,0.0002,0.0001,0.0000,0.0043,0.0001,0.0009,0.0000,0.0270,-0.1990
0.050002,0.0002,0.0001,0.0000,0.0050,0.0001,0.0009,0.0000,0.0283,-0.2096
0.053003,0.0003,0.0001,0.0000,0.0057,0.0001,0.0011,0.0000,0.0300,-0.2238
0.056003,0.0003,0.0001,0.0000,0.0065,0.0001,0.0014,0.0396,0.0317,-0.2385
0.059003,0.0003,0.0001,0.0000,0.0073,0.0002,0.0014,0.0000,0.0341,-0.2570
0.062003,0.0004,0.0002,0.0000,0.0081,0.0002,0.0014,0.0008,0.0359,-0.2722
0.065003,0.0004,0.0002,0.0000,0.0090,0.0002,0.0014,0.0000,0.0373,-0.2839
0.068003,0.0004,0.0002,0.0000,0.0099,0.0003,0.0013,0.0000,0.0379,-0.2892
0.071004,0.0004,0.0002,0.0000,0.0108,0.0003,0.0013,0.0000,0.0375,-0.2893
0.074004,0.0005,0.0003,0.0000,0.0117,0.0003,0.0011,0.0000,0.0360,-0.2807
0.077004,0.0005,0.0003,0.0000,0.0125,0.0004,0.0009,-0.0278,0.0337,-0.2661
0.080004,0.0005,0.0003,0.0000,0.0133,0.0004,0.0009,0.0000,0.0300,-0.2432
0.084004,0.0005,0.0004,0.0000,0.0139,0.0005,0.0010,0.0000,0.0259,-0.2179
0.087005,0.0006,0.0004,0.0000,0.0145,0.0006,0.0010,0.0000,0.0215,-0.1905
0.090005,0.0006,0.0005,0.0000,0.0149,0.0006,0.0008,0.0000,0.0160,-0.1544
0.093005,0.0006,0.0005,0.0000,0.0152,0.0007,0.0004,-0.0485,0.0098,-0.1125
0.097005,0.0006,0.0006,0.0000,0.0153,0.0008,0.0004,0.0000,0.0019,-0.0612
0.101005,0.0006,0.0006,0.0000,0.0152,0.0008,0.0004,0.0000,-0.0058,-0.0115
0.104005,0.0006,0.0007,0.0000,0.0150,0.0009,0.0004,0.0000,-0.0133,0.0366
0.107006,0.0006,0.0007,0.0000,0.0145,0.0010,0.0007,0.0000,-0.0195,0.0748
0.110006,0.0007,0.0007,0.0000,0.0140,0.0011,0.0008,0.0142,-0.0252,0.1098
0.113006,0.0007,0.0008,0.0000,0.0133,0.0011,0.0008,0.0000,-0.0300,0.1396
0.116006,0.0007,0.0008,0.0000,0.0125,0.0012,0.0008,0.0000,-0.0344,0.1666
0.119006,0.0007,0.0009,0.0000,0.0116,0.0013,0.0008,0.0000,-0.0384,0.1904
0.122007,0.0007,0.0009,0.0000,0.0107,0.0013,0.0010,0.0000,-0.0410,0.2041
0.125007,0.0008,0.0009,0.0000,0.0096,0.0014,0.0010,0.0000,-0.0428,0.2137
0.128007,0.0008,0.0010,0.0001,0.0086,0.0014,0.0011,0.0000,-0.0434,0.2136
0.131007,0.0008,0.0010,0.0001,0.0076,0.0015,0.0007,-0.0601,-0.0435,0.2144
0.134007,0.0008,0.0010,0.0001,0.0065,0.0015,0.0007,0.0000,-0.0449,0.2215
0.137007,0.0009,0.0010,0.0001,0.0054,0.0016,0.0005,0.0000,-0.0460,0.2278
0.140008,0.0009,0.0010,0.0001,0.0043,0.0016,0.0005,0.0000,-0.0467,0.2314
0.143008,0.0009,0.0010,0.0001,0.0032,0.0016,0.0009,0.0000,-0.0454,0.2180
0.146008,0.0009,0.0010,0.0001,0.0021,0.0016,0.0008,-0.0090,-0.0430,0.2010
0.149008,0.0009,0.0011,0.0001,0.0011,0.0017,0.0008,0.0000,-0.0404,0.1813
0.152008,0.0009,0.0011,0.0001,0.0002,0.0017,0.0005,0.0000,-0.0379,0.1652
0.155008,0.0009,0.0011,0.0001,-0.0007,0.0017,0.0005,0.0000,-0.0356,0.1491
0.158009,0.0010,0.0011,0.0001,-0.0015,0.0017,0.0003,0.0000,-0.0332,0.1329
0.161009,0.0010,0.0010,0.0001,-0.0022,0.0017,0.0006,0.0276,-0.0302,0.1111
0.169009,0.0010,0.0010,0.0001,-0.0029,0.0016,0.0006,-0.0000,-0.0259,0.0814
0.173009,0.0010,0.0010,0.0001,-0.0034,0.0016,0.0006,0.0000,-0.0212,0.0492
