acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
0.010  -0.249  0.001  -0.025  0.100  -2.487  18.276  0.000  0.000  0.000  0.000  0.000
0.041  -0.221  0.004  -0.024  0.405  -2.014  32.924  0.000  0.000  0.000  0.000  0.000
-0.003  -0.197  0.000  -0.023  -0.071  -1.605  36.367  0.000  0.000  0.000  0.000  0.000
0.049  -0.171  0.005  -0.022  0.458  -1.225  42.349  0.000  0.000  0.000  0.000  0.000
0.046  -0.132  0.005  -0.020  0.386  -0.738  42.895  0.000  0.000  0.000  0.000  0.000
0.044  -0.115  0.006  -0.019  0.342  -0.502  41.162  0.000  0.000  0.000  0.000  0.000
0.027  -0.135  0.004  -0.022  0.136  -0.664  38.545  0.000  0.000  0.000  0.000  0.000
0.006  -0.099  0.002  -0.020  -0.077  -0.247  31.141  0.000  0.000  0.000  0.000  0.000
0.043  -0.084  0.006  -0.019  0.291  -0.084  28.197  0.000  0.000  0.000  0.000  0.000
-0.015  -0.071  0.001  -0.018  -0.308  0.053  18.152  0.000  0.000  0.000  0.000  0.000
0.009  -0.076  0.003  -0.019  -0.043  -0.004  13.480  0.000  0.000  0.000  0.000  0.000
-0.028  -0.030  -0.001  -0.015  -0.412  0.460  2.388  0.000  0.000  0.000  0.000  0.000
-0.005  -0.022  0.001  -0.015  -0.145  0.509  -3.815  0.000  0.000  0.000  0.000  0.000
-0.024  -0.032  -0.001  -0.016  -0.324  0.360  -9.743  0.000  0.000  0.000  0.000  0.000
-0.011  -0.025  0.000  -0.016  -0.172  0.404  -13.093  0.000  0.000  0.000  0.000  0.000
0.003  -0.035  0.002  -0.017  -0.017  0.273  -13.119  0.000  0.000  0.000  0.000  0.000
-0.017  -0.011  -0.000  -0.015  -0.211  0.495  -16.846  0.000  0.000  0.000  0.000  0.000
0.008  -0.001  0.002  -0.014  0.058  0.547  -17.162  0.000  0.000  0.000  0.000  0.000
-0.049  0.001  -0.003  -0.014  -0.523  0.525  -23.760  0.000  0.000  0.000  0.000  0.000
-0.009  0.041  0.000  -0.010  -0.076  0.886  -26.505  0.000  0.000  0.000  0.000  0.000
-0.042  -0.012  -0.003  -0.014  -0.407  0.287  -28.242  0.000  0.000  0.000  0.000  0.000
-0.022  0.011  -0.002  -0.012  -0.173  0.495  -28.438  0.000  0.000  0.000  0.000  0.000
-0.037  0.033  -0.003  -0.010  -0.303  0.669  -31.244  0.000  0.000  0.000  0.000  0.000
-0.026  0.015  -0.002  -0.012  -0.178  0.442  -30.490  0.000  0.000  0.000  0.000  0.000
