CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.109006  0.008  0.000  -0.000   0.00     -3  -0.000
0.110006  0.008  -0.000  -0.000   0.00     -3  -0.000
0.111006  0.008  -0.000  -0.000   0.00     -3  -0.000
0.112006  0.009  -0.000  -0.000   0.00     -3  -0.000
0.113006  0.009  -0.000  -0.000   0.00     -3  -0.000
0.114006  0.009  -0.000  -0.000   0.00     -3  -0.000
0.115006  0.010  -0.000  -0.000   0.00     -3  -0.000
0.116006  0.010  -0.000  -0.000   0.00     -3  -0.000
0.117006  0.010  -0.000  -0.000   0.00     -3  -0.000
0.118006  0.010  -0.000  -0.000   0.00     -3  -0.000
0.119006  0.011  -0.000  -0.000   0.00     -3  -0.000
0.120006  0.011  -0.000  -0.000   0.00     -3  -0.000
0.121006  0.011  -0.000  -0.000   0.00     -3  -0.000
0.122007  0.011  -0.000  -0.000   0.00     -3  -0.000
0.123007  0.011  -0.000  -0.000   0.00     -3  -0.000
0.124007  0.012  -0.000  -0.000   0.00     -3  -0.000
0.125007  0.012  -0.000  -0.000   0.00     -3  -0.000
0.126007  0.012  -0.000  -0.000   0.00     -3  -0.000
0.127007  0.012  -0.000  -0.000   0.00     -3  -0.000
0.128007  0.012  -0.000  -0.000   0.00     -3  -0.000
0.129007  0.012  -0.000  -0.000   0.00     -3  -0.000
0.130007  0.013  -0.000  -0.000   0.00     -3  -0.000
0.132007  0.013  -0.000  -0.000   0.00     -3  -0.000
0.133007  0.013  -0.000  -0.000   0.00     -3  -0.000
0.134007  0.013  -0.000  -0.000   0.00     -3  -0.000
0.135007  0.013  0.000  -0.000   0.00     -1  -0.000
0.136007  0.013  0.000  -0.000   0.00     -1  -0.000
0.137007  0.013  -0.000  -0.000   0.00     -1  -0.000
0.138007  0.013  -0.000  -0.000   0.00     -1  -0.000
0.139007  0.013  -0.000  -0.000   0.00     -1  -0.000
0.140008  0.013  -0.000  -0.000   0.00     -3  -0.000
0.141008  0.014  -0.000  -0.000   0.00     -3  -0.000
0.142008  0.014  -0.000  -0.000   0.00     -3  -0.000
0.143008  0.014  0.000  -0.000   0.00     -3  -0.000
0.144008  0.014  0.000  -0.000   0.00     -3  -0.000
0.145008  0.014  0.000  -0.000   0.00     -3  -0.000
0.146008  0.014  0.000  -0.000   0.00     -3  -0.000
0.148008  0.014  0.000  -0.000   0.00     -3  -0.000
0.149008  0.014  0.000  -0.000   0.00     -3  -0.000
0.150008  0.014  0.000  -0.000   0.00     -3  -0.000
0.151008  0.014  0.000  -0.000   0.00     -3  -0.000
0.152008  0.014  0.000  -0.000   0.00     -3  -0.000
0.153008  0.014  0.000  -0.000   0.00     -3  -0.000
0.154008  0.014  0.000  -0.000   0.00     -3  -0.000
0.155008  0.014  0.000  -0.000   0.00     -3  -0.000
0.156008  0.014  0.000  -0.000   0.00     -3  -0.000
0.157009  0.014  0.000  -0.000   0.00     -2  -0.000
0.158009  0.014  0.000  -0.000   0.00     -2  -0.000
0.159009  0.014  -0.000  -0.000   0.00     -2  -0.000
0.160009  0.014  -0.000  -0.000   0.00     -2  -0.000
0.161009  0.014  -0.000  -0.000   0.00     -2  -0.000
0.162009  0.014  -0.000  -0.000   0.00     -3  -0.000
0.164009  0.014  -0.000  -0.000   0.00     -3  -0.000
0.165009  0.014  -0.000  -0.000   0.00     -3  -0.000
0.166009  0.014  0.000  -0.000   0.00     -3  -0.000
0.168009  0.014  0.000  -0.000   0.00     -3  -0.000
0.170009  0.014  0.000  -0.000   0.00     -3  -0.000
0.171009  0.014  0.000  -0.000   0.00     -3  -0.000
0.173009  0.014  0.000  -0.000   0.00     -2  -0.000
0.174009  0.014  0.000  -0.000   0.00     -2  -0.000
0.175010  0.014  -0.000  -0.000   0.00     -2  -0.000
0.176010  0.014  -0.000  -0.000   0.00     -2  -0.000
0.177010  0.014  -0.000  -0.000   0.00     -2  -0.000
0.178010  0.014  -0.000  -0.000   0.00     -2  -0.000
0.179010  0.014  -0.000  -0.000   0.00     -4  -0.000
0.180010  0.014  -0.000  -0.000   0.00     -4  -0.000
0.181010  0.014  0.000  -0.000   0.00     -4  -0.000
0.182010  0.014  0.000  -0.000   0.00     -4  -0.000
0.184010  0.014  0.000  -0.000   0.00     -3  -0.000
0.185010  0.014  0.000  -0.000   0.00     -3  -0.000
0.186010  0.014  0.000  -0.000   0.00     -3  -0.000
0.187010  0.014  0.000  -0.000   0.00     -3  -0.000
0.188010  0.014  0.000  -0.000   0.00     -3  -0.000
0.190010  0.014  0.000  -0.000   0.00     -2  -0.000
0.192011  0.014  0.000  -0.000   0.00     -2  -0.000
0.193011  0.014  -0.000  -0.000   0.00     -2  -0.000
0.194011  0.014  -0.000  -0.000   0.00     -2  -0.000
0.195011  0.014  -0.000  -0.000   0.00     -3  -0.000
0.198011  0.014  -0.000  -0.000   0.00     -3  -0.000
0.199011  0.014  -0.000  -0.000   0.00     -3  -0.000
0.200011  0.014  -0.000  -0.000   0.00     -3  -0.000
0.201011  0.014  0.000  -0.000   0.00     -3  -0.000
0.202011  0.013  0.000  -0.000   0.00     -3  -0.000
0.203011  0.013  0.000  -0.000   0.00     -3  -0.000
0.204011  0.013  0.000  -0.000   0.00     -3  -0.000
0.205011  0.013  0.000  -0.000   0.00     -3  -0.000
0.206011  0.013  0.000  -0.000   0.00     -3  -0.000
0.207011  0.013  0.000  -0.000   0.00     -3  -0.000
0.208011  0.013  0.000  -0.000   0.00     -3  -0.000
0.209011  0.013  0.000  -0.000   0.00     -3  -0.000
0.210012  0.013  0.000  -0.000   0.00     -3  -0.000
0.211012  0.013  0.000  -0.000   0.00     -3  -0.000
0.212012  0.013  0.000  -0.000   0.00     -3  -0.000
0.213012  0.013  0.000  -0.000   0.00     -3  -0.000
0.215012  0.013  0.000  -0.000   0.00     -3  -0.000
0.216012  0.013  0.000  -0.000   0.00     -3  -0.000
0.217012  0.013  0.000  -0.000   0.00     -3  -0.000
0.218012  0.013  0.000  -0.000   0.00     -3  -0.000
0.219012  0.013  0.000  -0.000   0.00     -3  -0.000
0.220012  0.013  0.000  -0.000   0.00     -3  -0.000
0.221012  0.013  0.000  -0.000   0.00     -3  -0.000
0.222012  0.013  0.000  -0.000   0.00     -3  -0.000
0.223012  0.013  0.000  -0.000   0.00     -3  -0.000
0.224012  0.013  0.000  -0.000   0.00     -3  -0.000
0.225012  0.013  0.000  -0.000   0.00     -3  -0.000
0.226012  0.013  0.000  -0.000   0.00     -3  -0.000
0.227013  0.013  0.000  -0.000   0.00     -3  -0.000
0.228013  0.013  0.000  -0.000   0.00     -3  -0.000
0.229013  0.013  0.000  -0.000   0.00     -3  -0.000
0.230013  0.013  0.000  -0.000   0.00     -3  -0.000
0.232013  0.013  0.000  -0.000   0.00     -3  -0.000
0.234013  0.013  0.000  -0.000   0.00     -3  -0.000
0.235013  0.013  0.000  -0.000   0.00     -3  -0.000
0.236013  0.013  0.000  -0.000   0.00     -3  -0.000
0.237013  0.013  0.000  -0.000   0.00     -3  -0.000
0.238013  0.013  0.000  -0.000   0.00     -3  -0.000
0.239013  0.013  0.000  -0.000   0.00     -2  -0.000
