SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-2.015     -2   -0.176  0.000  -120.520  -24696.707  -24676.439  -0.391  -0.399  0.000
-2.012     -2   -0.176  0.000  -120.598  -24712.676  -24692.588  -0.394  -0.397  0.000
-1.809     -1   -0.176  0.000  -60.299  -12356.307  -12336.338  -0.395  -0.392  0.000
-2.048     -3   -0.176  0.000  -180.822  -37053.770  -37036.523  -0.202  -0.193  0.000
-2.239     -3   -0.176  0.000  -181.058  -37102.102  -37081.613  -0.597  -0.600  0.000
-2.191     -2   -0.176  0.000  -120.596  -24712.395  -24689.502  -0.599  -0.588  0.000
-1.952     -1   -0.176  0.000  -60.222  -12340.667  -12318.626  -0.390  -0.402  0.000
-1.760     -1   -0.176  0.000  -60.218  -12339.813  -12321.056  -0.208  -0.193  0.000
-1.608     -1   -0.176  0.000  -60.302  -12356.894  -12340.538  -0.207  -0.202  0.000
-1.887     -3   -0.176  0.000  -180.898  -37069.305  -37054.738  -0.206  -0.191  0.000
-1.710     -1   -0.176  0.000  -60.459  -12389.170  -12370.654  -0.592  -0.599  0.000
-1.767     -2   -0.176  0.000  -120.440  -24680.316  -24664.145  -0.206  -0.200  0.000
-2.015     -3   -0.176  0.000  -180.977  -37085.488  -37068.414  -0.392  -0.406  0.000
-2.213     -3   -0.176  0.000  -180.974  -37084.793  -37064.426  -0.593  -0.590  0.000
-2.371     -3   -0.176  0.000  -180.900  -37069.676  -37046.859  -0.596  -0.598  0.000
-2.297     -2   -0.176  0.000  -120.597  -24712.473  -24687.863  -0.596  -0.590  0.000
-2.237     -2   -0.176  0.000  -120.522  -24697.129  -24673.826  -0.394  -0.388  0.000
-2.189     -2   -0.176  0.000  -120.602  -24713.559  -24691.234  -0.414  -0.400  0.000
-2.352     -3   -0.176  0.000  -180.898  -37069.211  -37047.605  -0.396  -0.405  0.000
-2.482     -3   -0.176  0.000  -180.974  -37084.797  -37061.094  -0.592  -0.597  0.000
-2.586     -3   -0.176  0.000  -180.898  -37069.199  -37043.926  -0.598  -0.587  0.000
-2.469     -2   -0.176  0.000  -120.601  -24713.381  -24686.955  -0.583  -0.589  0.000
-1.973      0   -0.176  0.000  0.078  15.894  40.524  -0.394  -0.393  0.000
-1.978     -2   -0.176  0.000  -120.444  -24681.072  -24663.020  -0.004  0.003  0.000
-1.983     -2   -0.176  0.000  -120.758  -24745.494  -24727.051  -0.404  -0.397  0.000
