CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.002000  0.000  0.000  0.000   0.00      0  0.000
0.003000  0.000  0.000  0.000   0.00      4  -0.000
0.004000  0.000  0.000  0.000   0.00      4  -0.000
0.005000  0.002  -0.000  0.000   0.00      4  -0.000
0.006000  0.004  -0.000  0.000  -0.00      4  0.000
0.007000  0.005  -0.000  0.000  -0.00      4  0.000
0.008000  0.006  -0.000  0.000  -0.00     -2  0.000
0.009000  0.007  -0.000  0.000  -0.00     -2  0.000
0.010000  0.008  -0.000  0.000  -0.00     -2  0.000
0.011000  0.008  0.000  -0.000  -0.00     -2  0.000
0.012000  0.009  0.000  -0.000  -0.00     -2  0.000
0.013000  0.009  0.000  -0.000  -0.00     -3  0.000
0.014000  0.010  0.000  -0.000  -0.00     -3  0.000
0.015000  0.010  0.000  -0.000  -0.00     -3  -0.000
0.016000  0.010  0.000  -0.000   0.00     -3  -0.000
0.017001  0.010  0.000  -0.000   0.00     -3  -0.000
0.018001  0.011  0.000  -0.000   0.00     -3  -0.000
0.019001  0.011  0.000  -0.000   0.00     -3  -0.000
0.020001  0.011  0.000  -0.000   0.00     -3  -0.000
0.021001  0.011  0.000  -0.000   0.00     -3  -0.000
0.022001  0.011  0.000  -0.000   0.00     -3  -0.000
0.023001  0.011  0.000  -0.000   0.00     -3  -0.000
0.024001  0.011  0.000  -0.000   0.00     -3  -0.000
0.025001  0.011  0.000  -0.000   0.00     -3  -0.000
0.026001  0.011  0.000  -0.000   0.00     -3  -0.000
0.027001  0.011  0.000  -0.000   0.00     -3  -0.000
0.028001  0.011  0.000  -0.000   0.00     -3  -0.000
0.029001  0.011  0.000  -0.000   0.00     -3  -0.000
0.030001  0.011  0.000  -0.000   0.00     -3  -0.000
0.031001  0.011  0.000  -0.000   0.00     -3  -0.000
0.032001  0.012  0.000  -0.000   0.00     -3  -0.000
0.033001  0.012  0.000  -0.000   0.00     -3  -0.000
0.034002  0.012  0.000  -0.000   0.00     -3  -0.000
0.035002  0.012  0.000  -0.000   0.00     -3  -0.000
0.036002  0.012  0.000  -0.000   0.00     -3  -0.000
0.037002  0.012  0.000  -0.000   0.00     -3  -0.000
0.038002  0.012  0.000  -0.000   0.00     -3  -0.000
