acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
0.002  -0.014  0.000  -0.003  0.220      0  0.000
0.015  -0.026  0.002  -0.003  1.885      0  0.000
0.048  -0.031  0.006  -0.002  5.051      0  0.000
0.095  -0.043  0.010  -0.004  7.891      0  0.000
0.146  -0.045  0.013  -0.002  10.092      0  0.000
0.193  -0.042  0.015  -0.002  11.481      0  0.000
0.201  -0.049  0.011  -0.004  8.458      0  0.000
0.191  -0.073  0.010  -0.008  7.569      0  0.000
0.148  -0.081  0.006  -0.007  4.580      0  0.000
0.080  -0.085  0.003  -0.008  2.072      0  0.000
0.008  -0.058  0.002  -0.004  1.893      0  0.000
-0.057  -0.035  0.004  -0.002  2.943      0  0.000
-0.104  0.001  0.005  0.001  4.061      0  0.000
-0.118  0.036  0.007  0.000  5.239      0  0.000
-0.102  0.036  0.008  -0.004  6.053      0  0.000
-0.075  0.022  0.006  -0.008  4.463      0  0.000
-0.021  0.005  0.007  -0.009  5.398      0  0.000
0.015  -0.016  0.007  -0.009  5.423      0  0.000
0.042  -0.059  0.006  -0.009  4.637      0  0.000
0.063  -0.077  0.009  -0.007  6.779      0  0.000
0.069  -0.102  0.010  -0.007  8.082      0  0.000
0.080  -0.085  0.013  -0.004  10.228      0  0.000
0.087  -0.024  0.013  0.001  10.161      0  0.000
0.094  0.060  0.013  0.003  10.179      0  0.000
0.085  0.150  0.010  0.005  7.712      0  0.000
0.070  0.200  0.008  0.004  6.488      0  0.000
0.011  0.189  0.003  -0.001  2.514      0  0.000
-0.035  0.140  0.003  -0.004  2.578      0  0.000
-0.070  0.080  0.005  -0.005  3.681      0  0.000
-0.094  0.008  0.007  -0.006  5.685      0  0.000
-0.102  -0.025  0.007  -0.002  5.581      0  0.000
-0.097  -0.040  0.007  0.003  5.599      0  0.000
-0.072  -0.026  0.007  0.007  5.191      0  0.000
-0.043  0.032  0.006  0.009  4.869      0  0.000
0.008  0.091  0.009  0.009  6.955      0  0.000
0.046  0.130  0.009  0.004  7.313      0  0.000
0.074  0.133  0.009  -0.000  7.418      0  0.000
0.052  0.089  0.007  -0.004  5.347      0  0.000
-0.003  0.006  0.002  -0.008  1.420      0  0.000
-0.036  -0.092  0.004  -0.010  2.808      0  0.000
-0.053  -0.174  0.003  -0.007  2.447      0  0.000
-0.032  -0.203  0.009  -0.003  7.247      0  0.000
-0.007  -0.183  0.010  0.001  8.040      0  0.000
-0.000  -0.111  0.008  0.005  6.490      0  0.000
0.005  -0.035  0.009  0.002  6.919      0  0.000
0.017  0.030  0.007  -0.002  5.777      0  0.000
0.022  0.047  0.005  -0.007  4.192      0  0.000
