acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
-0.204  -0.000  -0.013  -0.299  -84695.359  1.024  1.028
-0.204  -0.000  -0.013  -0.299  -84695.359  1.024  1.028
-0.081  -0.000  -0.008  -0.299  -84646.859  1.024  1.028
-0.081  -0.000  -0.008  -0.299  -84646.859  1.024  1.028
0.130  -0.000  -0.000  -0.299  -84589.305  1.025  1.028
0.130  -0.000  -0.000  -0.299  -84589.305  1.025  1.028
0.221  -0.000  0.009  -0.299  -84535.180  1.025  1.028
0.221  -0.000  0.009  -0.299  -84535.180  1.025  1.028
0.267  -0.000  0.012  -0.299  -84487.828  1.026  1.028
0.267  -0.000  0.012  -0.299  -84487.828  1.026  1.028
0.235  -0.000  0.019  -0.299  -84452.875  1.026  1.028
0.235  -0.000  0.019  -0.299  -84452.875  1.026  1.028
0.252  -0.000  0.024  -0.299  -84363.203  1.027  1.031
0.252  -0.000  0.024  -0.299  -84363.203  1.027  1.031
0.339  -0.000  0.016  -0.299  -84283.789  1.027  1.031
0.339  -0.000  0.016  -0.299  -84283.789  1.027  1.031
0.362  -0.000  0.013  -0.299  -84218.219  1.028  1.031
0.362  -0.000  0.013  -0.299  -84218.219  1.028  1.031
0.362  -0.000  0.013  -0.299  -84218.219  1.028  1.031
0.361  -0.000  0.014  -0.299  -84165.922  1.029  1.031
0.271  -0.000  0.003  -0.299  -84132.156  1.030  1.031
0.271  -0.000  0.003  -0.299  -84132.156  1.030  1.031
0.271  -0.000  0.003  -0.299  -84132.156  1.030  1.031
0.124  -0.000  0.008  -0.299  -84118.297  1.031  1.031
0.124  -0.000  0.008  -0.299  -84118.297  1.031  1.031
-0.004  -0.000  0.009  -0.299  -84118.563  1.031  1.031
-0.004  -0.000  0.009  -0.299  -84118.563  1.031  1.031
-0.074  -0.000  0.014  -0.299  -84125.023  1.031  1.031
-0.074  -0.000  0.014  -0.299  -84125.023  1.031  1.031
-0.195  -0.000  -0.004  -0.299  -84140.977  1.031  1.031
-0.195  -0.000  -0.004  -0.299  -84140.977  1.031  1.031
-0.284  -0.000  -0.005  -0.299  -84101.438  1.031  1.034
-0.284  -0.000  -0.005  -0.299  -84101.438  1.031  1.034
-0.434  -0.000  -0.026  -0.299  -84083.156  1.031  1.034
-0.524  -0.000  -0.031  -0.299  -84136.797  1.031  1.031
-0.625  -0.000  -0.035  -0.299  -84188.703  1.031  1.031
-0.757  -0.000  -0.047  -0.299  -84241.953  1.031  1.031
-0.851  -0.000  -0.054  -0.299  -84292.883  1.031  1.031
-0.961  -0.000  -0.057  -0.299  -84343.320  1.031  1.031
-1.022  -0.000  -0.066  -0.299  -84389.086  1.031  1.031
-1.058  -0.000  -0.077  -0.299  -84428.891  1.031  1.031
-1.058  -0.000  -0.077  -0.299  -84428.891  1.031  1.031
-1.010  -0.000  -0.085  -0.299  -84456.375  1.031  1.031
-1.010  -0.000  -0.085  -0.299  -84456.375  1.031  1.031
-0.993  -0.000  -0.090  -0.299  -84476.891  1.030  1.031
-0.993  -0.000  -0.090  -0.299  -84476.891  1.030  1.031
-0.908  -0.000  -0.094  -0.299  -84485.672  1.030  1.031
-0.908  -0.000  -0.094  -0.299  -84485.672  1.030  1.031
-0.864  -0.000  -0.093  -0.299  -84488.742  1.029  1.031
-0.864  -0.000  -0.093  -0.299  -84488.742  1.029  1.031
-0.751  -0.000  -0.089  -0.299  -84541.406  1.029  1.028
-0.751  -0.000  -0.089  -0.299  -84541.406  1.029  1.028
-0.624  -0.000  -0.093  -0.299  -84572.156  1.029  1.028
-0.624  -0.000  -0.093  -0.299  -84572.156  1.029  1.028
-0.582  -0.000  -0.105  -0.299  -84593.031  1.029  1.028
-0.582  -0.000  -0.105  -0.299  -84593.031  1.029  1.028
-0.442  -0.000  -0.092  -0.299  -84597.211  1.028  1.028
-0.442  -0.000  -0.092  -0.299  -84597.211  1.028  1.028
-0.203  -0.000  -0.078  -0.299  -84579.289  1.028  1.028
-0.203  -0.000  -0.078  -0.299  -84579.289  1.028  1.028
0.074  -0.000  -0.065  -0.299  -84540.328  1.028  1.028
0.074  -0.000  -0.065  -0.299  -84540.328  1.028  1.028
0.074  -0.000  -0.065  -0.299  -84540.328  1.028  1.028
0.313  -0.000  -0.057  -0.299  -84487.906  1.028  1.028
0.313  -0.000  -0.057  -0.299  -84487.906  1.028  1.028
0.453  -0.000  -0.061  -0.299  -84433.492  1.028  1.028
0.453  -0.000  -0.061  -0.299  -84433.492  1.028  1.028
0.585  -0.000  -0.053  -0.299  -84378.297  1.028  1.028
0.585  -0.000  -0.053  -0.299  -84378.297  1.028  1.028
0.688  -0.000  -0.045  -0.299  -84324.977  1.028  1.028
0.688  -0.000  -0.045  -0.299  -84324.977  1.028  1.028
0.876  -0.000  -0.021  -0.299  -84265.664  1.028  1.028
0.876  -0.000  -0.021  -0.299  -84265.664  1.028  1.028
1.070  -0.000  -0.011  -0.299  -84200.984  1.028  1.028
1.070  -0.000  -0.011  -0.299  -84200.984  1.028  1.028
1.156  -0.000  -0.009  -0.299  -84141.578  1.029  1.028
1.156  -0.000  -0.009  -0.299  -84141.578  1.029  1.028
1.136  -0.000  0.003  -0.299  -84095.953  1.030  1.028
1.140  -0.000  0.013  -0.299  -84059.133  1.031  1.028
1.093  -0.000  0.009  -0.299  -83973.586  1.031  1.031
1.097  -0.000  0.019  -0.299  -83904.914  1.031  1.031
1.111  -0.000  0.029  -0.299  -83848.750  1.032  1.031
1.063  -0.000  0.039  -0.299  -83808.148  1.032  1.031
0.932  -0.000  0.035  -0.299  -83787.336  1.032  1.031
0.701  -0.000  0.025  -0.299  -83791.320  1.033  1.031
0.701  -0.000  0.025  -0.299  -83791.320  1.033  1.031
0.530  -0.000  0.021  -0.299  -83809.742  1.034  1.031
0.530  -0.000  0.021  -0.299  -83809.742  1.034  1.031
0.300  -0.000  0.007  -0.299  -83844.906  1.035  1.031
0.300  -0.000  0.007  -0.299  -83844.906  1.035  1.031
0.136  -0.000  0.020  -0.299  -83887.641  1.035  1.031
0.136  -0.000  0.020  -0.299  -83887.641  1.035  1.031
0.026  -0.000  0.021  -0.299  -83931.602  1.035  1.031
0.026  -0.000  0.021  -0.299  -83931.602  1.035  1.031
-0.103  -0.000  0.009  -0.299  -83978.219  1.035  1.031
-0.103  -0.000  0.009  -0.299  -83978.219  1.035  1.031
-0.327  -0.000  -0.003  -0.299  -84035.375  1.035  1.031
-0.327  -0.000  -0.003  -0.299  -84035.375  1.035  1.031
-0.543  -0.000  -0.016  -0.299  -84100.320  1.034  1.031
-0.543  -0.000  -0.016  -0.299  -84100.320  1.034  1.031
-0.667  -0.000  -0.019  -0.299  -84163.313  1.034  1.031
-0.667  -0.000  -0.019  -0.299  -84163.313  1.034  1.031
-0.667  -0.000  -0.019  -0.299  -84163.313  1.034  1.031
-0.724  -0.000  -0.029  -0.299  -84218.688  1.033  1.031
-0.724  -0.000  -0.029  -0.299  -84218.688  1.033  1.031
-0.785  -0.000  -0.038  -0.299  -84268.391  1.032  1.031
-0.785  -0.000  -0.038  -0.299  -84268.391  1.032  1.031
-0.871  -0.000  -0.045  -0.299  -84315.766  1.032  1.031
-0.871  -0.000  -0.045  -0.299  -84315.766  1.032  1.031
-0.920  -0.000  -0.048  -0.299  -84357.938  1.031  1.031
-0.920  -0.000  -0.048  -0.299  -84357.938  1.031  1.031
-1.006  -0.000  -0.052  -0.299  -84459.578  1.031  1.028
-1.006  -0.000  -0.052  -0.299  -84459.578  1.031  1.028
-0.973  -0.000  -0.059  -0.299  -84537.875  1.031  1.028
-0.973  -0.000  -0.059  -0.299  -84537.875  1.031  1.028
-0.938  -0.000  -0.075  -0.299  -84597.320  1.030  1.028
-0.938  -0.000  -0.075  -0.299  -84597.320  1.030  1.028
-0.944  -0.000  -0.087  -0.299  -84645.391  1.028  1.028
-0.944  -0.000  -0.087  -0.299  -84645.391  1.028  1.028
-0.921  -0.000  -0.086  -0.299  -84681.766  1.028  1.028
-0.921  -0.000  -0.086  -0.299  -84681.766  1.028  1.028
-0.897  -0.000  -0.087  -0.299  -84768.938  1.027  1.025
-0.740  -0.000  -0.075  -0.299  -84824.594  1.027  1.025
-0.616  -0.000  -0.080  -0.299  -84858.016  1.026  1.025
-0.529  -0.000  -0.086  -0.299  -84877.023  1.026  1.025
-0.400  -0.000  -0.079  -0.299  -84880.727  1.026  1.025
-0.241  -0.000  -0.077  -0.299  -84869.484  1.026  1.025
-0.073  -0.000  -0.076  -0.299  -84905.813  1.025  1.022
0.107  -0.000  -0.071  -0.299  -84918.789  1.025  1.022
0.205  -0.000  -0.069  -0.299  -84920.422  1.025  1.022
0.205  -0.000  -0.069  -0.299  -84920.422  1.025  1.022
0.256  -0.000  -0.061  -0.299  -84917.227  1.025  1.022
0.256  -0.000  -0.061  -0.299  -84917.227  1.025  1.022
0.300  -0.000  -0.058  -0.299  -84910.719  1.025  1.022
0.300  -0.000  -0.058  -0.299  -84910.719  1.025  1.022
0.356  -0.000  -0.049  -0.299  -84900.586  1.025  1.022
0.356  -0.000  -0.049  -0.299  -84900.586  1.025  1.022
0.473  -0.000  -0.046  -0.299  -84882.000  1.025  1.022
0.473  -0.000  -0.046  -0.299  -84882.000  1.025  1.022
0.473  -0.000  -0.046  -0.299  -84882.000  1.025  1.022
0.596  -0.000  -0.033  -0.299  -84856.195  1.025  1.022
0.596  -0.000  -0.033  -0.299  -84856.195  1.025  1.022
0.646  -0.000  -0.029  -0.299  -84831.133  1.025  1.022
0.646  -0.000  -0.029  -0.299  -84831.133  1.025  1.022
0.740  -0.000  -0.019  -0.299  -84802.781  1.025  1.022
0.740  -0.000  -0.019  -0.299  -84802.781  1.025  1.022
0.802  -0.000  -0.015  -0.299  -84774.594  1.025  1.022
0.802  -0.000  -0.015  -0.299  -84774.594  1.025  1.022
0.873  -0.000  -0.001  -0.299  -84745.695  1.025  1.022
0.873  -0.000  -0.001  -0.299  -84745.695  1.025  1.022
0.905  -0.000  0.001  -0.299  -84719.742  1.025  1.022
0.905  -0.000  0.001  -0.299  -84719.742  1.025  1.022
0.884  -0.000  0.003  -0.299  -84700.914  1.025  1.022
0.884  -0.000  0.003  -0.299  -84700.914  1.025  1.022
0.788  -0.000  -0.005  -0.299  -84694.406  1.025  1.022
0.788  -0.000  -0.005  -0.299  -84694.406  1.025  1.022
0.638  -0.000  -0.007  -0.299  -84702.594  1.025  1.022
0.638  -0.000  -0.007  -0.299  -84702.594  1.025  1.022
0.490  -0.000  -0.007  -0.299  -84722.305  1.025  1.022
0.490  -0.000  -0.007  -0.299  -84722.305  1.025  1.022
0.402  -0.000  0.008  -0.299  -84745.883  1.025  1.022
0.402  -0.000  0.008  -0.299  -84745.883  1.025  1.022
0.364  -0.000  0.012  -0.299  -84768.078  1.025  1.022
0.364  -0.000  0.012  -0.299  -84768.078  1.025  1.022
0.245  -0.000  0.003  -0.299  -84796.469  1.025  1.022
0.127  -0.000  -0.004  -0.299  -84829.633  1.025  1.022
-0.006  -0.000  -0.008  -0.299  -84867.969  1.025  1.022
-0.044  -0.000  -0.006  -0.299  -84902.008  1.025  1.022
-0.053  -0.000  -0.005  -0.299  -84930.063  1.025  1.022
-0.083  -0.000  -0.012  -0.299  -84955.117  1.025  1.022
-0.149  -0.000  -0.012  -0.299  -84980.992  1.025  1.022
-0.234  -0.000  -0.014  -0.299  -85009.273  1.025  1.022
-0.234  -0.000  -0.014  -0.299  -85009.273  1.025  1.022
-0.261  -0.000  -0.006  -0.299  -85034.297  1.024  1.022
-0.261  -0.000  -0.006  -0.299  -85034.297  1.024  1.022
-0.261  -0.000  -0.006  -0.299  -85034.297  1.024  1.022
-0.224  -0.000  -0.012  -0.299  -85050.977  1.024  1.022
-0.224  -0.000  -0.012  -0.299  -85050.977  1.024  1.022
-0.142  -0.000  -0.013  -0.299  -85057.039  1.024  1.022
-0.142  -0.000  -0.013  -0.299  -85057.039  1.024  1.022
-0.115  -0.000  -0.016  -0.299  -85059.469  1.023  1.022
-0.115  -0.000  -0.016  -0.299  -85059.469  1.023  1.022
-0.095  -0.000  -0.013  -0.299  -85059.633  1.023  1.022
-0.095  -0.000  -0.013  -0.299  -85059.633  1.023  1.022
-0.103  -0.000  -0.015  -0.299  -85060.461  1.023  1.022
-0.103  -0.000  -0.015  -0.299  -85060.461  1.023  1.022
-0.075  -0.000  -0.012  -0.299  -85058.617  1.023  1.022
-0.075  -0.000  -0.012  -0.299  -85058.617  1.023  1.022
-0.085  -0.000  -0.022  -0.299  -85058.047  1.023  1.022
-0.085  -0.000  -0.022  -0.299  -85058.047  1.023  1.022
-0.131  -0.000  -0.023  -0.299  -85061.711  1.023  1.022
-0.131  -0.000  -0.023  -0.299  -85061.711  1.023  1.022
-0.185  -0.000  -0.027  -0.299  -85069.375  1.023  1.022
-0.185  -0.000  -0.027  -0.299  -85069.375  1.023  1.022
-0.226  -0.000  -0.025  -0.299  -85079.211  1.023  1.022
-0.226  -0.000  -0.025  -0.299  -85079.211  1.023  1.022
-0.204  -0.000  -0.026  -0.299  -85085.078  1.023  1.022
-0.204  -0.000  -0.026  -0.299  -85085.078  1.023  1.022
-0.153  -0.000  -0.018  -0.299  -85085.227  1.023  1.022
-0.153  -0.000  -0.018  -0.299  -85085.227  1.023  1.022
-0.153  -0.000  -0.018  -0.299  -85085.227  1.023  1.022
-0.158  -0.000  -0.027  -0.299  -85085.758  1.023  1.022
-0.158  -0.000  -0.027  -0.299  -85085.758  1.023  1.022
-0.225  -0.000  -0.038  -0.299  -85092.180  1.023  1.022
-0.225  -0.000  -0.038  -0.299  -85092.180  1.023  1.022
-0.187  -0.000  -0.027  -0.299  -85093.945  1.023  1.022
-0.187  -0.000  -0.027  -0.299  -85093.945  1.023  1.022
-0.175  -0.000  -0.032  -0.299  -85094.250  1.023  1.022
-0.175  -0.000  -0.032  -0.299  -85094.250  1.023  1.022
-0.153  -0.000  -0.037  -0.299  -85152.773  1.023  1.019
-0.215  -0.000  -0.045  -0.299  -85205.102  1.023  1.019
-0.324  -0.000  -0.056  -0.299  -85256.602  1.022  1.019
-0.417  -0.000  -0.056  -0.299  -85306.039  1.022  1.019
-0.501  -0.000  -0.062  -0.299  -85353.078  1.022  1.019
-0.611  -0.000  -0.073  -0.299  -85400.445  1.022  1.019
-0.679  -0.000  -0.084  -0.299  -85444.352  1.021  1.019
-0.682  -0.000  -0.075  -0.299  -85539.961  1.020  1.015
-0.682  -0.000  -0.075  -0.299  -85539.961  1.020  1.015
-0.746  -0.000  -0.083  -0.299  -85622.070  1.019  1.015
-0.746  -0.000  -0.083  -0.299  -85622.070  1.019  1.015
-0.745  -0.000  -0.094  -0.299  -85687.641  1.019  1.015
-0.745  -0.000  -0.094  -0.299  -85687.641  1.019  1.015
-0.745  -0.000  -0.094  -0.299  -85687.641  1.019  1.015
-0.740  -0.000  -0.100  -0.299  -85739.555  1.017  1.015
-0.740  -0.000  -0.100  -0.299  -85739.555  1.017  1.015
-0.713  -0.000  -0.104  -0.299  -85838.938  1.016  1.012
-0.713  -0.000  -0.104  -0.299  -85838.938  1.016  1.012
-0.722  -0.000  -0.114  -0.299  -85919.148  1.016  1.012
-0.722  -0.000  -0.114  -0.299  -85919.148  1.016  1.012
-0.836  -0.000  -0.132  -0.299  -85993.336  1.015  1.012
-0.836  -0.000  -0.132  -0.299  -85993.336  1.015  1.012
-0.932  -0.000  -0.145  -0.299  -86121.469  1.015  1.009
-0.932  -0.000  -0.145  -0.299  -86121.469  1.015  1.009
-0.952  -0.000  -0.142  -0.299  -86225.641  1.014  1.009
-0.952  -0.000  -0.142  -0.299  -86225.641  1.014  1.009
-0.979  -0.000  -0.147  -0.299  -86311.320  1.012  1.009
-0.979  -0.000  -0.147  -0.299  -86311.320  1.012  1.009
-0.899  -0.000  -0.129  -0.299  -86432.891  1.011  1.006
-0.899  -0.000  -0.129  -0.299  -86432.891  1.011  1.006
-0.704  -0.000  -0.129  -0.299  -86512.672  1.010  1.006
-0.704  -0.000  -0.129  -0.299  -86512.672  1.010  1.006
-0.475  -0.000  -0.124  -0.299  -86556.055  1.009  1.006
-0.475  -0.000  -0.124  -0.299  -86556.055  1.009  1.006
-0.265  -0.000  -0.123  -0.299  -86572.031  1.008  1.006
-0.265  -0.000  -0.123  -0.299  -86572.031  1.008  1.006
-0.033  -0.000  -0.117  -0.299  -86624.406  1.007  1.003
-0.033  -0.000  -0.117  -0.299  -86624.406  1.007  1.003
0.303  -0.000  -0.097  -0.299  -86636.266  1.007  1.003
0.303  -0.000  -0.097  -0.299  -86636.266  1.007  1.003
0.608  -0.000  -0.090  -0.299  -86618.656  1.007  1.003
0.608  -0.000  -0.090  -0.299  -86618.656  1.007  1.003
0.876  -0.000  -0.069  -0.299  -86580.664  1.007  1.003
0.876  -0.000  -0.069  -0.299  -86580.664  1.007  1.003
0.876  -0.000  -0.069  -0.299  -86580.664  1.007  1.003
1.108  -0.000  -0.047  -0.299  -86529.641  1.007  1.003
1.436  -0.000  -0.014  -0.299  -86459.695  1.007  1.003
1.689  -0.000  0.004  -0.299  -86320.938  1.007  1.006
2.081  -0.000  0.036  -0.299  -86175.195  1.007  1.006
2.405  -0.000  0.057  -0.299  -86029.898  1.007  1.006
2.789  -0.000  0.100  -0.299  -85879.555  1.007  1.006
3.089  -0.000  0.128  -0.299  -85672.422  1.008  1.009
3.319  -0.000  0.159  -0.299  -85486.445  1.010  1.009
3.484  -0.000  0.179  -0.299  -85323.078  1.010  1.009
3.484  -0.000  0.179  -0.299  -85323.078  1.010  1.009
3.543  -0.000  0.207  -0.299  -85127.047  1.016  1.012
3.543  -0.000  0.207  -0.299  -85127.047  1.016  1.012
3.625  -0.000  0.245  -0.299  -84902.805  1.020  1.015
3.625  -0.000  0.245  -0.299  -84902.805  1.020  1.015
3.625  -0.000  0.245  -0.299  -84902.805  1.020  1.015
3.715  -0.000  0.283  -0.299  -84655.375  1.023  1.019
3.715  -0.000  0.283  -0.299  -84655.375  1.023  1.019
3.798  -0.000  0.309  -0.299  -84389.922  1.026  1.022
3.798  -0.000  0.309  -0.299  -84389.922  1.026  1.022
3.788  -0.000  0.336  -0.299  -84118.422  1.026  1.025
3.788  -0.000  0.336  -0.299  -84118.422  1.026  1.025
3.894  -0.000  0.383  -0.299  -83831.805  1.027  1.028
3.894  -0.000  0.383  -0.299  -83831.805  1.027  1.028
3.956  -0.000  0.419  -0.299  -83597.266  1.029  1.028
3.956  -0.000  0.419  -0.299  -83597.266  1.029  1.028
3.954  -0.000  0.429  -0.299  -83349.742  1.033  1.031
3.954  -0.000  0.429  -0.299  -83349.742  1.033  1.031
3.757  -0.000  0.427  -0.299  -83109.195  1.037  1.034
3.757  -0.000  0.427  -0.299  -83109.195  1.037  1.034
3.364  -0.000  0.416  -0.299  -82891.688  1.041  1.037
3.364  -0.000  0.416  -0.299  -82891.688  1.041  1.037
2.737  -0.000  0.401  -0.299  -82713.469  1.043  1.040
2.737  -0.000  0.401  -0.299  -82713.469  1.043  1.040
2.201  -0.000  0.429  -0.299  -82558.555  1.044  1.043
2.201  -0.000  0.429  -0.299  -82558.555  1.044  1.043
1.766  -0.000  0.445  -0.299  -82413.211  1.045  1.046
1.766  -0.000  0.445  -0.299  -82413.211  1.045  1.046
1.473  -0.000  0.464  -0.299  -82262.898  1.047  1.049
1.473  -0.000  0.464  -0.299  -82262.898  1.047  1.049
1.473  -0.000  0.464  -0.299  -82262.898  1.047  1.049
1.186  -0.000  0.470  -0.299  -82108.094  1.048  1.052
1.186  -0.000  0.470  -0.299  -82108.094  1.048  1.052
0.815  -0.000  0.456  -0.299  -81957.203  1.051  1.055
0.815  -0.000  0.456  -0.299  -81957.203  1.051  1.055
0.480  -0.000  0.429  -0.299  -81866.383  1.052  1.055
0.216  -0.000  0.407  -0.299  -81817.313  1.052  1.055
-0.045  -0.000  0.393  -0.299  -81680.906  1.054  1.062
-0.319  -0.000  0.387  -0.299  -81596.242  1.054  1.062
-0.689  -0.000  0.375  -0.299  -81561.523  1.054  1.062
-1.154  -0.000  0.368  -0.299  -81575.188  1.054  1.062
-1.424  -0.000  0.362  -0.299  -81610.203  1.055  1.062
-1.590  -0.000  0.348  -0.299  -81592.703  1.056  1.065
-1.590  -0.000  0.348  -0.299  -81592.703  1.056  1.065
-1.592  -0.000  0.335  -0.299  -81578.883  1.057  1.065
-1.592  -0.000  0.335  -0.299  -81578.883  1.057  1.065
-1.434  -0.000  0.330  -0.299  -81553.750  1.057  1.065
-1.434  -0.000  0.330  -0.299  -81553.750  1.057  1.065
-1.365  -0.000  0.304  -0.299  -81527.531  1.057  1.065
-1.365  -0.000  0.304  -0.299  -81527.531  1.057  1.065
-1.374  -0.000  0.291  -0.299  -81507.398  1.057  1.065
-1.374  -0.000  0.291  -0.299  -81507.398  1.057  1.065
-1.437  -0.000  0.280  -0.299  -81496.891  1.057  1.065
-1.530  -0.000  0.267  -0.299  -81436.586  1.057  1.068
-1.530  -0.000  0.267  -0.299  -81436.586  1.057  1.068
-1.566  -0.000  0.259  -0.299  -81391.508  1.057  1.068
-1.566  -0.000  0.259  -0.299  -81391.508  1.057  1.068
-1.566  -0.000  0.259  -0.299  -81391.508  1.057  1.068
-1.573  -0.000  0.252  -0.299  -81356.148  1.057  1.068
-1.573  -0.000  0.252  -0.299  -81356.148  1.057  1.068
-1.521  -0.000  0.247  -0.299  -81323.305  1.058  1.068
-1.521  -0.000  0.247  -0.299  -81323.305  1.058  1.068
-1.434  -0.000  0.236  -0.299  -81289.281  1.058  1.068
-1.434  -0.000  0.236  -0.299  -81289.281  1.058  1.068
-1.343  -0.000  0.228  -0.299  -81253.992  1.059  1.068
-1.343  -0.000  0.228  -0.299  -81253.992  1.059  1.068
-1.277  -0.000  0.215  -0.299  -81219.883  1.059  1.068
-1.277  -0.000  0.215  -0.299  -81219.883  1.059  1.068
-1.156  -0.000  0.207  -0.299  -81181.883  1.060  1.068
-1.156  -0.000  0.207  -0.299  -81181.883  1.060  1.068
-1.148  -0.000  0.194  -0.299  -81090.492  1.060  1.071
-1.148  -0.000  0.194  -0.299  -81090.492  1.060  1.071
-1.243  -0.000  0.169  -0.299  -81025.977  1.060  1.071
-1.243  -0.000  0.169  -0.299  -81025.977  1.060  1.071
-1.388  -0.000  0.149  -0.299  -80987.266  1.061  1.071
-1.388  -0.000  0.149  -0.299  -80987.266  1.061  1.071
-1.588  -0.000  0.130  -0.299  -80974.195  1.062  1.071
-1.588  -0.000  0.130  -0.299  -80974.195  1.062  1.071
-1.795  -0.000  0.110  -0.299  -80982.203  1.062  1.071
-2.041  -0.000  0.081  -0.299  -81010.461  1.063  1.071
-2.334  -0.000  0.045  -0.299  -81059.156  1.063  1.071
-2.623  -0.000  0.019  -0.299  -81123.852  1.063  1.071
-2.870  -0.000  -0.007  -0.299  -81197.516  1.063  1.071
-3.040  -0.000  -0.026  -0.299  -81271.555  1.063  1.071
-3.139  -0.000  -0.051  -0.299  -81399.758  1.063  1.068
-3.139  -0.000  -0.051  -0.299  -81399.758  1.063  1.068
-3.216  -0.000  -0.084  -0.299  -81509.109  1.062  1.068
-3.216  -0.000  -0.084  -0.299  -81509.109  1.062  1.068
-3.257  -0.000  -0.103  -0.299  -81600.086  1.062  1.068
-3.257  -0.000  -0.103  -0.299  -81600.086  1.062  1.068
-3.345  -0.000  -0.142  -0.299  -81680.648  1.061  1.068
-3.345  -0.000  -0.142  -0.299  -81680.648  1.061  1.068
-3.299  -0.000  -0.153  -0.299  -81740.945  1.060  1.068
-3.299  -0.000  -0.153  -0.299  -81740.945  1.060  1.068
-3.262  -0.000  -0.187  -0.299  -81846.117  1.059  1.065
-3.262  -0.000  -0.187  -0.299  -81846.117  1.059  1.065
-3.154  -0.000  -0.200  -0.299  -81920.477  1.058  1.065
-3.154  -0.000  -0.200  -0.299  -81920.477  1.058  1.065
-3.050  -0.000  -0.214  -0.299  -82030.930  1.057  1.062
-3.050  -0.000  -0.214  -0.299  -82030.930  1.057  1.062
-2.807  -0.000  -0.210  -0.299  -82097.516  1.057  1.062
-2.807  -0.000  -0.210  -0.299  -82097.516  1.057  1.062
-2.522  -0.000  -0.217  -0.299  -82125.406  1.056  1.062
-2.522  -0.000  -0.217  -0.299  -82125.406  1.056  1.062
-2.157  -0.000  -0.222  -0.299  -82175.406  1.054  1.058
-2.157  -0.000  -0.222  -0.299  -82175.406  1.054  1.058
-1.742  -0.000  -0.222  -0.299  -82178.406  1.054  1.058
-1.742  -0.000  -0.222  -0.299  -82178.406  1.054  1.058
-1.742  -0.000  -0.222  -0.299  -82178.406  1.054  1.058
-1.320  -0.000  -0.216  -0.299  -82143.227  1.053  1.058
-1.320  -0.000  -0.216  -0.299  -82143.227  1.053  1.058
-0.860  -0.000  -0.213  -0.299  -82134.430  1.053  1.055
-0.860  -0.000  -0.213  -0.299  -82134.430  1.053  1.055
-0.467  -0.000  -0.200  -0.299  -82092.359  1.053  1.055
-0.467  -0.000  -0.200  -0.299  -82092.359  1.053  1.055
0.042  -0.000  -0.178  -0.299  -82013.391  1.053  1.055
0.042  -0.000  -0.178  -0.299  -82013.391  1.053  1.055
0.410  -0.000  -0.166  -0.299  -81917.555  1.053  1.055
0.410  -0.000  -0.166  -0.299  -81917.555  1.053  1.055
0.689  -0.000  -0.162  -0.299  -81816.109  1.054  1.055
0.689  -0.000  -0.162  -0.299  -81816.109  1.054  1.055
0.961  -0.000  -0.139  -0.299  -81710.844  1.054  1.055
0.961  -0.000  -0.139  -0.299  -81710.844  1.054  1.055
1.348  -0.000  -0.109  -0.299  -81592.219  1.054  1.055
1.765  -0.000  -0.075  -0.299  -81460.305  1.054  1.055
2.125  -0.000  -0.050  -0.299  -81322.773  1.057  1.055
2.376  -0.000  -0.035  -0.299  -81190.563  1.057  1.055
2.502  -0.000  -0.027  -0.299  -81013.406  1.058  1.058
2.532  -0.000  -0.011  -0.299  -80869.211  1.058  1.058
2.529  -0.000  0.009  -0.299  -80754.242  1.059  1.058
2.529  -0.000  0.009  -0.299  -80754.242  1.059  1.058
2.532  -0.000  0.025  -0.299  -80662.023  1.061  1.058
2.532  -0.000  0.025  -0.299  -80662.023  1.061  1.058
2.418  -0.000  0.031  -0.299  -80598.547  1.064  1.058
2.418  -0.000  0.031  -0.299  -80598.547  1.064  1.058
2.144  -0.000  0.038  -0.299  -80511.914  1.068  1.062
2.144  -0.000  0.038  -0.299  -80511.914  1.068  1.062
1.847  -0.000  0.046  -0.299  -80469.109  1.069  1.062
1.847  -0.000  0.046  -0.299  -80469.109  1.069  1.062
1.618  -0.000  0.059  -0.299  -80395.070  1.069  1.065
1.618  -0.000  0.059  -0.299  -80395.070  1.069  1.065
1.502  -0.000  0.071  -0.299  -80346.242  1.069  1.065
1.502  -0.000  0.071  -0.299  -80346.242  1.069  1.065
1.468  -0.000  0.085  -0.299  -80310.273  1.069  1.065
1.468  -0.000  0.085  -0.299  -80310.273  1.069  1.065
1.468  -0.000  0.085  -0.299  -80310.273  1.069  1.065
1.355  -0.000  0.080  -0.299  -80291.609  1.069  1.065
1.355  -0.000  0.080  -0.299  -80291.609  1.069  1.065
1.060  -0.000  0.062  -0.299  -80302.930  1.070  1.065
1.060  -0.000  0.062  -0.299  -80302.930  1.070  1.065
0.643  -0.000  0.038  -0.299  -80349.125  1.070  1.065
0.643  -0.000  0.038  -0.299  -80349.125  1.070  1.065
0.128  -0.000  0.008  -0.299  -80431.938  1.070  1.065
0.128  -0.000  0.008  -0.299  -80431.938  1.070  1.065
-0.334  -0.000  -0.003  -0.299  -80539.242  1.070  1.065
-0.334  -0.000  -0.003  -0.299  -80539.242  1.070  1.065
