acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
-0.021  -1.720  -0.003  0.079  -184917.969  0.000  0.000
0.067  -1.986  0.007  0.059  -184917.969  0.000  0.000
0.075  -2.106  0.004  0.043  -184917.969  0.000  0.000
0.119  -2.091  -0.000  0.044  -184917.969  0.000  0.000
0.114  -1.936  -0.002  0.043  -184917.969  0.000  0.000
0.177  -1.833  0.013  0.024  -184917.969  0.000  0.000
0.145  -1.737  0.002  0.012  -184917.969  0.000  0.000
0.141  -1.643  0.011  0.002  -184917.969  0.000  0.000
0.071  -1.564  0.005  -0.016  -184917.969  0.000  0.000
0.028  -1.478  0.006  -0.025  -184917.969  0.000  0.000
0.078  -1.315  0.006  -0.027  -184917.969  0.000  0.000
0.027  -1.284  0.004  -0.042  -184917.969  0.000  0.000
-0.028  -1.368  -0.007  -0.062  -184917.969  0.000  0.000
-0.046  -1.510  -0.000  -0.077  -184917.969  0.000  0.000
-0.129  -1.624  -0.007  -0.098  -184917.969  0.000  0.000
-0.217  -1.668  -0.007  -0.112  -184917.969  0.000  0.000
-0.173  -1.705  -0.002  -0.119  -184917.969  0.000  0.000
-0.162  -1.748  0.002  -0.135  -184917.969  0.000  0.000
-0.111  -1.779  -0.002  -0.150  -184917.969  0.000  0.000
-0.062  -1.823  0.002  -0.161  -184917.969  0.000  0.000
-0.024  -1.883  -0.002  -0.182  -184917.969  0.000  0.000
-0.019  -1.780  -0.009  -0.183  -184917.969  0.000  0.000
-0.015  -1.697  -0.010  -0.200  -184917.969  0.000  0.000
0.031  -1.571  0.009  -0.200  -184917.969  0.000  0.000
0.095  -1.369  0.006  -0.195  -184917.969  0.000  0.000
0.053  -1.020  -0.003  -0.168  -184917.969  0.000  0.000
0.027  -0.895  0.000  -0.205  -184917.969  0.000  0.000
0.021  -4.745  0.000  -0.914  -184917.969  0.000  0.000
0.015  -8.875  -0.004  -1.103  -184917.969  0.000  0.000
0.026  -12.775  0.002  -1.238  -184917.969  0.000  0.000
0.098  -13.733  0.008  -0.925  -184917.969  0.000  0.000
0.115  -9.778  0.005  -0.188  -184917.969  0.000  0.000
0.054  -5.230  0.001  -0.084  -184917.969  0.000  0.000
-0.054  -3.314  -0.004  -0.507  -184917.969  0.000  0.000
-0.059  -3.341  -0.007  -0.911  -184917.969  0.000  0.000
-0.017  -3.403  0.000  -1.064  -184917.969  0.000  0.000
-0.042  -2.272  -0.001  -1.061  -184917.969  0.000  0.000
-0.038  -0.673  -0.000  -1.113  -184917.969  0.000  0.000
-0.076  -3.811  -0.007  -1.277  -184917.969  0.000  0.000
-0.132  -9.601  -0.007  -1.589  -184917.969  0.000  0.000
-0.125  -17.412  -0.003  -1.880  -184917.969  0.000  0.000
-0.033  -22.635  0.003  -1.929  -184917.969  0.000  0.000
0.007  -20.281  -0.003  -1.681  -184917.969  0.000  0.000
0.033  -13.111  -0.002  -1.257  -184917.969  0.000  0.000
0.006  -6.098  -0.006  -1.011  -184917.969  0.000  0.000
0.026  -1.104  0.006  -0.983  -184917.969  0.000  0.000
0.065  2.050  0.003  -1.137  -184917.969  0.000  0.000
0.089  4.604  0.002  -1.261  -184917.969  0.000  0.000
0.042  7.520  -0.011  -1.175  -184917.969  0.000  0.000
-0.007  10.852  -0.005  -0.917  -184917.969  0.000  0.000
-0.025  13.741  0.001  -0.548  -184917.969  0.000  0.000
-0.027  16.925  0.001  0.061  -184917.969  0.000  0.000
0.027  17.806  0.003  0.102  -184917.969  0.000  0.000
0.034  16.744  0.002  -0.131  -184917.969  0.000  0.000
0.062  15.224  0.006  -0.411  -184917.969  0.000  0.000
0.031  14.755  0.002  -0.351  -184917.969  0.000  0.000
0.092  15.997  0.006  0.048  -184917.969  0.000  0.000
0.138  17.884  0.007  0.552  -184917.969  0.000  0.000
0.134  19.429  -0.001  0.979  -184917.969  0.000  0.000
0.033  20.738  -0.003  1.282  -184917.969  0.000  0.000
-0.047  22.699  -0.004  1.579  -184917.969  0.000  0.000
-0.077  26.306  -0.002  1.925  -184917.969  0.000  0.000
-0.069  32.180  0.004  2.088  -184917.969  0.000  0.000
-0.054  35.692  0.003  2.028  -184917.969  0.000  0.000
