CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.002000  0.000  0.000  0.000   0.00      0  0.000
0.003000  0.000  -0.000  -0.000   0.00     -1  0.000
0.004000  0.000  -0.000  -0.000   0.00     -1  0.000
0.005000  0.057  0.000  -0.000   0.00     -1  0.000
0.006000  0.098  0.000  -0.000   0.00     -1  -0.000
0.007000  0.130  0.000  -0.000   0.00     -1  -0.000
0.008000  0.154  0.000  -0.000   0.00     -1  -0.000
0.009000  0.174  0.000  -0.000   0.00      0  -0.000
0.010000  0.192  0.000  -0.000   0.00      0  -0.000
0.011000  0.206  0.000  -0.000   0.00      0  -0.000
0.012000  0.219  -0.000  -0.000   0.00      0  -0.000
0.013000  0.230  -0.000  -0.000   0.00      0  -0.000
0.014000  0.240  -0.000  -0.000   0.00      0  -0.000
0.015000  0.246  -0.000  -0.000   0.00      0  -0.000
0.016001  0.252  -0.000  -0.000   0.00      0  -0.000
0.017001  0.257  -0.000  -0.000   0.00      0  -0.000
0.018001  0.262  -0.000  -0.000   0.00      0  -0.000
0.019001  0.266  -0.000  -0.000   0.00      0  -0.000
0.020001  0.269  -0.000  -0.000   0.00     -1  -0.000
0.021001  0.272  -0.000  -0.000   0.00     -1  -0.000
0.022001  0.274  0.000  -0.000   0.00     -1  -0.000
0.023001  0.277  0.000  -0.000   0.00     -1  -0.000
0.024001  0.279  0.000  -0.000   0.00     -1  -0.000
0.025001  0.281  0.000  -0.000   0.00      0  -0.000
0.026001  0.282  0.000  -0.000   0.00      0  -0.000
0.027001  0.284  0.000  -0.000   0.00      0  -0.000
0.028001  0.286  -0.000  -0.000   0.00      0  -0.000
0.029001  0.287  -0.000  -0.000   0.00      0  -0.000
0.030001  0.288  -0.000  -0.000   0.00      0  -0.000
0.031001  0.289  -0.000  -0.000   0.00      0  -0.000
0.032001  0.290  -0.000  -0.000   0.00      0  -0.000
0.033001  0.291  -0.000  -0.000   0.00      0  -0.000
0.034002  0.291  -0.000  -0.000   0.00      0  -0.000
0.035002  0.291  -0.000  -0.000   0.00      0  -0.000
0.036002  0.291  -0.000  -0.000   0.00      0  -0.000
0.037002  0.291  -0.000  -0.000   0.00      0  -0.000
0.038002  0.291  -0.000  -0.000   0.00      0  -0.000
0.039002  0.291  -0.000  -0.000   0.00      0  -0.000
