acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
0.218  -0.455  0.014  -0.028  3.494  -7.288  90.743  0.000  0.000  0.000  0.000  0.000
0.156  -0.352  0.012  -0.026  2.054  -4.704  128.632  0.000  0.000  0.000  0.000  0.000
0.129  -0.295  0.011  -0.025  1.350  -3.187  140.126  0.000  0.000  0.000  0.000  0.000
0.083  -0.215  0.009  -0.022  0.438  -1.501  127.042  0.000  0.000  0.000  0.000  0.000
0.088  -0.231  0.010  -0.025  0.470  -1.565  117.324  0.000  0.000  0.000  0.000  0.000
0.129  -0.132  0.013  -0.021  1.059  0.224  103.431  0.000  0.000  0.000  0.000  0.000
0.107  -0.132  0.013  -0.022  0.580  0.191  87.160  0.000  0.000  0.000  0.000  0.000
0.138  -0.076  0.016  -0.019  1.001  1.067  72.662  0.000  0.000  0.000  0.000  0.000
0.111  -0.085  0.015  -0.020  0.431  0.793  56.609  0.000  0.000  0.000  0.000  0.000
0.061  -0.060  0.013  -0.020  -0.408  1.082  32.317  0.000  0.000  0.000  0.000  0.000
0.126  -0.015  0.018  -0.017  0.679  1.664  20.985  0.000  0.000  0.000  0.000  0.000
0.101  -0.004  0.017  -0.017  0.184  1.625  6.673  0.000  0.000  0.000  0.000  0.000
0.076  0.035  0.016  -0.014  -0.235  2.051  -12.463  0.000  0.000  0.000  0.000  0.000
0.085  -0.020  0.018  -0.017  -0.057  0.909  -17.633  0.000  0.000  0.000  0.000  0.000
0.033  -0.007  0.015  -0.017  -0.885  0.994  -31.642  0.000  0.000  0.000  0.000  0.000
0.018  0.002  0.014  -0.016  -1.012  1.016  -44.412  0.000  0.000  0.000  0.000  0.000
0.009  -0.016  0.014  -0.017  -1.029  0.589  -51.775  0.000  0.000  0.000  0.000  0.000
-0.003  0.078  0.013  -0.012  -1.086  2.029  -68.484  0.000  0.000  0.000  0.000  0.000
-0.121  -0.010  0.006  -0.016  -2.838  0.347  -89.534  0.000  0.000  0.000  0.000  0.000
-0.053  0.031  0.009  -0.014  -1.382  0.959  -94.362  0.000  0.000  0.000  0.000  0.000
-0.080  0.089  0.007  -0.010  -1.633  1.766  -106.723  0.000  0.000  0.000  0.000  0.000
-0.071  0.027  0.007  -0.013  -1.285  0.549  -104.046  0.000  0.000  0.000  0.000  0.000
-0.097  0.031  0.005  -0.013  -1.537  0.549  -104.726  0.000  0.000  0.000  0.000  0.000
-0.113  0.061  0.003  -0.011  -1.593  0.956  -108.765  0.000  0.000  0.000  0.000  0.000
-0.128  0.033  0.001  -0.012  -1.633  0.389  -108.402  0.000  0.000  0.000  0.000  0.000
-0.140  0.061  -0.001  -0.010  -1.612  0.781  -110.626  0.000  0.000  0.000  0.000  0.000
-0.124  0.088  -0.001  -0.008  -1.147  1.117  -109.554  0.000  0.000  0.000  0.000  0.000
-0.135  0.081  -0.003  -0.007  -1.180  0.861  -107.215  0.000  0.000  0.000  0.000  0.000
-0.116  0.046  -0.002  -0.009  -0.731  0.196  -95.577  0.000  0.000  0.000  0.000  0.000
-0.128  0.046  -0.004  -0.009  -0.825  0.165  -87.096  0.000  0.000  0.000  0.000  0.000
-0.141  0.073  -0.006  -0.007  -0.925  0.579  -84.354  0.000  0.000  0.000  0.000  0.000
-0.148  0.039  -0.007  -0.008  -0.924  -0.042  -77.741  0.000  0.000  0.000  0.000  0.000
-0.185  0.011  -0.011  -0.010  -1.390  -0.485  -74.527  0.000  0.000  0.000  0.000  0.000
-0.095  0.069  -0.007  -0.006  0.217  0.511  -60.989  0.000  0.000  0.000  0.000  0.000
-0.166  -0.048  -0.012  -0.013  -0.946  -1.430  -49.461  0.000  0.000  0.000  0.000  0.000
-0.142  0.049  -0.012  -0.007  -0.438  0.298  -46.813  0.000  0.000  0.000  0.000  0.000
-0.089  0.046  -0.010  -0.007  0.465  0.214  -33.963  0.000  0.000  0.000  0.000  0.000
-0.103  0.044  -0.011  -0.006  0.186  0.162  -26.431  0.000  0.000  0.000  0.000  0.000
-0.001  0.014  -0.006  -0.008  1.792  -0.336  1.132  0.000  0.000  0.000  0.000  0.000
-0.001  0.017  -0.006  -0.008  1.567  -0.253  20.044  0.000  0.000  0.000  0.000  0.000
-0.025  0.018  -0.007  -0.008  0.977  -0.199  28.160  0.000  0.000  0.000  0.000  0.000
0.063  -0.007  -0.002  -0.009  2.257  -0.585  51.744  0.000  0.000  0.000  0.000  0.000
