qASGD: [2021-12-08-19-07-18]

0.011,-0.564,0.997,-0.005
0.019,-0.142,0.249,-0.013
0.025,-0.497,0.465,-0.018
0.032,-0.194,0.414,-0.018
0.039,-0.441,0.461,-0.023
0.046,-0.316,0.293,-0.026
0.052,-0.469,0.205,-0.028
0.059,-0.393,0.346,-0.032
0.066,-0.444,0.478,-0.034
0.073,-0.334,0.546,-0.037
0.080,-0.363,0.430,-0.041
0.087,-0.254,0.428,-0.044
0.094,-0.154,0.422,-0.046
0.101,-0.239,0.472,-0.051
0.108,-0.282,0.392,-0.053
0.115,-0.258,0.308,-0.057
0.121,-0.331,0.355,-0.062
0.128,-0.282,0.294,-0.064
0.135,-0.275,0.370,-0.067
0.142,-0.268,0.445,-0.071
0.149,-0.328,0.404,-0.074
0.156,-0.269,0.439,-0.076
0.163,-0.339,0.432,-0.081
0.170,-0.407,0.427,-0.085
0.177,-0.343,0.432,-0.088
0.184,-0.280,0.438,-0.091
0.191,-0.314,0.385,-0.095
0.198,-0.283,0.440,-0.098
0.205,-0.325,0.395,-0.100
0.212,-0.284,0.439,-0.103
0.219,-0.332,0.479,-0.108
0.269,-0.322,0.539,-0.111
0.275,-0.401,0.482,-0.127
0.282,-0.460,0.443,-0.131
0.289,-0.393,0.445,-0.134
0.296,-0.328,0.449,-0.137
0.302,-0.265,0.453,-0.140
0.308,-0.277,0.391,-0.143
0.315,-0.303,0.450,-0.147
0.321,-0.364,0.464,-0.149
0.328,-0.306,0.450,-0.153
0.335,-0.312,0.511,-0.157
0.340,-0.319,0.453,-0.161
0.348,-0.265,0.467,-0.163
0.355,-0.232,0.421,-0.167
0.362,-0.261,0.473,-0.171
0.368,-0.204,0.473,-0.175
0.375,-0.259,0.467,-0.178
0.382,-0.315,0.461,-0.181
0.388,-0.260,0.466,-0.185
0.394,-0.316,0.465,-0.188
0.401,-0.371,0.462,-0.191
0.407,-0.318,0.465,-0.194
0.413,-0.267,0.470,-0.196
0.420,-0.322,0.466,-0.200
0.426,-0.378,0.467,-0.205
0.433,-0.327,0.466,-0.207
0.440,-0.382,0.469,-0.212
0.446,-0.421,0.508,-0.215
0.453,-0.370,0.503,-0.218
0.460,-0.422,0.488,-0.222
0.466,-0.403,0.441,-0.225
0.520,-0.361,0.471,-0.227
0.526,-0.277,0.475,-0.258
0.532,-0.343,0.478,-0.261
0.538,-0.282,0.482,-0.264
0.544,-0.344,0.479,-0.267
0.550,-0.286,0.484,-0.270
0.556,-0.309,0.430,-0.273
0.562,-0.356,0.467,-0.276
0.568,-0.301,0.479,-0.279
0.574,-0.359,0.482,-0.281
0.579,-0.304,0.488,-0.285
0.587,-0.360,0.486,-0.288
0.593,-0.359,0.432,-0.292
0.600,-0.388,0.481,-0.295
0.607,-0.335,0.489,-0.299
0.614,-0.391,0.487,-0.303
0.621,-0.339,0.494,-0.305
0.628,-0.396,0.492,-0.311
0.634,-0.345,0.497,-0.313
0.641,-0.358,0.447,-0.316
0.648,-0.395,0.487,-0.320
0.655,-0.343,0.496,-0.323
0.661,-0.311,0.455,-0.327
0.667,-0.268,0.487,-0.331
0.673,-0.228,0.518,-0.333
0.680,-0.265,0.479,-0.337
0.686,-0.249,0.430,-0.339
0.692,-0.300,0.452,-0.343
0.699,-0.270,0.492,-0.346
0.705,-0.324,0.496,-0.351
0.712,-0.310,0.447,-0.355
0.753,-0.358,0.473,-0.359
0.760,-0.314,0.422,-0.376
0.767,-0.289,0.477,-0.380
0.774,-0.251,0.525,-0.383
0.780,-0.292,0.482,-0.386
0.787,-0.264,0.534,-0.389
0.794,-0.225,0.493,-0.393
0.800,-0.240,0.438,-0.396
0.807,-0.262,0.490,-0.399
0.814,-0.321,0.500,-0.404
0.819,-0.268,0.510,-0.407
0.827,-0.309,0.472,-0.411
0.834,-0.288,0.522,-0.414
0.841,-0.282,0.468,-0.417
0.848,-0.282,0.523,-0.421
0.855,-0.321,0.484,-0.425
0.862,-0.271,0.500,-0.427
0.869,-0.271,0.446,-0.433
0.876,-0.274,0.392,-0.436
0.883,-0.287,0.447,-0.439
0.890,-0.289,0.503,-0.444
0.897,-0.344,0.511,-0.447
0.903,-0.298,0.487,-0.451
0.910,-0.296,0.540,-0.454
0.917,-0.319,0.491,-0.458
0.924,-0.311,0.545,-0.460
0.931,-0.258,0.545,-0.465
0.937,-0.273,0.494,-0.468
0.944,-0.304,0.537,-0.472
0.951,-0.253,0.547,-0.475
0.957,-0.268,0.496,-0.480
1.001,-0.284,0.447,-0.482
1.009,-0.335,0.532,-0.506
1.016,-0.379,0.487,-0.510
1.022,-0.338,0.534,-0.512
1.027,-0.329,0.475,-0.515
1.035,-0.274,0.454,-0.519
1.040,-0.332,0.434,-0.523
1.048,-0.289,0.472,-0.526
1.054,-0.308,0.417,-0.530
1.061,-0.356,0.448,-0.533
1.068,-0.329,0.402,-0.536
1.075,-0.304,0.352,-0.540
1.080,-0.315,0.408,-0.544
1.088,-0.355,0.371,-0.546
1.095,-0.389,0.329,-0.549
1.102,-0.356,0.373,-0.554
1.109,-0.356,0.428,-0.558
1.115,-0.334,0.380,-0.562
1.123,-0.348,0.435,-0.565
