SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-123.875     28   0.000  0.000  -5.150  -1.174  -0.053  -0.006  -0.004  0.000
-79.529     28   0.000  0.000  8.971  0.652  -0.094  0.131  -0.003  0.000
-25.811     30   0.000  0.000  17.084  2.246  -0.106  0.178  -0.001  0.000
18.472     29   0.000  0.000  17.843  3.092  -0.100  0.148  -0.003  0.000
51.878     29   0.000  0.000  16.788  3.608  -0.056  0.088  -0.001  0.000
80.988     28   0.000  0.000  17.838  3.938  0.009  0.023  -0.001  0.000
100.309     30   0.000  0.000  16.363  3.254  0.042  -0.085  -0.006  0.000
100.660     28   0.000  0.000  8.891  1.585  0.082  -0.176  0.005  0.000
75.533     28   0.000  0.000  -2.450  -0.476  0.059  -0.168  0.004  0.000
27.978      9   0.000  0.000  -14.310  -2.483  0.007  -0.125  -0.005  0.000
-23.855      2   0.000  0.000  -21.094  -3.564  0.063  -0.057  0.004  0.000
-62.484      2   0.000  0.000  -19.588  -3.510  0.050  0.007  0.000  0.000
-74.466      5   0.000  0.000  -10.809  -2.275  0.014  0.053  -0.004  0.000
-61.516      2   0.000  0.000  -0.422  -0.572  -0.026  0.064  -0.008  0.000
-32.790      4   0.000  0.000  7.559  1.057  -0.047  0.064  -0.003  0.000
3.199      4   0.000  0.000  13.393  2.473  -0.049  0.081  -0.002  0.000
42.161     -6   0.000  0.000  17.530  3.505  -0.007  0.090  0.005  0.000
74.486     10   0.000  0.000  18.860  3.639  -0.080  0.075  -0.008  0.000
89.467      6   0.000  0.000  13.776  2.533  -0.059  -0.002  -0.004  0.000
77.576      6   0.000  0.000  3.206  0.591  -0.054  -0.124  -0.007  0.000
41.888      9   0.000  0.000  -8.871  -1.486  -0.064  -0.190  -0.003  0.000
-4.575      0   0.000  0.000  -16.621  -2.833  -0.049  -0.157  -0.008  0.000
-44.965      0   0.000  0.000  -18.961  -3.367  0.032  -0.110  0.006  0.000
-72.221      3   0.000  0.000  -16.772  -3.206  0.082  -0.066  0.007  0.000
-87.617      1   0.000  0.000  -12.287  -2.644  -0.052  -0.033  -0.019  0.000
-89.717     -3   0.000  0.000  -7.484  -1.744  -0.153  0.008  -0.022  0.000
-79.637     -1   0.000  0.000  -3.065  -0.659  -0.146  0.008  -0.007  0.000
-62.696     31   0.000  0.000  0.358  0.262  -0.033  -0.046  0.001  0.000
-41.527     30   0.000  0.000  3.422  0.938  0.030  -0.099  0.007  0.000
-25.752     30   0.000  0.000  3.308  0.867  0.058  -0.173  0.000  0.000
-20.131     30   0.000  0.000  0.201  0.222  0.057  -0.162  -0.000  0.000
-22.174     29   0.000  0.000  -1.506  -0.215  -0.032  -0.053  -0.020  0.000
-18.269     30   0.000  0.000  -0.379  -0.038  -0.011  0.043  0.002  0.000
-9.124     30   0.000  0.000  1.899  0.363  0.129  0.066  0.008  0.000
2.249     29   0.000  0.000  3.860  0.746  0.252  0.046  0.005  0.000
13.434     30   0.000  0.000  5.110  0.993  0.176  0.004  0.001  0.000
18.286     30   0.000  0.000  3.176  0.768  0.073  -0.120  0.003  0.000
8.357     30   0.000  0.000  -2.017  -0.070  -0.052  -0.254  -0.013  0.000
-15.050     28   0.000  0.000  -9.311  -1.355  -0.078  -0.320  -0.007  0.000
-50.086     27   0.000  0.000  -17.108  -2.788  -0.016  -0.338  -0.000  0.000
-95.140     27   0.000  0.000  -25.319  -4.368  0.054  -0.323  0.008  0.000
-141.076     31   0.000  0.000  -29.539  -5.228  0.086  -0.240  0.003  0.000
-170.652     31   0.000  0.000  -25.818  -4.751  -0.063  -0.151  -0.004  0.000
-177.384     32   0.000  0.000  -17.924  -3.458  -0.102  -0.141  -0.008  0.000
-162.218     32   0.000  0.000  -8.954  -1.807  -0.063  -0.143  -0.004  0.000
-127.517     31   0.000  0.000  0.791  0.163  0.007  -0.104  0.003  0.000
-74.276     29   0.000  0.000  12.030  2.460  0.069  -0.027  0.006  0.000
-11.438     30   0.000  0.000  21.605  4.267  0.099  0.030  -0.001  0.000
48.302     30   0.000  0.000  25.973  4.934  0.020  0.020  -0.002  0.000
93.302     30   0.000  0.000  24.297  4.596  0.009  -0.023  0.006  0.000
115.707     29   0.000  0.000  18.994  3.660  -0.043  -0.047  -0.007  0.000
119.017     30   0.000  0.000  11.744  2.459  0.030  -0.053  0.003  0.000
111.589     -2   0.000  0.000  7.178  1.607  0.079  -0.038  0.003  0.000
102.970     -1   0.000  0.000  6.545  1.240  0.026  -0.019  -0.006  0.000
95.464     -1   0.000  0.000  6.019  0.867  -0.029  -0.005  -0.001  0.000
84.754     -2   0.000  0.000  3.783  0.420  -0.051  0.011  0.001  0.000
70.599      1   0.000  0.000  1.458  0.180  -0.051  0.032  -0.002  0.000
57.869     -2   0.000  0.000  1.315  0.327  -0.067  0.034  -0.011  0.000
51.216     -2   0.000  0.000  2.559  0.565  -0.083  -0.006  -0.005  0.000
57.076     -2   0.000  0.000  7.407  1.282  -0.081  0.084  -0.002  0.000
72.568      0   0.000  0.000  11.974  1.961  -0.004  0.141  0.003  0.000
84.392      2   0.000  0.000  12.276  1.971  -0.062  0.085  -0.006  0.000
83.008      2   0.000  0.000  7.454  1.317  -0.055  0.002  -0.007  0.000
67.015      2   0.000  0.000  0.669  0.347  -0.028  -0.061  -0.006  0.000
42.630      0   0.000  0.000  -4.480  -0.564  -0.060  -0.078  -0.007  0.000
18.356      4   0.000  0.000  -6.810  -1.167  -0.043  -0.052  -0.004  0.000
-2.252      4   0.000  0.000  -7.543  -1.520  0.007  -0.037  -0.001  0.000
-17.937     22   0.000  0.000  -7.449  -1.575  0.059  -0.019  0.003  0.000
-32.279     18   0.000  0.000  -8.214  -1.616  0.047  -0.030  0.002  0.000
-49.834     18   0.000  0.000  -10.804  -1.935  0.045  -0.044  -0.001  0.000
-63.682     -1   0.000  0.000  -10.685  -1.710  0.056  -0.063  -0.001  0.000
-68.785     -8   0.000  0.000  -8.104  -1.187  0.104  -0.108  -0.000  0.000
-64.912     -3   0.000  0.000  -5.174  -0.765  0.155  -0.109  0.010  0.000
-58.155     -3   0.000  0.000  -2.689  -0.479  0.104  -0.072  -0.003  0.000
