CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.002000  0.000  0.000  0.000   0.00      0  0.000
0.003000  0.000  -0.000  -0.000   0.00     -1  0.000
0.004000  0.000  -0.000  -0.000   0.00     -1  0.000
0.005000  0.021  0.000  -0.000   0.00     -1  0.000
0.006000  0.035  0.000  -0.000   0.00     -1  -0.000
0.007000  0.047  0.000  -0.000   0.00     -1  -0.000
0.008000  0.055  0.000  -0.000   0.00      0  -0.000
0.009000  0.062  0.000  -0.000   0.00      0  -0.000
0.010000  0.062  0.000  -0.000   0.00      0  -0.000
0.011000  0.061  0.000  -0.000   0.00      0  -0.000
0.012000  0.060  -0.000  -0.000   0.00      0  -0.000
0.013000  0.060  -0.000  -0.000   0.00      0  -0.000
0.014000  0.059  -0.000  -0.000   0.00      0  -0.000
0.015000  0.055  -0.000  -0.000   0.00      0  -0.000
0.016000  0.051  -0.000  -0.000   0.00      0  -0.000
0.017001  0.048  -0.000  -0.000   0.00      0  -0.000
0.018001  0.045  -0.000  -0.000   0.00      0  -0.000
0.019001  0.042  -0.000  -0.000   0.00     -2  -0.000
0.020001  0.040  -0.000  -0.000   0.00     -2  -0.000
0.021001  0.039  0.000  -0.000   0.00     -2  -0.000
0.022001  0.037  0.000  -0.000   0.00     -2  -0.000
0.023001  0.036  0.000  -0.000   0.00     -2  -0.000
0.024001  0.035  0.000  -0.000   0.00     -2  -0.000
0.025001  0.035  0.000  -0.000   0.00     -1  -0.000
0.026001  0.035  0.000  -0.000   0.00     -1  -0.000
0.027001  0.035  0.000  -0.000   0.00     -1  -0.000
0.028001  0.035  0.000  -0.000   0.00     -1  -0.000
0.029001  0.036  0.000  -0.000   0.00     -1  -0.000
0.030001  0.036  -0.000  -0.000   0.00     -2  -0.000
0.031001  0.037  -0.000  -0.000   0.00     -2  -0.000
0.032001  0.038  0.000  -0.000   0.00     -2  -0.000
0.033001  0.039  0.000  -0.000   0.00     -2  -0.000
0.034001  0.039  0.000  -0.000   0.00     -2  -0.000
0.035002  0.040  0.000  -0.000   0.00     -2  -0.000
0.036002  0.041  0.000  -0.000   0.00     -1  -0.000
0.037002  0.041  0.000  -0.000   0.00     -1  -0.000
0.038002  0.042  0.000  -0.000   0.00     -1  -0.000
0.039002  0.043  -0.000  -0.000   0.00     -1  -0.000
