SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
109001.297     -1   530424.128  -218542819.148  9257.563  17.763  1.000  4.560  5.790  1.531  0.020  100000
-189923.109     -1   530419.260  -217631157.352  -12714.239  18.351  1.000  4.560  5.790  1.531  0.020  100000
-148880.469     -1   530419.260  -217629094.704  -12661.201  18.608  1.000  4.560  5.790  1.531  0.020  100000
-148979.078     -2   -728472.249  -217629094.704  -12661.080  17.343  1.000  4.560  5.790  1.531  0.020  100000
-148979.172     -1   -725433.391  158499950.503  -12661.080  17.389  1.000  4.560  5.790  1.531  0.020  100000
148731.172     -2   -725426.453  159126107.429  9221.219  18.382  1.000  4.560  5.790  1.531  0.020  100000
109070.891     -1   -725426.453  159124632.063  9257.647  18.521  1.000  4.560  5.790  1.531  0.020  100000
109004.445     -2   528336.916  159124617.739  9257.563  19.199  1.000  4.560  5.790  1.531  0.020  100000
109005.242     -1   530424.128  -218542819.148  9257.563  19.472  1.000  4.560  5.790  1.531  0.020  100000
-189921.047     -1   530419.260  -217631157.352  -12714.239  19.242  1.000  4.560  5.790  1.531  0.020  100000
-148882.656      0   530419.260  -217629094.704  -12661.201  17.656  1.000  4.560  5.790  1.531  0.020  100000
-148978.500     -1   -728472.249  -217629094.704  -12661.080  17.590  1.000  4.560  5.790  1.531  0.020  100000
-148976.297     -1   -725433.391  158499950.503  -12661.080  18.645  1.000  4.560  5.790  1.531  0.020  100000
148732.578     -1   -725426.453  159126107.429  9221.219  18.999  1.000  4.560  5.790  1.531  0.020  100000
109076.016     -1   -725426.453  159124632.063  9257.647  20.758  1.000  4.560  5.790  1.531  0.020  100000
108999.156     -1   528336.916  159124617.739  9257.563  16.887  1.000  4.560  5.790  1.531  0.020  100000
109005.211      1   530424.128  -218542819.148  9257.563  19.471  1.000  4.560  5.790  1.531  0.020  100000
-189923.844      1   530419.260  -217631157.352  -12714.239  18.027  1.000  4.560  5.790  1.531  0.020  100000
-148881.016     -1   530419.260  -217629094.704  -12661.201  18.378  1.000  4.560  5.790  1.531  0.020  100000
-148977.203      2   -728472.249  -217629094.704  -12661.080  18.149  1.000  4.560  5.790  1.531  0.020  100000
-148975.297      1   -725433.391  158499950.503  -12661.080  19.089  1.000  4.560  5.790  1.531  0.020  100000
148734.922     -1   -725426.453  159126107.429  9221.219  20.016  1.000  4.560  5.790  1.531  0.020  100000
109075.586     -1   -725426.453  159124632.063  9257.647  20.568  1.000  4.560  5.790  1.531  0.020  100000
109004.086     -1   528336.916  159124617.739  9257.563  19.038  1.000  4.560  5.790  1.531  0.020  100000
109009.430      1   530424.128  -218542819.148  9257.563  21.299  1.000  4.560  5.790  1.531  0.020  100000
-189920.016     -1   530419.260  -217631157.352  -12714.239  19.673  1.000  4.560  5.790  1.531  0.020  100000
-148875.109     -3   530419.260  -217629094.704  -12661.201  20.941  1.000  4.560  5.790  1.531  0.020  100000
-148974.828     -2   -728472.249  -217629094.704  -12661.080  19.180  1.000  4.560  5.790  1.531  0.020  100000
-148975.141     -1   -725433.391  158499950.503  -12661.080  19.138  1.000  4.560  5.790  1.531  0.020  100000
148731.047     -1   -725426.453  159126107.429  9221.220  18.316  1.000  4.560  5.790  1.531  0.020  100000
