acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
32.108  -0.849  1.070  -0.028  963.250  -25.480  10981.416  0.000  0.000  0.000  0.000  0.000
23.423  -0.569  1.038  -0.026  471.519  -10.954  14141.074  0.000  0.000  0.000  0.000  0.000
16.601  -0.452  0.998  -0.026  153.694  -4.817  13059.301  0.000  0.000  0.000  0.000  0.000
11.665  -0.212  0.966  -0.022  -31.270  3.525  10061.475  0.000  0.000  0.000  0.000  0.000
11.101  -0.247  1.040  -0.025  -40.699  1.640  7573.482  0.000  0.000  0.000  0.000  0.000
14.183  -0.157  1.232  -0.024  61.542  3.947  6714.834  0.000  0.000  0.000  0.000  0.000
13.923  -0.045  1.337  -0.021  38.972  6.370  5758.331  0.000  0.000  0.000  0.000  0.000
10.763  -0.067  1.343  -0.022  -65.205  4.182  3841.725  0.000  0.000  0.000  0.000  0.000
6.986  0.027  1.303  -0.020  -162.845  5.982  1202.492  0.000  0.000  0.000  0.000  0.000
4.111  -0.063  1.263  -0.023  -210.006  1.859  -1406.008  0.000  0.000  0.000  0.000  0.000
2.596  0.077  1.245  -0.018  -205.061  5.622  -3462.301  0.000  0.000  0.000  0.000  0.000
1.984  -0.027  1.246  -0.021  -174.221  1.130  -4727.858  0.000  0.000  0.000  0.000  0.000
1.677  0.160  1.251  -0.015  -141.624  6.488  -5412.305  0.000  0.000  0.000  0.000  0.000
2.203  0.087  1.282  -0.016  -91.834  2.745  -5374.360  0.000  0.000  0.000  0.000  0.000
2.661  0.082  1.315  -0.016  -56.058  1.913  -4937.040  0.000  0.000  0.000  0.000  0.000
2.759  0.077  1.340  -0.015  -39.666  1.314  -4399.527  0.000  0.000  0.000  0.000  0.000
2.800  0.020  1.363  -0.017  -28.925  -0.726  -3834.964  0.000  0.000  0.000  0.000  0.000
3.140  0.032  1.397  -0.016  -11.761  -0.172  -3195.368  0.000  0.000  0.000  0.000  0.000
3.433  0.041  1.432  -0.016  -0.167  0.125  -2556.387  0.000  0.000  0.000  0.000  0.000
3.545  0.158  1.463  -0.011  3.252  3.608  -2032.316  0.000  0.000  0.000  0.000  0.000
3.427  -0.031  1.488  -0.016  -1.078  -2.935  -1615.167  0.000  0.000  0.000  0.000  0.000
2.575  0.045  1.487  -0.014  -26.396  0.069  -1587.168  0.000  0.000  0.000  0.000  0.000
1.474  0.050  1.470  -0.014  -53.066  0.208  -1864.810  0.000  0.000  0.000  0.000  0.000
1.354  0.105  1.478  -0.011  -43.950  1.800  -1995.919  0.000  0.000  0.000  0.000  0.000
0.900  0.041  1.474  -0.013  -47.025  -0.547  -2118.382  0.000  0.000  0.000  0.000  0.000
0.529  0.148  1.469  -0.009  -46.853  2.777  -2238.147  0.000  0.000  0.000  0.000  0.000
1.247  -0.037  1.497  -0.014  -14.069  -3.430  -1921.889  0.000  0.000  0.000  0.000  0.000
2.833  0.200  1.560  -0.006  36.870  4.504  -1154.883  0.000  0.000  0.000  0.000  0.000
3.726  -0.004  1.612  -0.011  54.818  -2.689  -289.124  0.000  0.000  0.000  0.000  0.000
3.585  0.060  1.637  -0.009  37.424  -0.139  189.524  0.000  0.000  0.000  0.000  0.000
0.802  0.110  1.573  -0.007  -55.031  1.392  -475.383  0.000  0.000  0.000  0.000  0.000
-2.511  -0.015  1.469  -0.010  -141.204  -2.697  -1943.612  0.000  0.000  0.000  0.000  0.000
-3.376  0.052  1.420  -0.008  -133.276  -0.024  -3047.355  0.000  0.000  0.000  0.000  0.000
-3.284  0.051  1.396  -0.008  -98.539  -0.066  -3539.800  0.000  0.000  0.000  0.000  0.000
-3.145  -0.011  1.375  -0.010  -70.710  -1.890  -3608.390  0.000  0.000  0.000  0.000  0.000
-3.949  0.003  1.323  -0.009  -77.853  -1.008  -3749.687  0.000  0.000  0.000  0.000  0.000
-5.580  0.118  1.237  -0.005  -108.112  2.665  -4228.201  0.000  0.000  0.000  0.000  0.000
-7.037  0.093  1.144  -0.005  -125.867  1.266  -4799.719  0.000  0.000  0.000  0.000  0.000
-8.487  0.027  1.039  -0.007  -139.177  -1.015  -5389.449  0.000  0.000  0.000  0.000  0.000
-9.976  0.023  0.921  -0.007  -150.438  -0.890  -5988.017  0.000  0.000  0.000  0.000  0.000
-11.195  0.026  0.801  -0.006  -150.901  -0.587  -6473.884  0.000  0.000  0.000  0.000  0.000
-11.752  0.079  0.693  -0.004  -131.399  1.150  -6656.117  0.000  0.000  0.000  0.000  0.000
-12.451  -0.092  0.576  -0.009  -120.832  -4.256  -6644.699  0.000  0.000  0.000  0.000  0.000
-13.388  0.098  0.445  -0.004  -119.936  2.472  -6673.850  0.000  0.000  0.000  0.000  0.000
-14.475  0.128  0.301  -0.002  -123.772  2.777  -6742.414  0.000  0.000  0.000  0.000  0.000
-15.243  -0.059  0.160  -0.007  -117.082  -3.486  -6677.473  0.000  0.000  0.000  0.000  0.000
