time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.423024  0.000  0.000  0.000  0.000      0  0.000
0.424024  0.000  0.000  0.000  0.000      0  0.000
0.425024  0.000  0.000  0.000  0.000      0  0.000
0.426024  0.000  0.000  0.000  0.000      0  0.000
0.427024  0.000  0.000  0.000  0.000      0  0.000
0.428024  0.000  0.000  0.000  0.000      0  0.000
0.429024  0.000  0.000  0.000  0.000      0  0.000
0.431024  0.000  0.000  0.000  0.000      1  0.000
0.432024  0.000  0.000  0.000  0.000      1  0.000
0.433024  0.000  0.000  0.000  0.000      1  0.000
0.434024  0.000  0.000  0.000  0.000      1  0.000
0.435024  0.000  0.000  0.000  0.000      1  0.000
0.436024  0.000  0.000  0.000  0.000      1  0.000
0.437025  0.000  0.000  0.000  0.000      0  0.000
0.438025  0.000  0.000  0.000  0.000      0  0.000
0.439025  0.000  0.000  0.000  0.000      0  0.000
0.440025  0.000  0.000  0.000  0.000      0  0.000
0.441025  0.000  0.000  0.000  0.000      0  0.000
0.442025  0.000  0.000  0.000  0.000      0  0.000
0.443025  0.000  0.000  0.000  0.000      0  0.000
0.444025  0.000  0.000  0.000  0.000      0  0.000
0.445025  0.000  0.000  0.000  0.000      0  0.000
0.446025  0.000  0.000  0.000  0.000      0  0.000
0.447025  0.000  0.000  0.000  0.000      0  0.000
0.448025  0.000  0.000  0.000  0.000      1  0.000
0.449025  0.000  0.000  0.000  0.000      1  0.000
0.450025  0.000  0.000  0.000  0.000      1  0.000
0.451025  0.000  0.000  0.000  0.000      1  0.000
0.452025  0.000  0.000  0.000  0.000      1  0.000
0.453025  0.000  0.000  0.000  0.000     -1  0.000
0.454026  0.000  0.000  0.000  0.000     -1  0.000
0.455026  0.000  0.000  0.000  0.000     -1  0.000
0.456026  0.000  0.000  0.000  0.000     -1  0.000
0.457026  0.000  0.000  0.000  0.000     -1  0.000
0.458026  0.000  0.000  0.000  0.000     -1  0.000
0.459026  0.000  0.000  0.000  0.000      0  0.000
0.460026  0.000  0.000  0.000  0.000      0  0.000
0.461026  0.000  0.000  0.000  0.000      0  0.000
0.462026  0.000  0.000  0.000  0.000      0  0.000
0.463026  0.000  0.000  0.000  0.000      0  0.000
0.464026  0.000  0.000  0.000  0.000      1  0.000
0.465026  0.000  0.000  0.000  0.000      1  0.000
0.466026  0.000  0.000  0.000  0.000      1  0.000
0.467026  0.000  0.000  0.000  0.000      1  0.000
0.468026  0.000  0.000  0.000  0.000      1  0.000
0.469026  0.000  0.000  0.000  0.000      1  0.000
0.470026  0.000  0.000  0.000  0.000      0  0.000
0.471026  0.000  0.000  0.000  0.000      0  0.000
0.472027  0.000  0.000  0.000  0.000      0  0.000
0.473027  0.000  0.000  0.000  0.000      0  0.000
0.474027  0.000  0.000  0.000  0.000      0  0.000
0.475027  0.000  0.000  0.000  0.000      1  0.000
0.476027  0.000  0.000  0.000  0.000      1  0.000
0.477027  0.000  0.000  0.000  0.000      1  0.000
0.478027  0.000  0.000  0.000  0.000      1  0.000
0.479027  0.000  0.000  0.000  0.000      1  0.000
0.480027  0.000  0.000  0.000  0.000      1  0.000
0.481027  0.000  0.000  0.000  0.000      1  0.000
0.482027  0.000  0.000  0.000  0.000      1  0.000
0.483027  0.000  0.000  0.000  0.000      1  0.000
0.484027  0.000  0.000  0.000  0.000      1  0.000
0.485027  0.000  0.000  0.000  0.000      1  0.000
0.486027  0.000  0.000  0.000  0.000      0  0.000
0.487027  0.000  0.000  0.000  0.000      0  0.000
0.488027  0.000  0.000  0.000  0.000      0  0.000
0.489028  0.000  0.000  0.000  0.000      0  0.000
0.490028  0.000  0.000  0.000  0.000      0  0.000
0.491028  0.000  0.000  0.000  0.000      0  0.000
0.492028  0.000  0.000  0.000  0.000      0  0.000
0.493028  0.000  0.000  0.000  0.000      0  0.000
0.494028  0.000  0.000  0.000  0.000      0  0.000
0.495028  0.000  0.000  0.000  0.000      0  0.000
0.496028  0.000  0.000  0.000  0.000      0  0.000
0.497028  0.000  0.000  0.000  0.000     -1  0.000
0.498028  0.000  0.000  0.000  0.000     -1  0.000
0.499028  0.000  0.000  0.000  0.000     -1  0.000
