OmegaControlKF
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  vel_motor[rad / s]
0.004000  0.000  0.000  0.000  0.000  0.000
0.005000  0.785  0.003  -0.004  0.000  -0.000
0.006000  1.816  0.005  -0.006  0.001  -0.000
0.008000  1.215  0.006  -0.007  0.002  -0.000
0.010000  0.880  0.007  -0.008  0.002  -0.000
0.012000  0.648  0.008  -0.008  0.003  -0.000
0.014000  0.512  0.008  -0.009  0.004  -0.000
0.016001  0.208  0.009  -0.009  0.004  -0.000
0.017001  0.173  0.009  -0.009  0.005  -0.000
0.018001  0.142  0.009  -0.010  0.006  -0.000
0.019001  0.122  0.009  -0.010  0.006  -0.000
0.020001  0.106  0.009  -0.010  0.007  -0.000
0.021001  0.093  0.009  -0.010  0.007  -0.000
0.022001  0.082  0.010  -0.010  0.008  -0.000
0.023001  -0.025  0.009  -0.010  0.009  -0.000
0.024001  -0.022  0.009  -0.011  0.010  -0.000
0.025001  -0.020  0.009  -0.011  0.011  -0.000
0.026001  -0.018  0.009  -0.011  0.011  -0.000
0.027001  -0.016  0.009  -0.011  0.012  -0.000
0.028001  0.220  0.010  -0.011  0.013  -0.000
0.029001  0.203  0.010  -0.011  0.013  -0.000
0.030001  0.187  0.010  -0.011  0.014  -0.000
0.031001  0.173  0.010  -0.011  0.015  -0.000
0.032001  0.160  0.010  -0.011  0.015  -0.000
0.033001  0.022  0.010  -0.011  0.016  -0.000
0.034002  0.020  0.010  -0.011  0.017  -0.000
0.035002  0.019  0.010  -0.011  0.017  -0.000
0.036002  0.018  0.010  -0.012  0.018  -0.000
0.037002  0.017  0.010  -0.012  0.019  -0.000
0.038002  0.014  0.010  -0.012  0.019  -0.000
0.039002  0.013  0.010  -0.012  0.020  -0.000
0.040002  0.012  0.010  -0.012  0.021  -0.000
0.041002  0.012  0.011  -0.012  0.021  -0.000
0.042002  0.011  0.011  -0.012  0.022  -0.000
0.043002  0.056  0.011  -0.012  0.023  -0.000
0.044002  0.053  0.011  -0.012  0.023  -0.000
0.045002  0.051  0.011  -0.012  0.024  -0.000
0.046002  0.048  0.011  -0.012  0.024  -0.000
0.047002  0.046  0.011  -0.012  0.025  -0.000
0.048002  0.003  0.011  -0.012  0.026  -0.000
0.049002  0.003  0.011  -0.012  0.026  -0.000
0.050002  0.003  0.011  -0.012  0.027  -0.000
0.051003  0.003  0.011  -0.012  0.028  -0.000
0.052003  0.003  0.011  -0.012  0.028  -0.000
0.053003  -0.033  0.011  -0.012  0.029  -0.000
0.054003  -0.031  0.011  -0.012  0.029  -0.000
0.055003  -0.030  0.011  -0.012  0.030  -0.000
0.056003  -0.029  0.011  -0.012  0.030  -0.000
0.057003  -0.028  0.011  -0.012  0.031  -0.000
0.058003  0.115  0.011  -0.012  0.032  -0.000
0.059003  0.111  0.011  -0.012  0.032  -0.000
0.060003  0.107  0.011  -0.012  0.033  -0.000
0.061003  0.104  0.011  -0.012  0.033  -0.000
0.062003  0.100  0.011  -0.012  0.034  -0.000
0.063003  -0.066  0.011  -0.012  0.035  -0.000
0.064003  -0.064  0.011  -0.012  0.035  -0.000
0.065003  -0.062  0.011  -0.012  0.036  -0.000
0.066003  -0.060  0.011  -0.012  0.037  -0.000
0.067003  -0.058  0.011  -0.012  0.038  -0.000
0.068003  -0.028  0.011  -0.012  0.038  -0.000
0.069004  -0.027  0.011  -0.012  0.039  -0.000
0.070004  -0.027  0.011  -0.012  0.039  -0.000
0.071004  -0.026  0.011  -0.012  0.040  -0.000
0.072004  -0.025  0.011  -0.012  0.041  -0.000
0.073004  -0.024  0.011  -0.012  0.041  -0.000
