OmegaControlKF
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  vel_motor[rad / s]
0.116006  0.034  0.007  -0.012  0.072  -0.000
0.117006  0.033  0.007  -0.013  0.073  -0.000
0.118006  0.033  0.007  -0.013  0.073  -0.000
0.119006  0.032  0.007  -0.013  0.074  -0.000
0.120006  0.072  0.007  -0.013  0.074  -0.000
0.121006  0.071  0.007  -0.013  0.075  -0.000
0.122007  0.070  0.008  -0.013  0.075  -0.000
0.123007  0.069  0.008  -0.013  0.076  -0.000
0.124007  0.068  0.008  -0.013  0.077  -0.000
0.125007  0.070  0.008  -0.013  0.077  -0.000
0.126007  0.069  0.008  -0.013  0.078  -0.000
0.127007  0.068  0.008  -0.013  0.078  -0.000
0.128007  0.067  0.008  -0.013  0.079  -0.000
0.129007  0.067  0.008  -0.013  0.079  -0.000
0.130007  0.102  0.008  -0.013  0.080  -0.000
0.131007  0.101  0.008  -0.013  0.080  -0.000
0.132007  0.100  0.008  -0.013  0.081  -0.000
0.133007  0.098  0.008  -0.012  0.081  -0.000
0.134007  0.097  0.009  -0.012  0.082  -0.000
0.135007  0.095  0.009  -0.013  0.082  -0.000
0.136007  0.094  0.009  -0.013  0.083  -0.000
0.138007  0.093  0.009  -0.013  0.083  -0.000
0.139008  0.046  0.009  -0.013  0.084  -0.000
0.140008  0.089  0.009  -0.013  0.085  -0.000
0.141008  0.087  0.009  -0.013  0.085  -0.000
0.142008  0.086  0.009  -0.013  0.085  -0.000
0.143008  0.085  0.009  -0.013  0.086  -0.000
0.144008  0.084  0.009  -0.013  0.086  -0.000
0.145008  0.083  0.009  -0.013  0.087  -0.000
0.146008  0.082  0.010  -0.013  0.088  -0.000
0.147008  0.081  0.010  -0.013  0.088  -0.000
0.148008  0.080  0.010  -0.013  0.089  -0.000
0.149008  0.079  0.010  -0.013  0.090  -0.000
0.150008  0.078  0.010  -0.013  0.090  -0.000
0.151008  0.077  0.010  -0.013  0.091  -0.000
0.152008  0.076  0.010  -0.013  0.091  -0.000
0.153008  0.075  0.010  -0.013  0.092  -0.000
0.154008  0.074  0.010  -0.013  0.092  -0.000
0.155008  0.106  0.010  -0.013  0.092  -0.000
0.156009  0.105  0.010  -0.013  0.093  -0.000
0.159009  0.103  0.010  -0.013  0.093  -0.000
0.160009  0.034  0.011  -0.013  0.094  -0.000
0.161009  0.101  0.011  -0.013  0.094  -0.000
0.162009  0.100  0.011  -0.013  0.095  -0.000
0.163009  0.099  0.011  -0.013  0.095  -0.000
0.164009  0.098  0.011  -0.013  0.096  -0.000
0.165009  0.096  0.011  -0.013  0.096  -0.000
0.166009  0.095  0.011  -0.013  0.097  -0.000
0.167009  0.094  0.011  -0.013  0.097  -0.000
0.168009  0.093  0.011  -0.013  0.098  -0.000
0.169009  0.092  0.011  -0.013  0.098  -0.000
0.170009  0.091  0.012  -0.013  0.099  -0.000
0.171009  0.090  0.012  -0.013  0.099  -0.000
0.172009  0.089  0.012  -0.013  0.100  -0.000
0.173009  0.088  0.012  -0.013  0.100  -0.000
0.175010  0.087  0.012  -0.013  0.101  -0.000
