accBasedController [2021-02-28-17-59-47]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.001000  0.000  0.000  0.000  0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  0.000  0.000
0.005000  0.000  0.000  0.000  0.000  0.000  0.000
0.006000  0.000  0.000  0.000  0.000  0.000  0.000
0.007000  0.000  0.000  0.000  0.000  0.000  0.000
0.008000  0.000  0.000  0.000  0.000  0.000  0.000
0.009000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.010000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.011000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.012000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.013000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.014000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.015000  0.002  -0.002  0.219  -0.207  0.000  0.000
0.016001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.017001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.018001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.019001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.020001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.021001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.022001  0.003  -0.005  0.173  -0.469  0.000  0.000
0.023001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.024001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.025001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.026001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.027001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.028001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.029001  0.003  -0.006  -0.048  -0.067  0.000  0.000
0.030001  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.031001  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.032001  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.033001  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.034002  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.035002  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.036002  0.003  -0.006  -0.012  -0.008  0.000  0.000
0.037002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.038002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.039002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.040002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.041002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.042002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.043002  0.003  -0.006  0.066  -0.007  0.000  0.000
0.044002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.045002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.046002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.047002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.048002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.049002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.050002  0.003  -0.005  -0.078  0.164  0.000  0.000
0.051003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.052003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.053003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.054003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.055003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.056003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.057003  0.003  -0.006  0.036  -0.204  0.000  0.000
0.058003  0.003  -0.005  0.057  0.153  0.000  0.000
0.059003  0.003  -0.005  0.057  0.153  0.000  0.000
0.060003  0.003  -0.005  0.057  0.153  0.000  0.000
0.061003  0.003  -0.005  0.057  0.153  0.000  0.000
0.062003  0.003  -0.005  0.057  0.153  0.000  0.000
0.063003  0.003  -0.005  0.057  0.153  0.000  0.000
0.064003  0.003  -0.005  0.057  0.153  0.000  0.000
0.065003  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.066003  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.067003  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.068003  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.070004  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.071004  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.072004  0.003  -0.005  -0.072  -0.019  0.000  0.000
0.073004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.074004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.075004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.076004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.077004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.078004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.079004  0.004  -0.006  0.194  -0.098  0.000  0.000
0.080004  0.003  -0.005  -0.135  0.174  0.000  0.000
0.081004  0.003  -0.005  -0.135  0.174  0.000  0.000
0.082004  0.003  -0.005  -0.135  0.174  0.000  0.000
0.083004  0.003  -0.005  -0.135  0.174  0.000  0.000
0.084004  0.003  -0.005  -0.135  0.174  0.000  0.000
0.086005  0.003  -0.005  -0.135  0.174  0.000  0.000
0.087005  0.003  -0.005  -0.135  0.174  0.000  0.000
0.088005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.089005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.090005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.091005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.092005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.093005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.094005  0.003  -0.005  -0.044  0.001  0.000  0.000
0.095005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.096005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.097005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.098005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.099005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.100005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.102005  0.003  -0.005  0.028  -0.090  0.000  0.000
0.103005  0.006  -0.004  0.304  0.120  0.000  0.000
0.104006  0.006  -0.004  0.304  0.120  0.000  0.000
0.105006  0.006  -0.004  0.304  0.120  0.000  0.000
0.106006  0.006  -0.004  0.304  0.120  0.000  0.000
0.107006  0.006  -0.004  0.304  0.120  0.000  0.000
0.108006  0.006  -0.004  0.304  0.120  0.000  0.000
0.109006  0.006  -0.004  0.304  0.120  0.000  0.000
0.110006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.111006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.112006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.113006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.114006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.115006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.116006  0.006  -0.005  0.063  -0.127  0.000  0.000
0.117006  0.005  -0.004  -0.129  0.175  0.000  0.000
0.118006  0.005  -0.004  -0.129  0.175  0.000  0.000
0.119006  0.005  -0.004  -0.129  0.175  0.000  0.000
0.120006  0.005  -0.004  -0.129  0.175  0.000  0.000
0.121007  0.005  -0.004  -0.129  0.175  0.000  0.000
0.122007  0.005  -0.004  -0.129  0.175  0.000  0.000
0.123007  0.005  -0.004  -0.129  0.175  0.000  0.000
0.124007  0.006  -0.005  0.069  -0.165  0.000  0.000
0.125007  0.006  -0.005  0.069  -0.165  0.000  0.000
0.126007  0.006  -0.005  0.069  -0.165  0.000  0.000
