qASGD: [2021-12-08-19-38-34]

0.010,-1.054,0.450,-0.004
0.017,-0.077,0.021,-0.010
0.024,-0.545,0.483,-0.014
0.031,-0.089,0.038,-0.014
0.038,-0.543,0.475,-0.018
0.045,-0.554,-0.142,-0.019
0.051,-0.351,0.476,-0.021
0.058,-0.549,-0.106,-0.022
0.064,-0.563,0.542,-0.025
0.070,-0.579,-0.080,-0.026
0.077,-0.340,0.497,-0.027
0.084,-0.846,0.126,-0.031
0.090,-0.286,0.401,-0.030
0.097,-0.853,0.127,-0.034
0.103,-0.230,0.185,-0.034
0.109,-0.279,0.811,-0.036
0.115,-0.457,0.202,-0.039
0.121,-0.254,0.797,-0.039
0.128,-0.250,0.177,-0.040
0.134,-0.882,0.151,-0.044
0.140,-0.305,0.395,-0.043
0.146,-0.898,0.193,-0.047
0.151,-0.314,0.383,-0.045
0.157,-0.931,0.194,-0.050
0.164,-0.335,0.379,-0.049
0.171,-0.940,0.226,-0.053
0.177,-0.317,0.352,-0.052
0.184,-0.644,-0.181,-0.054
0.191,-0.550,0.451,-0.056
0.197,0.060,0.270,-0.054
0.203,-0.558,0.163,-0.058
0.277,-0.222,0.693,-0.057
0.283,-0.336,-0.051,-0.065
0.290,-0.493,0.563,-0.067
0.297,-0.413,-0.062,-0.069
0.304,-0.464,0.571,-0.071
0.311,-0.467,-0.043,-0.072
0.317,-0.386,0.593,-0.074
0.323,-0.580,-0.007,-0.076
0.331,-0.200,0.486,-0.076
0.337,-0.785,0.219,-0.081
0.343,-0.224,0.477,-0.079
0.349,-0.834,0.621,-0.086
0.354,-0.261,0.364,-0.083
0.361,-0.888,0.375,-0.088
0.367,-0.376,0.011,-0.088
0.374,-0.531,0.607,-0.090
0.380,-0.387,-0.005,-0.090
0.386,-0.537,0.612,-0.093
0.393,-0.400,-0.010,-0.094
0.400,-0.129,0.548,-0.094
0.406,-0.694,0.266,-0.100
0.411,-0.138,0.539,-0.097
0.419,-0.586,0.099,-0.101
0.425,-0.281,0.652,-0.101
0.431,-0.656,0.149,-0.105
0.436,-0.068,0.352,-0.104
0.444,-0.678,0.444,-0.109
0.450,-0.275,-0.033,-0.109
0.456,-0.570,0.522,-0.112
0.463,-0.288,-0.043,-0.113
0.470,-0.568,0.521,-0.115
0.515,-0.407,-0.094,-0.117
0.522,-0.572,0.655,-0.124
0.529,-0.243,0.092,-0.125
0.535,-0.577,0.615,-0.128
0.543,-0.456,-0.002,-0.129
0.549,-0.554,0.616,-0.131
0.557,-0.117,0.171,-0.129
0.564,-0.753,0.253,-0.134
0.571,-0.128,0.176,-0.133
0.576,-0.585,0.612,-0.138
0.582,-0.245,0.096,-0.137
0.589,-0.671,0.553,-0.141
0.597,-0.404,-0.019,-0.141
0.603,-0.667,0.556,-0.144
0.610,-0.092,0.281,-0.142
0.617,-0.712,0.203,-0.146
0.624,-0.173,0.520,-0.144
0.631,-0.779,0.322,-0.150
0.637,-0.156,0.456,-0.148
0.644,-0.755,0.626,-0.155
0.651,-0.307,0.191,-0.153
0.659,-0.764,0.632,-0.158
0.665,-0.448,0.086,-0.158
0.672,-0.630,0.683,-0.160
0.679,-0.505,0.057,-0.162
0.685,-0.607,0.673,-0.164
0.692,-0.293,0.108,-0.164
0.699,-0.690,0.572,-0.167
0.704,-0.297,0.074,-0.167
0.710,-0.817,0.420,-0.170
0.717,-0.191,0.423,-0.167
0.756,-0.692,0.820,-0.175
0.762,-0.360,0.215,-0.174
0.769,-0.823,0.666,-0.180
0.775,-0.371,0.237,-0.177
0.781,-0.834,0.648,-0.182
0.788,-0.273,0.357,-0.179
0.795,-0.018,0.936,-0.178
0.801,-0.408,0.438,-0.185
0.808,-1.033,0.351,-0.191
0.815,-0.421,0.265,-0.188
0.821,-1.050,0.183,-0.193
0.826,-0.425,0.261,-0.192
0.833,-0.391,0.893,-0.193
0.840,-0.395,0.266,-0.195
0.845,-0.880,0.666,-0.200
0.852,-0.345,0.344,-0.197
0.858,-0.939,0.536,-0.203
0.865,-0.325,0.417,-0.200
0.871,-0.857,0.072,-0.204
0.877,-0.289,0.325,-0.203
0.884,-0.779,0.728,-0.209
0.891,-0.386,0.228,-0.208
0.897,-0.783,0.716,-0.212
0.904,-0.392,0.232,-0.210
0.910,-0.535,0.857,-0.214
0.916,-0.419,0.242,-0.214
0.923,-0.611,0.842,-0.218
0.929,-0.203,0.367,-0.215
0.935,-0.806,0.212,-0.219
0.941,-0.279,0.549,-0.217
0.948,-0.599,0.013,-0.220
0.988,-0.269,0.556,-0.220
0.995,-0.266,-0.289,-0.230
1.002,-0.603,0.253,-0.232
1.009,0.018,0.364,-0.230
1.015,-0.595,0.474,-0.236
1.020,0.026,0.363,-0.234
1.028,-0.585,0.256,-0.238
1.035,-0.135,-0.183,-0.240
1.042,-0.531,0.309,-0.242
1.047,-0.266,-0.265,-0.243
1.055,-0.481,0.340,-0.246
1.061,0.038,0.698,-0.243
1.067,-0.441,0.300,-0.248
1.072,-0.571,0.909,-0.251
1.080,-0.458,0.290,-0.251
1.087,-0.393,-0.339,-0.253
1.092,-0.466,0.286,-0.255
1.099,-0.509,0.912,-0.256
1.107,-0.465,0.258,-0.258
