acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  acc_motor[rad/s2]  actual_Vel[rad/s]
-0.002  -0.040  -0.001  -0.025  -0.004  -0.063  -0.052  0.000      0
-0.005  -0.041  -0.003  -0.026  -0.008  -0.064  -0.099  0.000      0
0.001  -0.036  0.001  -0.023  0.002  -0.056  -0.122  0.000      0
0.004  -0.034  0.002  -0.022  0.006  -0.052  -0.134  0.000      0
-0.005  -0.035  -0.003  -0.023  -0.008  -0.054  -0.160  0.000      0
0.004  -0.031  0.002  -0.021  0.006  -0.046  -0.161  0.000      0
0.001  -0.032  0.000  -0.022  0.001  -0.047  -0.170  0.000      0
0.001  -0.031  0.000  -0.021  0.001  -0.044  -0.175  0.000      0
0.003  -0.029  0.002  -0.020  0.006  -0.041  -0.173  0.000      0
0.000  -0.024  0.000  -0.018  0.001  -0.033  -0.172  0.000      0
0.006  -0.029  0.004  -0.021  0.010  -0.040  -0.167  0.000      0
0.000  -0.025  0.000  -0.018  0.000  -0.033  -0.168  0.000      0
-0.006  -0.021  -0.003  -0.016  -0.009  -0.026  -0.175  0.000      0
0.000  -0.017  0.000  -0.014  0.000  -0.019  -0.166  0.000      0
0.000  -0.021  0.000  -0.017  0.000  -0.026  -0.164  0.000      0
0.003  -0.017  0.002  -0.014  0.005  -0.020  -0.153  0.000      0
0.003  -0.019  0.002  -0.016  0.005  -0.022  -0.148  0.000      0
-0.000  -0.015  -0.000  -0.013  -0.000  -0.015  -0.144  0.000      0
-0.000  -0.015  0.000  -0.013  -0.000  -0.014  -0.140  0.000      0
-0.003  -0.016  -0.002  -0.014  -0.004  -0.017  -0.144  0.000      0
0.006  -0.012  0.004  -0.012  0.009  -0.011  -0.128  0.000      0
0.003  -0.014  0.002  -0.013  0.004  -0.013  -0.123  0.000      0
0.003  -0.014  0.002  -0.013  0.004  -0.012  -0.118  0.000      0
-0.000  -0.013  -0.000  -0.013  -0.001  -0.011  -0.120  0.000      0
0.002  -0.012  0.002  -0.012  0.003  -0.009  -0.115  0.000      0
-0.006  -0.008  -0.004  -0.010  -0.010  -0.003  -0.122  0.000      0
0.006  -0.005  0.004  -0.008  0.009  0.003  -0.103  0.000      0
-0.003  -0.007  -0.002  -0.009  -0.006  -0.001  -0.107  0.000      0
0.008  -0.012  0.005  -0.013  0.012  -0.010  -0.096  0.000      0
-0.001  -0.008  -0.001  -0.010  -0.002  -0.003  -0.099  0.000      0
0.005  -0.005  0.003  -0.008  0.007  0.002  -0.087  0.000      0
0.002  -0.005  0.001  -0.008  0.002  0.003  -0.082  0.000      0
-0.001  -0.001  -0.000  -0.006  -0.002  0.008  -0.080  0.000      0
-0.004  -0.006  -0.002  -0.009  -0.007  0.000  -0.088  0.000      0
-0.004  -0.009  -0.002  -0.011  -0.006  -0.004  -0.098  0.000      0
-0.001  -0.002  -0.000  -0.007  -0.002  0.007  -0.093  0.000      0
-0.001  -0.005  -0.000  -0.008  -0.001  0.002  -0.092  0.000      0
-0.006  -0.002  -0.004  -0.006  -0.010  0.008  -0.097  0.000      0
-0.003  -0.004  -0.002  -0.008  -0.005  0.004  -0.098  0.000      0
-0.003  -0.001  -0.002  -0.006  -0.005  0.009  -0.095  0.000      0
-0.009  -0.003  -0.005  -0.007  -0.014  0.005  -0.105  0.000      0
-0.005  -0.003  -0.003  -0.007  -0.008  0.005  -0.106  0.000      0
-0.005  -0.002  -0.003  -0.007  -0.008  0.006  -0.107  0.000      0
-0.010  0.001  -0.007  -0.005  -0.016  0.011  -0.112  0.000      0
-0.013  -0.002  -0.008  -0.006  -0.020  0.007  -0.123  0.000      0
-0.004  0.002  -0.003  -0.004  -0.005  0.012  -0.112  0.000      0
-0.001  -0.001  -0.001  -0.006  -0.000  0.007  -0.102  0.000      0
-0.001  -0.001  -0.001  -0.006  -0.000  0.008  -0.093  0.000      0
0.002  0.005  0.001  -0.002  0.004  0.017  -0.074  0.000      0
0.002  -0.003  0.001  -0.007  0.005  0.004  -0.068  0.000      0
-0.003  -0.000  -0.002  -0.005  -0.005  0.009  -0.070  0.000      0
0.002  0.003  0.001  -0.003  0.004  0.014  -0.058  0.000      0
0.011  0.006  0.006  -0.001  0.018  0.019  -0.030  0.000      0
0.004  0.003  0.003  -0.003  0.008  0.013  -0.022  0.000      0
0.004  0.004  0.003  -0.003  0.007  0.014  -0.015  0.000      0
0.007  0.001  0.004  -0.005  0.011  0.009  -0.009  0.000      0
0.004  0.007  0.002  -0.001  0.006  0.018  -0.003  0.000      0
0.015  -0.005  0.009  -0.008  0.024  0.000  0.008  0.000      0
0.009  0.005  0.005  -0.002  0.014  0.015  0.017  0.000      0
0.005  0.007  0.003  -0.001  0.008  0.019  0.021  0.000      0
0.008  -0.001  0.005  -0.006  0.012  0.005  0.018  0.000      0
0.007  0.005  0.005  -0.002  0.011  0.015  0.023  0.000      0
-0.001  0.005  -0.001  -0.002  -0.003  0.014  0.011  0.000      0
0.004  0.005  0.003  -0.002  0.006  0.014  0.011  0.000      0
0.001  0.005  0.001  -0.002  0.001  0.014  0.007  0.000      0
