acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
0.070  -0.181  0.006  -0.003  138.767      0  0.000
0.066  -0.106  0.005  -0.007  145.239      0  0.000
0.047  -0.037  0.004  -0.012  140.972      0  0.000
0.019  0.058  0.003  -0.008  130.389      0  0.000
-0.004  0.160  0.003  -0.002  124.888      0  0.000
-0.027  0.244  0.002  -0.001  111.728      0  0.000
-0.036  0.155  0.002  -0.004  105.451      0  0.000
-0.043  0.067  0.002  -0.006  99.769      0  0.000
-0.042  0.008  0.004  -0.006  104.533      0  0.000
-0.027  0.003  0.005  -0.004  119.752      0  0.000
0.005  0.055  0.007  0.001  146.507      0  0.000
0.057  0.104  0.010  0.002  185.301      0  0.000
0.091  0.111  0.009  0.000  212.169      0  0.000
0.111  0.065  0.009  -0.002  232.744      0  0.000
0.122  0.040  0.010  -0.001  255.790      0  0.000
0.131  0.054  0.011  0.000  279.552      0  0.000
0.115  0.077  0.010  0.002  288.985      0  0.000
0.081  0.086  0.007  0.002  280.266      0  0.000
0.022  0.070  0.004  0.002  252.010      0  0.000
-0.027  0.046  0.005  0.002  232.235      0  0.000
-0.063  0.024  0.005  0.002  219.627      0  0.000
-0.067  0.037  0.008  0.003  229.636      0  0.000
-0.039  0.060  0.011  0.004  254.709      0  0.000
-0.012  0.067  0.011  0.004  280.735      0  0.000
0.012  0.054  0.011  0.004  300.503      0  0.000
0.037  0.037  0.011  0.003  311.987      0  0.000
0.045  0.028  0.007  0.004  295.404      0  0.000
0.026  0.021  0.003  0.003  256.222      0  0.000
-0.026  0.001  -0.001  0.000  195.170      0  0.000
-0.106  -0.026  -0.004  -0.001  127.259      0  0.000
-0.186  -0.057  -0.006  -0.002  57.732      0  0.000
-0.258  -0.095  -0.008  -0.004  -7.619      0  0.000
-0.300  -0.117  -0.009  -0.004  -64.808      0  0.000
-0.311  -0.131  -0.010  -0.006  -116.998      0  0.000
-0.300  -0.150  -0.011  -0.008  -166.593      0  0.000
-0.262  -0.167  -0.010  -0.010  -203.036      0  0.000
-0.231  -0.178  -0.015  -0.010  -264.247      0  0.000
-0.188  -0.154  -0.013  -0.008  -302.309      0  0.000
-0.155  -0.104  -0.015  -0.005  -342.150      0  0.000
-0.155  -0.064  -0.019  -0.005  -401.210      0  0.000
-0.121  -0.027  -0.013  -0.005  -408.653      0  0.000
-0.012  -0.006  0.001  -0.007  -318.351      0  0.000
0.085  0.006  0.002  -0.007  -238.355      0  0.000
0.144  0.024  -0.001  -0.007  -200.590      0  0.000
0.168  0.038  -0.005  -0.006  -193.549      0  0.000
0.186  0.048  -0.004  -0.004  -180.454      0  0.000
0.210  0.054  -0.002  -0.002  -156.225      0  0.000
0.210  0.048  0.001  -0.002  -115.877      0  0.000
0.215  0.050  0.004  -0.001  -68.302      0  0.000
0.193  0.068  0.004  -0.001  -28.294      0  0.000
0.114  0.086  0.002  -0.001  -6.472      0  0.000
0.057  0.119  0.004  0.003  19.388      0  0.000
0.079  0.119  0.004  0.001  40.309      0  0.000
0.113  0.107  0.005  0.002  65.995      0  0.000
0.124  0.086  0.006  0.001  93.428      0  0.000
0.105  0.075  0.006  0.003  116.652      0  0.000
0.071  0.061  0.005  0.002  124.451      0  0.000
0.041  0.049  0.005  0.001  130.555      0  0.000
0.022  0.049  0.004  0.004  132.267      0  0.000
0.006  0.027  0.002  0.001  121.943      0  0.000
-0.014  -0.008  0.001  -0.002  104.981      0  0.000
-0.043  -0.051  0.001  -0.004  88.573      0  0.000
-0.059  -0.062  0.001  -0.003  79.703      0  0.000
-0.068  -0.074  0.002  -0.002  76.440      0  0.000
-0.072  -0.056  0.001  0.002  66.761      0  0.000
-0.074  -0.024  -0.001  0.005  47.961      0  0.000
-0.069  0.018  -0.001  0.005  30.431      0  0.000
-0.061  0.058  -0.000  0.006  23.678      0  0.000
-0.053  0.088  -0.001  0.006  10.677      0  0.000
-0.039  0.119  -0.001  0.005  3.936      0  0.000
-0.033  0.134  -0.001  0.006  -3.158      0  0.000
-0.036  0.124  -0.002  0.005  -13.996      0  0.000
-0.041  0.084  -0.002  0.004  -24.582      0  0.000
-0.029  0.022  -0.000  0.001  -22.214      0  0.000
-0.006  -0.037  0.001  0.001  -14.046      0  0.000
0.005  -0.078  -0.001  -0.001  -14.792      0  0.000
0.015  -0.100  0.001  -0.002  -6.026      0  0.000
0.022  -0.112  0.001  -0.001  3.068      0  0.000
0.026  -0.103  -0.000  -0.000  0.909      0  0.000
0.025  -0.092  0.000  -0.001  3.247      0  0.000
0.032  -0.081  0.001  -0.001  12.159      0  0.000
0.033  -0.059  0.001  -0.001  16.270      0  0.000
0.018  -0.034  -0.001  -0.001  8.834      0  0.000
-0.003  -0.017  -0.001  -0.002  0.320      0  0.000
-0.014  -0.025  -0.001  -0.004  -5.578      0  0.000
-0.015  -0.046  -0.000  -0.007  -7.688      0  0.000
-0.023  -0.080  -0.001  -0.009  -9.542      0  0.000
-0.007  -0.105  0.002  -0.008  5.169      0  0.000
0.008  -0.108  0.002  -0.006  15.609      0  0.000
0.014  -0.095  0.002  -0.005  25.309      0  0.000
0.028  -0.070  0.003  -0.003  40.447      0  0.000
0.046  -0.023  0.003  0.000  52.704      0  0.000
0.057  0.034  0.002  0.002  58.803      0  0.000
0.055  0.082  0.003  0.001  64.069      0  0.000
0.050  0.112  0.003  -0.000  72.308      0  0.000
0.038  0.125  0.002  -0.001  74.649      0  0.000
0.017  0.114  0.001  -0.001  66.577      0  0.000
-0.005  0.097  0.001  0.002  61.714      0  0.000
-0.016  0.078  0.001  0.002  53.753      0  0.000
-0.038  0.064  -0.001  0.003  33.673      0  0.000
-0.061  0.040  -0.002  0.002  12.038      0  0.000
-0.083  0.027  -0.004  0.002  -19.481      0  0.000
-0.107  0.035  -0.006  0.004  -56.533      0  0.000
-0.117  0.054  -0.005  0.004  -78.165      0  0.000
-0.117  0.053  -0.005  0.002  -93.186      0  0.000
-0.089  0.034  -0.002  0.001  -86.394      0  0.000
-0.045  -0.004  0.001  -0.002  -64.124      0  0.000
-0.029  -0.048  -0.003  -0.003  -68.553      0  0.000
0.007  -0.081  -0.000  -0.005  -56.770      0  0.000
0.052  -0.094  0.002  -0.003  -32.552      0  0.000
0.083  -0.091  0.002  -0.002  -12.229      0  0.000
0.100  -0.090  0.001  -0.002  -1.700      0  0.000
0.102  -0.081  0.002  -0.002  11.613      0  0.000
0.081  -0.062  0.001  -0.002  16.748      0  0.000
0.063  -0.041  0.002  -0.003  24.536      0  0.000
0.043  -0.017  0.002  -0.002  34.643      0  0.000
0.034  0.009  0.002  -0.001  42.183      0  0.000
0.042  0.025  0.003  -0.000  52.687      0  0.000
0.021  0.026  0.002  -0.002  56.991      0  0.000
0.008  0.011  0.002  -0.002  58.533      0  0.000
0.001  0.008  0.001  -0.001  51.512      0  0.000
-0.003  0.005  0.001  -0.003  46.798      0  0.000
-0.010  -0.006  0.001  -0.004  45.034      0  0.000
-0.012  -0.006  0.001  -0.003  43.072      0  0.000
-0.019  -0.005  0.001  -0.002  41.284      0  0.000
-0.021  -0.020  0.001  -0.003  40.667      0  0.000
-0.025  -0.013  0.000  -0.000  32.997      0  0.000
-0.028  0.007  -0.000  0.001  25.745      0  0.000
-0.028  0.041  -0.001  0.003  15.178      0  0.000
-0.023  0.074  -0.000  0.005  11.785      0  0.000
-0.016  0.102  0.000  0.005  12.292      0  0.000
-0.016  0.133  0.000  0.007  11.286      0  0.000
-0.017  0.133  -0.000  0.004  8.020      0  0.000
-0.017  0.090  -0.001  -0.001  2.722      0  0.000
-0.016  0.048  -0.001  -0.001  -2.290      0  0.000
-0.007  0.011  0.000  -0.001  1.335      0  0.000
-0.000  -0.041  -0.000  -0.002  -0.455      0  0.000
0.002  -0.076  0.000  -0.002  0.219      0  0.000
0.008  -0.103  0.001  -0.002  5.706      0  0.000
0.001  -0.120  -0.000  -0.003  3.198      0  0.000
0.007  -0.113  0.001  -0.002  9.956      0  0.000
0.020  -0.097  0.002  -0.003  21.770      0  0.000
0.030  -0.057  0.002  -0.002  30.996      0  0.000
0.039  -0.019  0.003  -0.001  43.462      0  0.000
0.042  0.001  0.003  0.000  52.810      0  0.000
0.038  0.010  0.002  -0.001  58.293      0  0.000
0.034  0.021  0.001  -0.001  56.091      0  0.000
0.021  0.029  0.001  -0.000  51.175      0  0.000
0.007  0.038  0.001  0.000  45.848      0  0.000
-0.011  0.047  -0.001  0.001  30.607      0  0.000
-0.030  0.045  -0.000  0.001  24.056      0  0.000
-0.042  0.047  -0.001  0.002  15.782      0  0.000
-0.032  0.037  0.002  0.001  26.793      0  0.000
-0.024  0.026  0.002  0.000  32.562      0  0.000
-0.013  0.023  0.001  0.001  35.100      0  0.000
0.006  0.027  0.002  0.001  44.002      0  0.000
0.022  0.028  0.002  0.003  51.088      0  0.000
0.041  0.027  0.004  0.003  67.187      0  0.000
0.059  0.028  0.005  0.003  86.084      0  0.000
0.066  0.019  0.004  0.001  95.695      0  0.000
0.060  0.022  0.004  0.003  104.745      0  0.000
0.055  0.021  0.004  0.002  113.781      0  0.000
0.036  0.027  0.003  0.003  113.824      0  0.000
0.035  0.032  0.004  0.004  119.582      0  0.000
0.040  0.034  0.006  0.005  137.101      0  0.000
0.035  0.032  0.006  0.004  148.999      0  0.000
0.028  0.021  0.005  0.003  153.023      0  0.000
0.021  0.022  0.005  0.004  159.566      0  0.000
0.012  0.012  0.004  0.002  155.468      0  0.000
-0.000  0.001  0.002  0.001  140.089      0  0.000
-0.016  -0.017  0.002  0.001  127.547      0  0.000
-0.037  -0.033  0.001  0.001  107.129      0  0.000
-0.060  -0.048  -0.000  0.000  82.224      0  0.000
-0.086  -0.056  -0.001  0.001  60.161      0  0.000
-0.102  -0.059  -0.001  -0.000  41.827      0  0.000
-0.110  -0.049  -0.003  0.000  13.745      0  0.000
-0.110  -0.047  -0.003  -0.001  -7.635      0  0.000
-0.104  -0.040  -0.003  0.000  -24.036      0  0.000
-0.085  -0.024  -0.002  0.001  -34.444      0  0.000
-0.058  -0.023  -0.001  -0.001  -32.966      0  0.000
-0.038  -0.019  -0.001  -0.000  -33.123      0  0.000
-0.016  -0.011  -0.001  -0.000  -34.754      0  0.000
0.001  -0.007  -0.001  0.000  -34.231      0  0.000
0.012  -0.006  -0.001  -0.000  -33.050      0  0.000
0.025  -0.008  -0.000  -0.001  -27.246      0  0.000
0.035  -0.017  -0.000  -0.002  -24.249      0  0.000
0.035  -0.022  0.000  -0.002  -17.682      0  0.000
0.033  -0.029  0.001  -0.002  -10.326      0  0.000
0.032  -0.022  0.001  -0.000  -1.587      0  0.000
0.024  -0.011  0.000  -0.001  0.245      0  0.000
0.024  -0.006  0.000  -0.000  2.130      0  0.000
0.029  0.004  0.002  0.000  13.250      0  0.000
0.033  0.013  0.002  -0.000  25.484      0  0.000
0.032  0.020  0.002  -0.000  31.870      0  0.000
0.021  0.023  0.000  -0.001  28.239      0  0.000
0.017  0.021  0.001  -0.001  29.968      0  0.000
0.004  0.014  -0.000  -0.001  23.826      0  0.000
0.000  0.006  0.001  -0.000  24.899      0  0.000
-0.005  -0.008  0.000  -0.001  22.298      0  0.000
-0.009  -0.007  0.000  -0.000  18.038      0  0.000
-0.030  -0.009  -0.002  -0.001  0.243      0  0.000
-0.052  -0.006  -0.003  -0.000  -20.272      0  0.000
-0.058  -0.002  -0.002  -0.001  -32.340      0  0.000
-0.060  0.004  -0.003  0.000  -47.218      0  0.000
-0.063  0.000  -0.004  -0.001  -64.065      0  0.000
-0.075  -0.005  -0.005  -0.001  -84.160      0  0.000
-0.078  0.001  -0.005  0.000  -103.421      0  0.000
-0.075  0.003  -0.004  -0.000  -110.772      0  0.000
-0.055  0.008  -0.003  0.000  -108.580      0  0.000
-0.038  -0.000  -0.004  -0.001  -111.712      0  0.000
-0.014  -0.004  -0.003  -0.001  -109.918      0  0.000
-0.001  -0.001  -0.003  0.000  -107.143      0  0.000
0.005  0.006  -0.003  0.000  -107.534      0  0.000
0.020  0.007  -0.002  0.000  -101.816      0  0.000
0.035  0.010  -0.001  -0.000  -91.359      0  0.000
0.038  0.005  -0.002  -0.000  -89.471      0  0.000
0.041  -0.002  -0.001  -0.000  -77.967      0  0.000
0.032  -0.003  -0.002  -0.001  -73.522      0  0.000
0.019  -0.002  -0.003  -0.000  -78.733      0  0.000
0.012  0.003  -0.003  -0.000  -84.754      0  0.000
0.002  -0.002  -0.003  -0.001  -87.920      0  0.000
-0.006  -0.009  -0.003  -0.000  -91.816      0  0.000
0.002  -0.009  -0.001  -0.001  -77.430      0  0.000
0.023  0.001  0.003  0.000  -44.101      0  0.000
0.058  0.010  0.005  0.001  -0.241      0  0.000
0.082  0.016  0.004  0.001  23.816      0  0.000
0.075  0.019  0.000  0.001  21.751      0  0.000
0.071  0.020  -0.000  0.000  15.455      0  0.000
0.064  0.014  0.000  0.000  12.839      0  0.000
0.050  0.013  0.001  0.000  16.169      0  0.000
0.045  0.015  0.003  0.001  36.379      0  0.000
0.037  0.010  0.004  0.000  55.615      0  0.000
0.021  0.003  0.004  -0.000  73.436      0  0.000
0.002  -0.014  0.002  -0.001  72.570      0  0.000
0.003  -0.020  0.002  -0.001  73.196      0  0.000
0.032  -0.022  0.004  -0.001  85.837      0  0.000
