acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  acc_motor[rad/s2]  actual_Vel[rad/s]
0.053  -0.003  0.047  -0.006  -0.070  -0.001  1.426  0.000      0
-0.098  0.012  -0.047  0.003  -0.310  0.023  0.808  0.000      0
0.017  0.003  0.024  -0.003  -0.122  0.008  0.507  0.000      0
0.032  0.006  0.033  -0.001  -0.097  0.013  0.299  0.000      0
0.096  0.006  0.074  -0.001  0.007  0.013  0.246  0.000      0
0.197  0.006  0.138  -0.001  0.169  0.012  0.379  0.000      0
0.248  0.003  0.171  -0.002  0.249  0.008  0.569  0.000      0
0.241  0.009  0.169  0.001  0.234  0.016  0.711  0.000      0
0.246  -0.003  0.174  -0.006  0.239  -0.002  0.817  0.000      0
0.202  0.003  0.148  -0.002  0.165  0.008  0.828  0.000      0
0.191  0.006  0.143  -0.000  0.146  0.012  0.820  0.000      0
0.314  0.003  0.221  -0.002  0.341  0.008  1.022  0.000      0
0.433  0.003  0.298  -0.002  0.526  0.007  1.385  0.000      0
0.353  0.006  0.252  -0.000  0.392  0.012  1.533  0.000      0
0.216  0.006  0.169  -0.000  0.167  0.012  1.406  0.000      0
0.127  0.006  0.115  -0.000  0.022  0.012  1.148  0.000      0
0.025  0.003  0.052  -0.002  -0.140  0.007  0.762  0.000      0
0.011  0.006  0.044  -0.000  -0.161  0.011  0.433  0.000      0
0.021  0.006  0.050  -0.000  -0.142  0.011  0.191  0.000      0
0.027  0.003  0.054  -0.002  -0.131  0.006  0.007  0.000      0
0.028  0.006  0.055  -0.000  -0.128  0.011  -0.134  0.000      0
0.012  0.003  0.045  -0.002  -0.152  0.006  -0.276  0.000      0
-0.074  0.006  -0.009  0.000  -0.288  0.011  -0.533  0.000      0
-0.055  0.006  0.003  0.000  -0.253  0.010  -0.702  0.000      0
-0.004  0.006  0.034  0.000  -0.169  0.010  -0.744  0.000      0
0.016  0.003  0.047  -0.002  -0.135  0.005  -0.744  0.000      0
0.058  0.006  0.073  0.000  -0.066  0.010  -0.666  0.000      0
0.097  0.003  0.098  -0.002  -0.003  0.005  -0.539  0.000      0
0.195  0.003  0.160  -0.002  0.155  0.005  -0.266  0.000      0
0.330  0.003  0.246  -0.002  0.369  0.005  0.186  0.000      0
0.242  0.006  0.193  0.000  0.222  0.010  0.391  0.000      0
-0.069  0.006  0.001  0.000  -0.277  0.009  0.011  0.000      0
-0.169  0.009  -0.062  0.002  -0.435  0.014  -0.460  0.000      0
-0.080  0.005  -0.008  0.000  -0.287  0.008  -0.679  0.000      0
-0.058  0.005  0.005  0.000  -0.247  0.008  -0.811  0.000      0
-0.049  0.002  0.010  -0.002  -0.230  0.004  -0.901  0.000      0
-0.045  0.003  0.013  -0.002  -0.220  0.004  -0.962  0.000      0
-0.002  0.005  0.039  0.000  -0.148  0.008  -0.930  0.000      0
0.076  0.005  0.088  0.000  -0.022  0.008  -0.766  0.000      0
0.156  0.002  0.138  -0.002  0.105  0.003  -0.500  0.000      0
0.266  0.008  0.209  0.002  0.281  0.012  -0.090  0.000      0
0.186  0.002  0.160  -0.002  0.149  0.003  0.087  0.000      0
0.033  0.005  0.067  0.000  -0.097  0.007  -0.035  0.000      0
-0.003  0.002  0.044  -0.002  -0.154  0.002  -0.199  0.000      0
-0.036  0.008  0.023  0.002  -0.205  0.012  -0.378  0.000      0
-0.048  0.005  0.016  0.000  -0.221  0.006  -0.542  0.000      0
-0.033  0.005  0.025  0.000  -0.195  0.006  -0.644  0.000      0
-0.035  0.002  0.023  -0.002  -0.196  0.001  -0.731  0.000      0
0.019  0.005  0.056  0.000  -0.107  0.007  -0.699  0.000      0
0.039  0.002  0.070  -0.002  -0.072  0.002  -0.640  0.000      0
0.088  0.002  0.100  -0.002  0.007  0.001  -0.507  0.000      0
0.180  0.005  0.158  0.000  0.153  0.007  -0.237  0.000      0
0.193  0.005  0.168  0.000  0.172  0.006  -0.002  0.000      0
