acc_{hum}[rpm/s]  acc_{exo}[rpm/s]  vel_{hum}[rpm]  vel_{exo}[rpm]  vel_{motor}[rpm]  actual\_Vel[rpm]  Voltage[V]
-0.004  -0.854  -0.001  0.000  -18.052     -6  0.038
-0.001  -32.176  -0.000  0.000  -6.299     -7  0.044
-0.001  -32.176  -0.000  0.000  -6.299     -7  0.044
0.004  -62.732  -0.000  0.000  -5.697    -10  0.063
0.004  -62.732  -0.000  0.000  -5.697    -10  0.063
0.004  -94.031  -0.000  0.000  5.723    -12  0.076
0.007  -115.856  -0.000  0.000  5.055    -11  0.070
0.012  -94.309  0.000  0.000  8.014     -4  0.025
0.008  -51.007  -0.000  0.000  -13.623     -3  0.019
0.008  2.878  0.000  0.000  4.934     -3  0.019
0.014  52.161  0.000  0.000  15.466     -2  0.013
0.012  81.497  0.000  0.000  6.049     -2  0.013
0.004  97.683  -0.001  0.000  -30.474     -2  0.013
-0.005  113.107  -0.001  0.000  -40.102     -2  0.013
-0.012  129.573  -0.001  0.000  -47.433     -1  0.006
-0.012  129.573  -0.001  0.000  -47.433     -1  0.006
-0.008  122.502  0.000  0.000  11.715     -1  0.006
-0.008  122.502  0.000  0.000  11.715     -1  0.006
-0.011  79.709  -0.001  0.000  -31.926     -2  0.013
-0.011  79.709  -0.001  0.000  -31.926     -2  0.013
-0.012  24.642  -0.001  0.000  -25.994     -2  0.013
-0.012  24.642  -0.001  0.000  -25.994     -2  0.013
-0.015  4.968  -0.002  0.000  -51.776     -2  0.013
-0.021  -12.309  -0.002  0.000  -54.458     -5  0.032
-0.014  -36.630  -0.000  0.000  -10.070     -7  0.044
-0.014  -36.630  -0.000  0.000  -10.070     -7  0.044
-0.005  -84.494  -0.001  0.000  -9.791    -12  0.076
-0.005  -84.494  -0.001  0.000  -9.791    -12  0.076
0.007  -153.074  0.000  0.000  24.629    -16  0.101
0.007  -153.074  0.000  0.000  24.629    -16  0.101
0.003  -229.849  -0.001  0.000  -27.807    -20  0.127
0.003  -229.849  -0.001  0.000  -27.807    -20  0.127
0.003  -269.945  -0.000  0.000  5.844    -18  0.114
0.004  -257.211  0.000  0.000  16.194    -15  0.095
0.004  -257.211  0.000  0.000  16.194    -15  0.095
0.014  -212.665  -0.000  0.000  3.875    -13  0.082
0.014  -212.665  -0.000  0.000  3.875    -13  0.082
0.018  -157.881  0.000  0.000  23.856    -11  0.070
0.018  -157.881  0.000  0.000  23.856    -11  0.070
0.017  -86.064  -0.001  0.000  -12.036     -8  0.051
0.017  -86.064  -0.001  0.000  -12.036     -8  0.051
0.009  1.739  -0.001  0.000  -19.849     -6  0.038
0.009  1.739  -0.001  0.000  -19.849     -6  0.038
0.002  86.719  -0.000  0.000  -1.964     -5  0.032
0.003  167.617  -0.000  0.000  -1.329     -4  0.025
0.003  229.769  0.000  0.000  1.236     -1  0.006
-0.000  249.362  -0.001  0.000  -50.648     -1  0.006
-0.011  220.217  -0.001  0.000  -36.674     -1  0.006
-0.018  179.875  -0.002  0.000  -56.544     -1  0.006
-0.018  146.966  -0.001  0.000  -41.709     -1  0.006
-0.014  118.427  -0.000  0.000  -13.308     -1  0.006
-0.005  89.619  -0.000  0.000  -11.094     -1  0.006
-0.006  53.314  -0.001  0.000  -34.560     -3  0.019
-0.006  53.314  -0.001  0.000  -34.560     -3  0.019
-0.014  -3.340  -0.002  0.000  -67.275     -7  0.044
-0.014  -3.340  -0.002  0.000  -67.275     -7  0.044
-0.011  -82.150  -0.001  0.000  -25.425    -12  0.076
-0.011  -82.150  -0.001  0.000  -25.425    -12  0.076
-0.011  -171.675  -0.002  0.000  -47.385    -17  0.108
-0.008  -245.482  -0.002  0.000  -46.395    -21  0.133
-0.004  -298.296  -0.000  0.000  7.861    -22  0.139
-0.004  -298.296  -0.000  0.000  7.861    -22  0.139
0.005  -336.983  0.000  0.000  26.139    -24  0.152
0.005  -336.983  0.000  0.000  26.139    -24  0.152
-0.001  -369.721  -0.001  0.000  -18.737    -27  0.171
-0.001  -369.721  -0.001  0.000  -18.737    -27  0.171
0.002  -374.925  -0.000  0.000  12.598    -26  0.165
0.002  -374.925  -0.000  0.000  12.598    -26  0.165
0.002  -340.189  -0.002  0.000  -36.043    -24  0.152
0.002  -246.661  -0.002  0.000  -47.410    -19  0.120
0.002  -246.661  -0.002  0.000  -47.410    -19  0.120
0.009  -126.352  -0.000  0.000  3.351    -17  0.108
0.009  -126.352  -0.000  0.000  3.351    -17  0.108
0.011  -13.651  0.000  0.000  24.618    -16  0.101
0.015  65.938  -0.000  0.000  9.406    -16  0.101
0.015  65.938  -0.000  0.000  9.406    -16  0.101
0.010  114.895  -0.001  0.000  -0.883    -15  0.095
0.010  114.895  -0.001  0.000  -0.883    -15  0.095
-0.000  148.853  -0.001  0.000  -29.325    -13  0.082
-0.001  192.432  -0.001  0.000  -34.037    -10  0.063
0.007  224.208  -0.000  0.000  -4.401     -9  0.057
0.007  247.678  -0.000  0.000  -6.791     -3  0.019
0.010  248.973  -0.001  0.000  -19.539     -2  0.013
-0.003  231.539  -0.002  0.000  -58.882     -2  0.013
-0.004  222.434  0.000  0.000  16.018     -2  0.013
-0.001  216.519  -0.000  0.000  -0.107     -2  0.013
0.004  209.707  -0.001  0.000  -17.798     -1  0.006
0.013  184.152  0.001  0.000  17.699     -1  0.006
0.013  184.152  0.001  0.000  17.699     -1  0.006
0.017  141.217  0.000  0.000  5.146     -1  0.006
0.017  141.217  0.000  0.000  5.146     -1  0.006
0.009  93.631  -0.001  0.000  -29.710     -1  0.006
-0.001  55.450  -0.001  0.000  -43.505     -1  0.006
-0.001  55.450  -0.001  0.000  -43.505     -1  0.006
-0.005  21.257  -0.001  0.000  -41.000     -1  0.006
-0.005  21.257  -0.001  0.000  -41.000     -1  0.006
-0.006  16.836  -0.001  0.000  -30.052     -1  0.006
-0.006  16.836  -0.001  0.000  -30.052     -1  0.006
-0.003  2.557  -0.000  0.000  -0.192     -4  0.025
-0.003  2.557  -0.000  0.000  -0.192     -4  0.025
-0.014  -42.471  -0.001  0.000  -21.736     -9  0.057
-0.014  -42.471  -0.001  0.000  -21.736     -9  0.057
-0.016  -114.947  -0.002  0.000  -44.470    -14  0.089
-0.016  -114.947  -0.002  0.000  -44.470    -14  0.089
-0.014  -181.208  -0.001  0.000  -18.705    -15  0.095
-0.012  -228.857  -0.001  0.000  -3.724    -17  0.108
-0.001  -256.557  -0.000  0.000  11.012    -18  0.114
-0.001  -256.557  -0.000  0.000  11.012    -18  0.114
0.011  -270.504  0.000  0.000  26.205    -19  0.120
0.011  -270.504  0.000  0.000  26.205    -19  0.120
0.007  -265.759  -0.001  0.000  -26.689    -18  0.114
0.007  -265.759  -0.001  0.000  -26.689    -18  0.114
-0.000  -231.790  -0.002  0.000  -37.671    -15  0.095
-0.000  -231.790  -0.002  0.000  -37.671    -15  0.095
-0.002  -156.473  -0.001  0.000  -14.474    -11  0.070
0.001  -51.095  -0.000  0.000  0.118     -9  0.057
0.001  -51.095  -0.000  0.000  0.118     -9  0.057
0.011  57.014  0.000  0.000  17.490     -7  0.044
0.015  135.540  0.000  0.000  12.864     -6  0.038
0.003  190.812  -0.001  0.000  -48.124     -2  0.013
-0.006  231.740  -0.002  0.000  -54.296     -1  0.006
-0.005  251.624  -0.000  0.000  -14.690     -1  0.006
0.003  250.578  0.000  0.000  7.140     -1  0.006
0.002  222.282  -0.002  0.000  -57.329     -1  0.006
-0.004  169.081  -0.001  0.000  -38.861     -2  0.013
-0.008  113.848  -0.000  0.000  -11.428     -2  0.013
-0.005  74.377  0.000  0.000  2.378     -2  0.013
0.002  39.983  0.000  0.000  11.796     -3  0.019
0.002  39.983  0.000  0.000  11.796     -3  0.019
0.012  -5.189  0.000  0.000  13.301     -6  0.038
0.012  -5.189  0.000  0.000  13.301     -6  0.038
0.012  -67.889  -0.001  0.000  -40.963     -9  0.057
0.012  -67.889  -0.001  0.000  -40.963     -9  0.057
0.010  -107.667  -0.000  0.000  6.138     -9  0.057
0.010  -107.667  -0.000  0.000  6.138     -9  0.057
0.006  -115.333  0.000  0.000  10.630     -7  0.044
0.006  -115.333  0.000  0.000  10.630     -7  0.044
0.003  -95.850  -0.001  0.000  -31.758     -5  0.032
0.001  -64.217  -0.001  0.000  -48.288     -4  0.025
0.001  -30.541  0.001  0.000  24.895     -3  0.019
0.001  -30.541  0.001  0.000  24.895     -3  0.019
-0.004  -7.427  -0.000  0.000  -10.407     -3  0.019
-0.004  -7.427  -0.000  0.000  -10.407     -3  0.019
-0.008  9.962  -0.001  0.000  -23.617     -4  0.025
-0.008  9.962  -0.001  0.000  -23.617     -4  0.025
-0.006  39.302  -0.001  0.000  -14.240     -3  0.019
-0.006  39.302  -0.001  0.000  -14.240     -3  0.019
-0.002  76.089  -0.001  0.000  -18.788     -2  0.013
0.002  93.217  -0.001  0.000  -22.581     -2  0.013
0.002  93.217  -0.001  0.000  -22.581     -2  0.013
-0.004  79.636  -0.001  0.000  -17.789     -2  0.013
-0.004  79.636  -0.001  0.000  -17.789     -2  0.013
-0.001  50.618  -0.000  0.000  -12.559     -2  0.013
-0.001  50.618  -0.000  0.000  -12.559     -2  0.013
0.001  17.055  -0.001  0.000  -29.575     -4  0.025
-0.003  -11.830  -0.001  0.000  -21.439     -6  0.038
-0.008  -75.143  -0.000  0.000  4.996    -15  0.095
0.001  -135.360  -0.000  0.000  4.456    -16  0.101
0.003  -184.138  -0.000  0.000  1.813    -16  0.101
0.001  -216.469  -0.001  0.000  -5.391    -15  0.095
0.001  -209.859  -0.001  0.000  -12.996    -12  0.076
-0.004  -170.926  -0.001  0.000  -40.433    -10  0.063
-0.003  -123.896  -0.001  0.000  -9.538    -10  0.063
-0.003  -123.896  -0.001  0.000  -9.538    -10  0.063
-0.003  -59.146  -0.001  0.000  -15.204     -7  0.044
-0.003  -59.146  -0.001  0.000  -15.204     -7  0.044
0.002  16.698  -0.000  0.000  5.033     -6  0.038
0.002  16.698  -0.000  0.000  5.033     -6  0.038
0.001  94.207  -0.000  0.000  -8.843     -5  0.032
0.001  94.207  -0.000  0.000  -8.843     -5  0.032
-0.000  165.495  -0.001  0.000  -15.041     -4  0.025
-0.000  165.495  -0.001  0.000  -15.041     -4  0.025
0.003  183.204  -0.000  0.000  -9.817     -3  0.019
0.006  176.420  -0.000  0.000  -6.204     -2  0.013
0.004  153.088  -0.001  0.000  -32.557     -2  0.013
0.004  153.088  -0.001  0.000  -32.557     -2  0.013
0.004  126.064  -0.001  0.000  -16.194     -2  0.013
0.004  126.064  -0.001  0.000  -16.194     -2  0.013
0.001  114.689  -0.001  0.000  -33.310     -1  0.006
0.001  114.689  -0.001  0.000  -33.310     -1  0.006
-0.003  106.575  -0.000  0.000  -9.394     -1  0.006
-0.003  106.575  -0.000  0.000  -9.394     -1  0.006
-0.004  79.361  -0.001  0.000  -21.892     -2  0.013
-0.006  42.686  -0.001  0.000  -21.960     -4  0.025
-0.006  42.686  -0.001  0.000  -21.960     -4  0.025
0.003  -2.606  0.001  0.000  26.725     -6  0.038
0.003  -2.606  0.001  0.000  26.725     -6  0.038
0.006  -52.360  -0.000  0.000  3.290     -9  0.057
0.006  -52.360  -0.000  0.000  3.290     -9  0.057
0.011  -99.643  0.001  0.000  31.333    -11  0.070
0.011  -99.643  0.001  0.000  31.333    -11  0.070
0.008  -120.686  -0.001  0.000  -19.914     -9  0.057
0.008  -120.686  -0.001  0.000  -19.914     -9  0.057
0.004  -115.326  -0.001  0.000  -36.603     -7  0.044
-0.002  -99.010  -0.001  0.000  -26.778     -6  0.038
-0.003  -54.916  -0.001  0.000  -18.152     -1  0.006
-0.003  -2.948  0.000  0.000  3.910     -1  0.006
0.004  47.935  0.001  0.000  23.239     -1  0.006
0.001  91.889  -0.000  0.000  -11.256     -1  0.006
-0.005  122.222  -0.001  0.000  -25.778     -1  0.006
0.002  135.982  -0.000  0.000  -2.544     -1  0.006
0.006  124.042  0.000  0.000  10.003     -1  0.006
0.010  89.067  -0.001  0.000  -23.633     -1  0.006
0.010  59.839  0.000  0.000  3.891      0  0.000
0.010  59.839  0.000  0.000  3.891      0  0.000
0.001  36.972  -0.001  0.000  -26.353      0  0.000
-0.008  16.075  -0.001  0.000  -34.454      0  0.000
-0.017  18.269  -0.002  0.000  -52.073      0  0.000
-0.017  18.269  -0.002  0.000  -52.073      0  0.000
-0.015  20.831  -0.001  0.000  -23.992      0  0.000
-0.015  20.831  -0.001  0.000  -23.992      0  0.000
-0.007  19.359  -0.000  0.000  -11.698      0  0.000
-0.007  19.359  -0.000  0.000  -11.698      0  0.000
-0.008  -0.783  -0.001  0.000  -27.541     -3  0.019
-0.008  -0.783  -0.001  0.000  -27.541     -3  0.019
-0.014  -41.508  -0.001  0.000  -43.348     -7  0.044
-0.016  -97.748  -0.002  0.000  -43.759    -11  0.070
-0.016  -97.748  -0.002  0.000  -43.759    -11  0.070
-0.005  -158.802  -0.000  0.000  10.710    -14  0.089
-0.005  -158.802  -0.000  0.000  10.710    -14  0.089
-0.007  -218.659  -0.001  0.000  -26.217    -17  0.108
-0.007  -218.659  -0.001  0.000  -26.217    -17  0.108
0.002  -264.820  -0.001  0.000  0.492    -19  0.120
0.002  -264.820  -0.001  0.000  0.492    -19  0.120
0.003  -291.221  -0.001  0.000  -8.403    -19  0.120
0.003  -291.221  -0.001  0.000  -8.403    -19  0.120
0.008  -296.270  0.000  0.000  19.002    -19  0.120
0.009  -275.773  0.000  0.000  26.160    -18  0.114
0.012  -228.991  -0.000  0.000  10.053    -17  0.108
0.019  -146.411  0.000  0.000  22.833    -14  0.089
0.013  -16.686  -0.001  0.000  -37.699     -5  0.032
0.007  101.480  -0.001  0.000  -23.344     -4  0.025
0.001  183.633  -0.000  0.000  -3.204     -4  0.025
0.007  228.855  0.000  0.000  10.319     -4  0.025
-0.002  247.149  -0.001  0.000  -28.000     -3  0.019
-0.002  243.334  -0.000  0.000  -5.353     -3  0.019
-0.002  243.334  -0.000  0.000  -5.353     -3  0.019
-0.002  232.701  0.000  0.000  9.157     -2  0.013
-0.002  232.701  0.000  0.000  9.157     -2  0.013
-0.003  205.913  -0.001  0.000  -24.110     -2  0.013
-0.003  165.706  -0.001  0.000  -30.630     -1  0.006
-0.000  107.489  -0.000  0.000  -7.177     -1  0.006
-0.000  107.489  -0.000  0.000  -7.177     -1  0.006
0.003  50.390  -0.001  0.000  -18.864     -1  0.006
0.003  50.390  -0.001  0.000  -18.864     -1  0.006
0.001  39.990  0.000  0.000  5.302     -1  0.006
0.001  39.990  0.000  0.000  5.302     -1  0.006
0.001  43.835  0.000  0.000  3.908     -1  0.006
0.001  43.835  0.000  0.000  3.908     -1  0.006
0.002  43.967  -0.000  0.000  -12.134     -1  0.006
0.003  37.865  -0.001  0.000  -19.059      0  0.000
0.003  37.865  -0.001  0.000  -19.059      0  0.000
-0.001  28.101  -0.001  0.000  -18.392      0  0.000
-0.001  28.101  -0.001  0.000  -18.392      0  0.000
-0.003  17.494  -0.001  0.000  -24.036      0  0.000
-0.003  17.494  -0.001  0.000  -24.036      0  0.000
0.003  15.666  -0.000  0.000  -0.150      0  0.000
0.003  15.666  -0.000  0.000  -0.150      0  0.000
-0.001  17.389  -0.001  0.000  -29.188      0  0.000
-0.001  17.389  -0.001  0.000  -29.188      0  0.000
-0.009  21.134  -0.001  0.000  -39.166      0  0.000
-0.009  21.134  -0.001  0.000  -39.166      0  0.000
-0.011  18.686  -0.001  0.000  -36.389      0  0.000
-0.014  8.456  -0.001  0.000  -31.732     -1  0.006
-0.011  -12.464  -0.001  0.000  -24.049     -3  0.019
-0.011  -12.464  -0.001  0.000  -24.049     -3  0.019
-0.007  -46.894  -0.001  0.000  -22.691     -6  0.038
-0.006  -92.125  -0.001  0.000  -25.140     -9  0.057
-0.009  -185.565  -0.001  0.000  -27.171    -21  0.133
-0.005  -266.174  -0.001  0.000  5.812    -21  0.133
-0.002  -318.413  -0.001  0.000  4.038    -21  0.133
0.005  -339.665  -0.001  0.000  2.113    -21  0.133
0.004  -340.386  -0.001  0.000  -16.949    -22  0.139
0.004  -316.876  -0.001  0.000  0.885    -21  0.133
0.004  -316.876  -0.001  0.000  0.885    -21  0.133
0.000  -258.801  -0.001  0.000  -23.240    -18  0.114
-0.003  -169.025  -0.001  0.000  -27.945    -15  0.095
0.003  -60.175  -0.000  0.000  8.825    -13  0.082
0.003  -60.175  -0.000  0.000  8.825    -13  0.082
0.007  54.559  -0.000  0.000  7.555    -11  0.070
0.007  54.559  -0.000  0.000  7.555    -11  0.070
0.001  161.159  -0.002  0.000  -43.950     -9  0.057
0.001  161.159  -0.002  0.000  -43.950     -9  0.057
-0.004  199.325  -0.001  0.000  -22.881     -7  0.044
-0.004  199.325  -0.001  0.000  -22.881     -7  0.044
-0.001  215.948  -0.001  0.000  -16.919     -6  0.038
0.002  226.319  -0.000  0.000  -11.503     -5  0.032
0.002  226.319  -0.000  0.000  -11.503     -5  0.032
-0.000  223.133  -0.001  0.000  -43.853     -6  0.038
-0.000  223.133  -0.001  0.000  -43.853     -6  0.038
-0.002  193.356  -0.001  0.000  -22.519     -7  0.044
-0.002  193.356  -0.001  0.000  -22.519     -7  0.044
0.001  141.114  -0.001  0.000  -10.370     -8  0.051
0.001  141.114  -0.001  0.000  -10.370     -8  0.051
-0.001  71.067  -0.001  0.000  -16.239    -11  0.070
-0.001  71.067  -0.001  0.000  -16.239    -11  0.070
0.003  -5.533  0.000  0.000  28.744    -14  0.089
0.013  -76.487  0.001  0.000  40.294    -16  0.101
0.010  -124.615  -0.002  0.000  -43.168    -16  0.101
0.010  -124.615  -0.002  0.000  -43.168    -16  0.101
-0.002  -143.354  -0.002  0.000  -47.113    -14  0.089
-0.002  -143.354  -0.002  0.000  -47.113    -14  0.089
-0.002  -133.021  -0.001  0.000  -9.820    -12  0.076
-0.002  -133.021  -0.001  0.000  -9.820    -12  0.076
-0.001  -100.064  -0.001  0.000  -10.785    -10  0.063
0.003  -46.223  -0.000  0.000  0.613     -8  0.051
0.003  36.649  0.000  0.000  6.904     -2  0.013
0.003  113.910  -0.000  0.000  -2.131     -2  0.013
0.000  177.117  -0.001  0.000  -26.778     -2  0.013
-0.003  211.551  -0.001  0.000  -25.353     -2  0.013
0.006  218.691  0.000  0.000  2.217     -1  0.006
0.012  199.118  -0.001  0.000  -30.960     -1  0.006
0.008  164.677  -0.000  0.000  -0.331     -1  0.006
0.004  128.672  0.000  0.000  5.605     -1  0.006
0.004  92.182  0.000  0.000  1.592     -1  0.006
0.004  92.182  0.000  0.000  1.592     -1  0.006
0.007  54.627  0.001  0.000  19.962     -1  0.006
0.007  54.627  0.001  0.000  19.962     -1  0.006
0.005  18.757  -0.000  0.000  -14.676     -1  0.006
0.005  18.757  -0.000  0.000  -14.676     -1  0.006
0.012  17.121  0.001  0.000  25.878      0  0.000
0.019  20.933  0.001  0.000  34.595      0  0.000
0.018  22.259  0.001  0.000  24.950      0  0.000
0.018  22.259  0.001  0.000  24.950      0  0.000
0.021  18.059  0.002  0.000  58.593      0  0.000
0.021  18.059  0.002  0.000  58.593      0  0.000
0.025  15.223  0.001  0.000  44.609      0  0.000
0.025  15.223  0.001  0.000  44.609      0  0.000
0.016  13.107  0.001  0.000  19.801      0  0.000
0.016  13.107  0.001  0.000  19.801      0  0.000
0.015  18.566  0.001  0.000  39.370      1  0.006
0.016  24.999  0.001  0.000  45.942      1  0.006
0.016  24.999  0.001  0.000  45.942      1  0.006
0.009  32.533  0.001  0.000  16.860      2  0.013
0.009  32.533  0.001  0.000  16.860      2  0.013
0.004  43.767  0.000  0.000  2.700      4  0.025
-0.005  72.023  0.001  0.000  20.340      8  0.051
-0.005  72.023  0.001  0.000  20.340      8  0.051
-0.005  72.023  0.001  0.000  20.340      8  0.051
-0.007  122.150  0.001  0.000  12.634     12  0.076
-0.007  122.150  0.001  0.000  12.634     12  0.076
-0.024  189.612  -0.002  0.000  -93.747     17  0.108
-0.034  239.596  -0.001  0.000  -61.813     17  0.108
-0.040  201.662  -0.002  0.000  -77.120      5  0.032
-0.036  133.992  -0.001  0.000  -24.729      4  0.025
-0.034  65.742  -0.000  0.000  -18.116      4  0.025
-0.027  8.848  -0.000  0.000  -20.030      3  0.019
-0.010  -46.282  0.001  0.000  16.815      2  0.013
-0.001  -106.840  0.000  0.000  3.551      1  0.006
0.008  -165.726  0.000  0.000  11.765      1  0.006
0.018  -206.423  -0.000  0.000  -0.621      0  0.000
0.018  -206.423  -0.000  0.000  -0.621      0  0.000
0.032  -205.182  0.000  0.000  16.513      0  0.000
0.032  -145.375  0.001  0.000  50.488      0  0.000
0.035  -61.780  0.002  0.000  54.971      0  0.000
0.035  -61.780  0.002  0.000  54.971      0  0.000
0.032  -41.433  0.002  0.000  75.405      0  0.000
0.032  -41.433  0.002  0.000  75.405      0  0.000
0.038  -44.858  0.003  0.000  101.592      0  0.000
0.038  -44.858  0.003  0.000  101.592      0  0.000
0.058  -35.183  0.006  0.000  200.031      2  0.013
0.058  -35.183  0.006  0.000  200.031      2  0.013
0.094  2.577  0.010  0.000  337.087      5  0.032
0.094  2.577  0.010  0.000  337.087      5  0.032
0.139  109.729  0.012  0.000  406.006     17  0.108
0.167  314.766  0.012  0.000  381.844     38  0.241
0.167  314.766  0.012  0.000  381.844     38  0.241
0.190  614.884  0.013  0.000  394.524     63  0.399
0.190  614.884  0.013  0.000  394.524     63  0.399
0.206  983.099  0.015  0.000  434.952     90  0.570
0.206  983.099  0.015  0.000  434.952     90  0.570
0.227  1470.241  0.019  0.000  508.757    131  0.829
0.227  1470.241  0.019  0.000  508.757    131  0.829
0.250  2042.385  0.021  0.000  563.368    170  1.076
0.250  2042.385  0.021  0.000  563.368    170  1.076
0.257  2632.479  0.022  0.000  556.003    206  1.304
0.240  3209.658  0.022  0.000  494.227    246  1.557
0.219  3668.540  0.024  0.000  542.602    274  1.734
0.204  3962.015  0.026  0.000  574.082    299  1.892
0.214  4492.881  0.029  0.000  598.499    404  2.557
0.254  4805.142  0.036  0.000  790.674    412  2.608
0.299  4795.150  0.041  0.000  981.683    412  2.608
0.350  4529.328  0.047  0.000  1173.840    424  2.684
0.410  4095.467  0.053  0.000  1370.514    438  2.772
0.484  3763.906  0.059  0.000  1529.002    474  3.000
0.484  3763.906  0.059  0.000  1529.002    474  3.000
0.564  3642.264  0.064  0.000  1667.881    521  3.297
0.564  3642.264  0.064  0.000  1667.881    521  3.297
0.643  3811.312  0.071  0.000  1832.728    593  3.753
0.667  4362.290  0.072  0.000  1762.395    696  4.405
0.679  5028.608  0.078  0.000  1863.384    778  4.924
0.679  5028.608  0.078  0.000  1863.384    778  4.924
0.665  5868.325  0.082  0.000  1899.071    886  5.608
0.665  5868.325  0.082  0.000  1899.071    886  5.608
0.643  7221.326  0.087  0.000  1994.552    974  6.165
0.643  7221.326  0.087  0.000  1994.552    974  6.165
0.631  8839.192  0.093  0.000  2055.504   1108  7.013
0.631  8839.192  0.093  0.000  2055.504   1108  7.013
0.632  10432.146  0.100  0.000  2157.482   1235  7.816
0.607  11778.396  0.101  0.000  2049.916   1350  8.544
0.607  11778.396  0.101  0.000  2049.916   1350  8.544
0.583  12493.639  0.105  0.000  2114.287   1414  8.949
0.583  12493.639  0.105  0.000  2114.287   1414  8.949
0.577  12787.633  0.111  0.000  2264.297   1506  9.532
0.588  12807.169  0.118  0.000  2388.402   1600  10.127
0.588  12807.169  0.118  0.000  2388.402   1600  10.127
0.607  12518.261  0.121  0.000  2448.851   1654  10.468
0.607  12518.261  0.121  0.000  2448.851   1654  10.468
0.594  12166.851  0.124  0.000  2470.028   1732  10.962
0.569  11702.697  0.126  0.000  2437.540   1825  11.551
0.569  11702.697  0.126  0.000  2437.540   1825  11.551
0.515  11128.047  0.126  0.000  2358.057   1892  11.975
0.515  11128.047  0.126  0.000  2358.057   1892  11.975
0.458  10349.407  0.128  0.000  2349.996   1956  12.380
0.458  10349.407  0.128  0.000  2349.996   1956  12.380
0.415  9761.806  0.131  0.000  2400.789   2034  12.873
0.393  9415.995  0.134  0.000  2428.892   2097  13.272
0.359  9716.789  0.138  0.000  2418.404   2245  14.209
0.314  9656.729  0.139  0.000  2421.605   2258  14.291
0.293  9131.743  0.142  0.000  2529.369   2258  14.291
0.281  8315.392  0.143  0.000  2543.443   2271  14.373
0.274  7217.596  0.144  0.000  2581.618   2284  14.456
0.255  6138.832  0.143  0.000  2509.038   2304  14.582
0.227  5157.466  0.142  0.000  2478.372   2304  14.582
0.178  4221.958  0.142  0.000  2449.746   2327  14.728
0.178  4221.958  0.142  0.000  2449.746   2327  14.728
0.111  3280.087  0.140  0.000  2371.325   2351  14.880
0.111  3280.087  0.140  0.000  2371.325   2351  14.880
0.047  2478.821  0.139  0.000  2305.975   2380  15.063
0.047  2478.821  0.139  0.000  2305.975   2380  15.063
-0.027  1855.441  0.135  0.000  2158.974   2396  15.165
-0.027  1855.441  0.135  0.000  2158.974   2396  15.165
-0.088  1936.537  0.133  0.000  2065.530   2404  15.215
-0.088  1936.537  0.133  0.000  2065.530   2404  15.215
-0.150  2048.212  0.130  0.000  1980.304   2399  15.184
-0.182  1840.107  0.130  0.000  2002.889   2376  15.038
-0.214  1332.642  0.128  0.000  1935.607   2357  14.918
-0.214  1332.642  0.128  0.000  1935.607   2357  14.918
-0.236  622.692  0.125  0.000  1865.266   2331  14.753
-0.236  622.692  0.125  0.000  1865.266   2331  14.753
-0.266  -129.295  0.121  0.000  1772.531   2297  14.538
-0.301  -1094.557  0.117  0.000  1669.754   2235  14.146
-0.301  -1094.557  0.117  0.000  1669.754   2235  14.146
-0.337  -2044.776  0.111  0.000  1535.672   2199  13.918
-0.350  -2955.511  0.111  0.000  1572.091   2159  13.665
-0.350  -2955.511  0.111  0.000  1572.091   2159  13.665
-0.366  -3782.278  0.107  0.000  1460.455   2112  13.367
-0.366  -3782.278  0.107  0.000  1460.455   2112  13.367
-0.407  -4467.839  0.100  0.000  1292.287   2060  13.038
-0.407  -4467.839  0.100  0.000  1292.287   2060  13.038
-0.464  -5125.413  0.093  0.000  1128.041   1982  12.544
-0.464  -5125.413  0.093  0.000  1128.041   1982  12.544
-0.529  -5770.233  0.087  0.000  989.028   1909  12.082
-0.576  -6499.348  0.081  0.000  888.728   1826  11.557
-0.623  -8280.952  0.075  0.000  945.255   1540  9.747
-0.660  -9675.185  0.069  0.000  820.686   1519  9.614
-0.693  -10270.616  0.063  0.000  595.735   1519  9.614
-0.740  -10384.987  0.055  0.000  313.372   1481  9.373
-0.795  -10117.094  0.047  0.000  80.724   1441  9.120
-0.819  -9802.845  0.040  0.000  -71.918   1367  8.652
-0.829  -9109.854  0.034  0.000  -253.259   1367  8.652
-0.801  -8341.387  0.033  0.000  -177.879   1286  8.139
-0.786  -7764.627  0.026  0.000  -316.776   1168  7.392
-0.786  -7764.627  0.026  0.000  -316.776   1168  7.392
-0.784  -7399.791  0.018  0.000  -475.657   1043  6.601
-0.784  -7399.791  0.018  0.000  -475.657   1043  6.601
-0.795  -7574.949  0.009  0.000  -633.109    886  5.608
-0.795  -7574.949  0.009  0.000  -633.109    886  5.608
-0.814  -9698.650  0.001  0.000  -690.421    687  4.348
-0.786  -12279.909  0.001  0.000  -501.894    516  3.266
-0.786  -12279.909  0.001  0.000  -501.894    516  3.266
-0.746  -14225.706  -0.003  0.000  -540.725    417  2.639
-0.746  -14225.706  -0.003  0.000  -540.725    417  2.639
-0.731  -15616.681  -0.011  0.000  -678.868    278  1.759
-0.731  -15616.681  -0.011  0.000  -678.868    278  1.759
-0.748  -16643.172  -0.020  0.000  -862.364    133  0.842
-0.748  -16643.172  -0.020  0.000  -862.364    133  0.842
-0.801  -17522.648  -0.032  0.000  -1114.173     12  0.076
