acc_{hum}[rpm/s]  acc_{exo}[rpm/s]  vel_{hum}[rpm]  vel_{exo}[rpm]  vel_{motor}[rpm]  actual\_Vel[rpm]  Voltage[V]
-0.001  -172.627  -0.002  0.000  -32.075    -11  0.070
0.003  -152.713  -0.000  0.000  7.968     -9  0.057
0.005  -129.442  -0.000  0.000  -2.928     -9  0.057
0.003  -100.197  -0.001  0.000  -10.280     -8  0.051
-0.006  -52.964  -0.001  0.000  -14.627     -7  0.044
-0.006  14.587  -0.001  0.000  -25.782     -6  0.038
-0.014  91.272  -0.001  0.000  -24.034     -6  0.038
-0.010  109.411  -0.000  0.000  -8.022     -5  0.032
-0.004  109.467  -0.000  0.000  -7.973     -4  0.025
0.006  98.575  -0.000  0.000  -7.270     -4  0.025
0.009  85.086  0.000  0.000  7.963     -3  0.019
0.006  80.788  0.000  0.000  4.236     -3  0.019
0.012  87.735  0.000  0.000  3.833     -2  0.013
0.011  83.516  -0.001  0.000  -19.038     -2  0.013
0.016  69.497  0.001  0.000  22.449     -2  0.013
0.019  53.457  0.001  0.000  24.777     -2  0.013
0.020  49.632  0.001  0.000  30.420     -1  0.006
0.011  44.940  -0.000  0.000  -10.876     -1  0.006
0.007  41.544  -0.000  0.000  -5.005     -1  0.006
-0.002  37.954  -0.001  0.000  -29.180     -1  0.006
-0.010  28.468  -0.001  0.000  -26.324     -1  0.006
-0.010  25.999  -0.000  0.000  -4.138      0  0.000
-0.013  24.609  -0.001  0.000  -21.490      0  0.000
-0.014  27.412  -0.001  0.000  -18.374      0  0.000
-0.021  27.762  -0.001  0.000  -28.332      0  0.000
-0.018  23.739  -0.001  0.000  -19.546      0  0.000
-0.015  16.814  -0.001  0.000  -34.686      0  0.000
-0.010  14.070  -0.001  0.000  -42.412      0  0.000
-0.001  12.681  0.000  0.000  10.129      0  0.000
0.002  0.677  -0.001  0.000  -19.772     -2  0.013
0.006  -29.545  0.000  0.000  13.460     -5  0.032
0.004  -59.411  -0.001  0.000  -8.654     -5  0.032
0.006  -87.205  -0.001  0.000  -10.858     -7  0.044
0.004  -99.067  -0.001  0.000  -14.695     -6  0.038
0.004  -100.786  -0.001  0.000  -15.900     -6  0.038
