accBasedController [2021-02-28-19-15-46]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.001000  0.000  0.000  0.000  0.000  0.000  0.000
0.002000  0.000  0.000  0.000  0.000  0.000  0.000
0.003000  0.000  0.000  0.000  0.000  0.000  0.000
0.004000  0.000  0.000  0.000  0.000  0.000  0.000
0.005000  0.000  0.000  0.000  0.000  0.000  0.000
0.006000  0.000  0.000  0.000  0.000  0.000  0.000
0.007000  0.002  0.001  0.220  0.152  0.000  0.000
0.008000  0.002  0.001  0.220  0.152  0.000  0.000
0.009000  0.002  0.001  0.220  0.152  0.000  0.000
0.010000  0.002  0.001  0.220  0.152  0.000  0.000
0.011000  0.002  0.001  0.220  0.152  0.000  0.000
0.012000  0.002  0.001  0.220  0.152  0.000  0.000
0.013000  0.002  0.001  0.220  0.152  0.000  0.000
0.014000  0.005  0.004  0.357  0.325  0.000  0.000
0.015000  0.005  0.004  0.357  0.325  0.000  0.000
0.016000  0.005  0.004  0.357  0.325  0.000  0.000
0.017001  0.005  0.004  0.357  0.325  0.000  0.000
0.018001  0.005  0.004  0.357  0.325  0.000  0.000
0.019001  0.005  0.004  0.357  0.325  0.000  0.000
0.020001  0.005  0.004  0.357  0.325  0.000  0.000
0.021001  0.006  0.004  0.220  0.029  0.000  0.000
0.022001  0.006  0.004  0.220  0.029  0.000  0.000
0.023001  0.006  0.004  0.220  0.029  0.000  0.000
0.024001  0.006  0.004  0.220  0.029  0.000  0.000
0.025001  0.006  0.004  0.220  0.029  0.000  0.000
0.026001  0.006  0.004  0.220  0.029  0.000  0.000
0.027001  0.006  0.004  0.220  0.029  0.000  0.000
0.028001  0.009  0.004  0.266  -0.037  0.000  0.000
0.029001  0.009  0.004  0.266  -0.037  0.000  0.000
0.030001  0.009  0.004  0.266  -0.037  0.000  0.000
0.031001  0.009  0.004  0.266  -0.037  0.000  0.000
0.032001  0.009  0.004  0.266  -0.037  0.000  0.000
0.033001  0.009  0.004  0.266  -0.037  0.000  0.000
0.034001  0.009  0.004  0.266  -0.037  0.000  0.000
0.035002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.036002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.037002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.038002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.039002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.040002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.041002  0.007  0.002  -0.242  -0.157  0.000  0.000
0.042002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.043002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.044002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.045002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.046002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.047002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.048002  0.007  -0.001  0.073  -0.399  0.000  0.000
0.049002  0.006  -0.003  -0.137  -0.327  0.000  0.000
0.050002  0.006  -0.003  -0.137  -0.327  0.000  0.000
0.051002  0.006  -0.003  -0.137  -0.327  0.000  0.000
0.052003  0.006  -0.003  -0.137  -0.327  0.000  0.000
0.053003  0.006  -0.003  -0.137  -0.327  0.000  0.000
0.054003  0.006  -0.003  -0.137  -0.327  0.000  0.000
