accBasedPosition [2021-02-13-21-39-20]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  theta_m[rad]
0.087005  0.142  0.005  -0.006  0.000  0.000
0.088005  0.142  0.005  -0.006  0.000  0.000
0.089005  0.142  0.005  -0.006  0.000  0.000
0.090005  0.142  0.005  -0.006  0.000  0.000
0.091005  0.142  0.005  -0.006  0.000  0.000
0.092005  0.142  0.005  -0.006  0.000  0.000
0.093005  0.022  0.005  -0.007  0.000  0.000
0.094005  0.022  0.005  -0.007  0.000  0.000
0.095005  0.022  0.005  -0.007  0.000  0.000
0.096005  0.022  0.005  -0.007  0.000  0.000
0.097005  0.022  0.005  -0.007  0.000  0.000
0.098005  0.022  0.005  -0.007  0.000  0.000
0.099005  0.022  0.005  -0.007  0.000  0.000
0.100005  0.017  0.005  -0.007  0.000  0.000
0.101005  0.017  0.005  -0.007  0.000  0.000
0.102005  0.017  0.005  -0.007  0.000  0.000
0.103005  0.017  0.005  -0.007  0.000  0.000
0.104006  0.017  0.005  -0.007  0.000  0.000
0.105006  0.017  0.005  -0.007  0.000  0.000
0.106006  0.017  0.005  -0.007  0.000  0.000
0.107006  0.011  0.005  -0.007  0.000  0.000
0.108006  0.011  0.005  -0.007  0.000  0.000
0.109006  0.011  0.005  -0.007  0.000  0.000
0.110006  0.011  0.005  -0.007  0.000  0.000
0.111006  0.011  0.005  -0.007  0.000  0.000
0.112006  0.011  0.005  -0.007  0.000  0.000
0.113006  0.011  0.005  -0.007  0.000  0.000
0.114006  0.154  0.006  -0.006  0.000  0.000
0.115006  0.154  0.006  -0.006  0.000  0.000
0.116006  0.154  0.006  -0.006  0.000  0.000
0.117006  0.154  0.006  -0.006  0.000  0.000
0.118006  0.154  0.006  -0.006  0.000  0.000
0.119006  0.154  0.006  -0.006  0.000  0.000
0.120006  0.154  0.006  -0.006  0.000  0.000
0.121007  -0.067  0.006  -0.007  0.000  0.000
0.122007  -0.067  0.006  -0.007  0.000  0.000
0.123007  -0.067  0.006  -0.007  0.000  0.000
0.124007  -0.067  0.006  -0.007  0.000  0.000
0.125007  -0.067  0.006  -0.007  0.000  0.000
0.126007  -0.067  0.006  -0.007  0.000  0.000
0.127007  -0.067  0.006  -0.007  0.000  0.000
0.128007  -0.054  0.005  -0.007  0.000  0.000
0.129007  -0.054  0.005  -0.007  0.000  0.000
0.130007  -0.054  0.005  -0.007  0.000  0.000
0.131007  -0.054  0.005  -0.007  0.000  0.000
0.132007  -0.054  0.005  -0.007  0.000  0.000
0.133007  -0.054  0.005  -0.007  0.000  0.000
0.134007  -0.054  0.005  -0.007  0.000  0.000
0.135007  0.005  0.005  -0.007  0.000  0.000
0.136007  0.005  0.005  -0.007  0.000  0.000
0.137007  0.005  0.005  -0.007  0.000  0.000
0.138007  0.005  0.005  -0.007  0.000  0.000
0.139008  0.005  0.005  -0.007  0.000  0.000
0.140008  0.005  0.005  -0.007  0.000  0.000
0.141008  0.005  0.005  -0.007  0.000  0.000
0.142008  0.051  0.006  -0.006  0.000  0.000
0.143008  0.051  0.006  -0.006  0.000  0.000
0.144008  0.051  0.006  -0.006  0.000  0.000
0.145008  0.051  0.006  -0.006  0.000  0.000
0.146008  0.051  0.006  -0.006  0.000  0.000
0.147008  0.051  0.006  -0.006  0.000  0.000
