acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
0.059  -107374176.000  -0.029  0.030  -39330.785  0.000  -0.003
0.362  -107374176.000  -0.044  0.057  -70762.031  0.000  -0.003
0.082  -107374176.000  -0.035  0.056  -95880.359  0.000  -0.003
0.024  -107374176.000  0.024  0.035  -115953.703  0.000  -0.003
1.451  -107374176.000  0.048  0.009  -131995.344  0.000  -0.003
1.501  -107374176.000  0.017  -0.017  -144815.047  0.000  -0.003
2.008  -107374176.000  0.058  -0.039  -155059.922  0.000  -0.003
2.360  -107374176.000  0.069  -0.063  -163247.125  0.000  -0.003
0.794  -107374176.000  0.011  -0.085  -169789.938  0.000  -0.003
1.093  -107374176.000  0.038  -0.112  -175018.641  0.000  -0.003
0.538  -107374176.000  0.049  -0.140  -179197.172  0.000  -0.003
1.351  -107374176.000  0.047  -0.169  -182536.453  0.000  -0.003
2.201  -107374176.000  0.042  -0.197  -185205.031  0.000  -0.003
2.555  -107374176.000  0.039  -0.267  -187337.641  0.000  -0.003
2.451  -107374176.000  0.033  -0.358  -189041.906  0.000  -0.003
2.249  -107374176.000  0.020  -0.439  -190403.875  0.000  -0.003
2.619  -107374176.000  0.010  -0.525  -191492.297  0.000  -0.003
2.692  -107374176.000  0.004  -0.638  -192362.109  0.000  -0.003
2.714  -107374176.000  -0.008  -0.771  -193057.219  0.000  -0.003
2.743  -107374176.000  -0.023  -0.899  -193612.719  0.000  -0.003
2.854  -107374176.000  -0.031  -1.007  -194056.656  0.000  -0.003
2.855  -107374176.000  -0.048  -1.093  -194411.422  0.000  -0.003
2.264  -107374176.000  -0.057  -1.156  -194694.938  0.000  -0.003
1.491  -107374176.000  -0.028  -1.220  -194921.500  0.000  -0.003
0.939  -107374176.000  0.007  -1.312  -195102.563  0.000  -0.003
-0.006  -107374176.000  0.022  -1.402  -195247.266  0.000  -0.003
2.066  -107374176.000  0.013  -1.466  -195362.906  0.000  -0.003
3.103  -107374176.000  -0.041  -1.494  -195455.313  0.000  -0.003
-1.461  -107374176.000  -0.046  -1.480  -195529.156  0.000  -0.003
-5.533  -107374176.000  0.023  -1.261  -195588.172  0.000  -0.003
-6.897  -107374176.000  0.114  -1.173  -195635.344  0.000  -0.003
-2.504  -107374176.000  0.050  -1.293  -195673.031  0.000  -0.003
0.509  -107374176.000  0.002  -1.437  -195703.156  0.000  -0.003
2.130  -107374176.000  -0.013  -1.363  -195727.234  0.000  -0.003
0.947  -107374176.000  -0.022  -1.194  -195746.469  0.000  -0.003
1.674  -107374176.000  -0.020  -1.219  -195761.844  0.000  -0.003
3.350  -107374176.000  -0.011  -1.312  -195774.125  0.000  -0.003
2.261  -107374176.000  -0.014  -1.487  -195783.938  0.000  -0.003
1.328  -107374176.000  -0.014  -1.857  -195791.781  0.000  -0.003
2.089  -107374176.000  -0.009  -2.168  -195798.047  0.000  -0.003
2.234  -107374176.000  -0.003  -2.283  -195803.063  0.000  -0.003
2.183  -107374176.000  -0.005  -2.127  -195807.063  0.000  -0.003
1.904  -107374176.000  -0.008  -1.875  -195810.266  0.000  -0.003
1.454  -107374176.000  -0.011  -1.675  -195812.828  0.000  -0.003
1.193  -107374176.000  -0.008  -1.558  -195814.875  0.000  -0.003
1.089  -107374176.000  -0.004  -1.478  -195816.500  0.000  -0.003
1.137  -107374176.000  -0.007  -1.420  -195817.813  0.000  -0.003
1.111  -107374176.000  -0.003  -1.362  -195818.859  0.000  -0.003
1.094  -107374176.000  -0.002  -1.232  -195819.688  0.000  -0.003
1.130  -107374176.000  -0.005  -0.884  -195820.359  0.000  -0.003
1.094  -107374176.000  -0.007  -0.407  -195820.891  0.000  -0.003
1.160  -107374176.000  -0.008  0.059  -195821.313  0.000  -0.003
1.271  -107374176.000  -0.008  0.445  -195821.656  0.000  -0.003
1.277  -107374176.000  -0.010  0.667  -195821.922  0.000  -0.003
1.319  -107374176.000  -0.012  0.879  -195822.141  0.000  -0.003
1.358  -107374176.000  -0.011  1.037  -195822.313  0.000  -0.003
1.305  -107374176.000  -0.014  1.252  -195822.453  0.000  -0.003
1.153  -107374176.000  -0.015  1.584  -195822.563  0.000  -0.003
0.992  -107374176.000  -0.012  1.929  -195822.656  0.000  -0.003
0.974  -107374176.000  -0.011  2.145  -195822.719  0.000  -0.003
0.971  -107374176.000  -0.010  2.264  -195822.781  0.000  -0.003
0.960  -107374176.000  -0.010  2.407  -195822.828  0.000  -0.003
1.021  -107374176.000  -0.010  2.457  -195822.859  0.000  -0.003
1.023  -107374176.000  -0.010  2.361  -195822.891  0.000  -0.003
-1.312  -107374176.000  -0.013  2.162  -195822.906  0.000  -0.003
-1.157  -107374176.000  0.010  1.816  -195822.922  0.000  -0.003
2.952  -107374176.000  0.053  1.386  -195822.938  0.000  -0.003
2.370  -107374176.000  0.046  0.930  -195822.953  0.000  -0.003
0.586  -107374176.000  0.038  0.439  -195822.969  0.000  -0.003
