vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.112  0.000  0.000  0.000  0.000  0.000
-0.303  0.000  0.000  0.000  0.000  0.000
-0.541  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
0.572  0.000  0.000  0.000  0.000  0.000
0.265  0.000  0.000  0.000  0.000  0.000
-0.290  0.000  0.000  0.000  0.000  0.000
-0.678  0.000  0.000  0.000  0.000  0.000
-0.804  0.000  0.000  0.000  0.000  0.000
-0.099  0.000  0.000  0.000  0.000  0.000
0.587  0.000  0.000  0.000  0.000  0.000
0.623  0.000  0.000  0.000  0.000  0.000
-0.137  0.000  0.000  0.000  0.000  0.000
-0.463  0.000  0.000  0.000  0.000  0.000
-0.651  0.000  0.000  0.000  0.000  0.000
-0.464  0.000  0.000  0.000  0.000  0.000
0.146  0.000  0.000  0.000  0.000  0.000
0.622  0.000  0.000  0.000  0.000  0.000
0.575  0.000  0.000  0.000  0.000  0.000
0.015  0.000  0.000  0.000  0.000  0.000
-0.232  0.000  0.000  0.000  0.000  0.000
-1.140  0.000  0.000  0.000  0.000  0.000
-1.542  0.000  0.000  0.000  0.000  0.000
-0.202  0.000  0.000  0.000  0.000  0.000
0.094  0.000  0.000  0.000  0.000  0.000
0.728  0.000  0.000  0.000  0.000  0.000
2.062  0.000  0.000  0.000  0.000  0.000
1.755  0.000  0.000  0.000  0.000  0.000
-0.192  0.000  0.000  0.000  0.000  0.000
-0.102  0.000  0.000  0.000  0.000  0.000
-0.165  0.000  0.000  0.000  0.000  0.000
0.089  0.000  0.000  0.000  0.000  0.000
0.012  0.000  0.000  0.000  0.000  0.000
-0.142  0.000  0.000  0.000  0.000  0.000
-0.416  0.000  0.000  0.000  0.000  0.000
-0.675  0.000  0.000  0.000  0.000  0.000
-0.694  0.000  0.000  0.000  0.000  0.000
-0.443  0.000  0.000  0.000  0.000  0.000
-0.143  0.000  0.000  0.000  0.000  0.000
0.007  0.000  0.000  0.000  0.000  0.000
0.076  0.000  0.000  0.000  0.000  0.000
0.068  0.000  0.000  0.000  0.000  0.000
0.140  0.000  0.000  0.000  0.000  0.000
0.181  0.000  0.000  0.000  0.000  0.000
0.358  0.000  0.000  0.000  0.000  0.000
0.558  0.000  0.000  0.000  0.000  0.000
0.358  0.000  0.000  0.000  0.000  0.000
0.055  0.000  0.000  0.000  0.000  0.000
0.002  0.000  0.000  0.000  0.000  0.000
0.002  0.000  0.000  0.000  0.000  0.000
-0.010  0.000  0.000  0.000  0.000  0.000
-0.078  0.000  0.000  0.000  0.000  0.000
-0.183  0.000  0.000  0.000  0.000  0.000
-0.285  0.000  0.000  0.000  0.000  0.000
-0.289  0.000  0.000  0.000  0.000  0.000
-0.093  0.000  0.000  0.000  0.000  0.000
0.160  0.000  0.000  0.000  0.000  0.000
0.236  0.000  0.000  0.000  0.000  0.000
0.200  0.000  0.000  0.000  0.000  0.000
0.166  0.000  0.000  0.000  0.000  0.000
0.211  0.000  0.000  0.000  0.000  0.000
0.193  0.000  0.000  0.000  0.000  0.000
0.086  0.000  0.000  0.000  0.000  0.000
0.023  0.000  0.000  0.000  0.000  0.000
0.041  0.000  0.000  0.000  0.000  0.000
0.074  0.000  0.000  0.000  0.000  0.000
0.072  0.000  0.000  0.000  0.000  0.000
0.075  0.000  0.000  0.000  0.000  0.000
0.098  0.000  0.000  0.000  0.000  0.000
0.115  0.000  0.000  0.000  0.000  0.000
0.128  0.000  0.000  0.000  0.000  0.000
0.147  0.000  0.000  0.000  0.000  0.000
0.161  0.000  0.000  0.000  0.000  0.000
0.178  0.000  0.000  0.000  0.000  0.000
0.179  0.000  0.000  0.000  0.000  0.000
0.178  0.000  0.000  0.000  0.000  0.000
0.179  0.000  0.000  0.000  0.000  0.000
0.184  0.000  0.000  0.000  0.000  0.000
0.190  0.000  0.000  0.000  0.000  0.000
0.191  0.000  0.000  0.000  0.000  0.000
0.192  0.000  0.000  0.000  0.000  0.000
0.194  0.000  0.000  0.000  0.000  0.000
0.206  0.000  0.000  0.000  0.000  0.000
0.219  0.000  0.000  0.000  0.000  0.000
0.216  0.000  0.000  0.000  0.000  0.000
0.233  0.000  0.000  0.000  0.000  0.000
0.248  0.000  0.000  0.000  0.000  0.000
0.216  0.000  0.000  0.000  0.000  0.000
0.196  0.000  0.000  0.000  0.000  0.000
0.173  0.000  0.000  0.000  0.000  0.000
0.166  0.000  0.000  0.000  0.000  0.000
0.157  0.000  0.000  0.000  0.000  0.000
0.121  0.000  0.000  0.000  0.000  0.000
0.099  0.000  0.000  0.000  0.000  0.000
0.084  0.000  0.000  0.000  0.000  0.000
0.073  0.000  0.000  0.000  0.000  0.000
0.050  0.000  0.000  0.000  0.000  0.000
0.032  0.000  0.000  0.000  0.000  0.000
-0.020  0.000  0.000  0.000  0.000  0.000
-0.097  0.000  0.000  0.000  0.000  0.000
-0.134  0.000  0.000  0.000  0.000  0.000
-0.146  0.000  0.000  0.000  0.000  0.000
-0.144  0.000  0.000  0.000  0.000  0.000
-0.138  0.000  0.000  0.000  0.000  0.000
-0.135  0.000  0.000  0.000  0.000  0.000
-0.108  0.000  0.000  0.000  0.000  0.000
-0.064  0.000  0.000  0.000  0.000  0.000
-0.024  0.000  0.000  0.000  0.000  0.000
-0.022  0.000  0.000  0.000  0.000  0.000
0.024  0.000  0.000  0.000  0.000  0.000
0.061  0.000  0.000  0.000  0.000  0.000
0.076  0.000  0.000  0.000  0.000  0.000
0.089  0.000  0.000  0.000  0.000  0.000
0.093  0.000  0.000  0.000  0.000  0.000
0.101  0.000  0.000  0.000  0.000  0.000
0.092  0.000  0.000  0.000  0.000  0.000
0.093  0.000  0.000  0.000  0.000  0.000
0.101  0.000  0.000  0.000  0.000  0.000
0.125  0.000  0.000  0.000  0.000  0.000
0.146  0.000  0.000  0.000  0.000  0.000
0.148  0.000  0.000  0.000  0.000  0.000
0.151  0.000  0.000  0.000  0.000  0.000
0.151  0.000  0.000  0.000  0.000  0.000
0.132  0.000  0.000  0.000  0.000  0.000
0.114  0.000  0.000  0.000  0.000  0.000
0.115  0.000  0.000  0.000  0.000  0.000
0.126  0.000  0.000  0.000  0.000  0.000
0.122  0.000  0.000  0.000  0.000  0.000
0.108  0.000  0.000  0.000  0.000  0.000
0.099  0.000  0.000  0.000  0.000  0.000
0.104  0.000  0.000  0.000  0.000  0.000
0.093  0.000  0.000  0.000  0.000  0.000
0.070  0.000  0.000  0.000  0.000  0.000
0.029  0.000  0.000  0.000  0.000  0.000
0.005  0.000  0.000  0.000  0.000  0.000
-0.029  0.000  0.000  0.000  0.000  0.000
-0.055  0.000  0.000  0.000  0.000  0.000
-0.080  0.000  0.000  0.000  0.000  0.000
-0.101  0.000  0.000  0.000  0.000  0.000
