CAdmittanceControl [2020-12-19-19-35-19]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  InvDyn[N.m]  AccBsd[N.m]  vel_motor[rad / s]
0.086004  -0.000  -0.162  -0.020  0.000  -0.000  -0.000  -24.367
0.087005  -0.000  -0.164  -0.020  0.000  -0.000  -0.000  -24.535
0.088005  -0.000  -0.164  -0.020  0.000  -0.000  -0.000  -24.607
0.089005  -0.000  -0.164  -0.020  0.000  -0.000  -0.000  -24.670
0.090005  -0.000  -0.165  -0.020  0.000  -0.000  -0.000  -24.724
0.091005  -0.000  -0.165  -0.020  0.000  -0.000  -0.000  -24.771
0.092005  -0.000  -0.165  -0.020  0.000  -0.000  -0.000  -24.813
0.093005  -0.000  -0.166  -0.019  0.000  -0.000  -0.000  -24.835
0.094005  -0.000  -0.166  -0.019  0.000  -0.000  -0.000  -24.855
0.095005  -0.000  -0.166  -0.019  0.000  -0.000  -0.000  -24.872
0.096005  -0.000  -0.166  -0.019  0.000  -0.000  -0.000  -24.887
0.097005  -0.000  -0.166  -0.019  0.000  -0.000  -0.000  -24.900
0.098005  0.000  -0.165  -0.018  0.000  -0.000  0.000  -24.805
0.099005  0.000  -0.165  -0.018  0.000  -0.000  0.000  -24.723
0.100005  0.000  -0.164  -0.018  0.000  -0.000  0.000  -24.652
0.101005  0.000  -0.164  -0.018  0.000  -0.000  0.000  -24.590
0.102005  0.000  -0.164  -0.018  0.000  -0.000  0.000  -24.536
0.103005  0.000  -0.162  -0.017  0.000  -0.000  0.000  -24.329
0.104005  0.000  -0.161  -0.017  0.000  -0.000  0.000  -24.150
0.105006  0.000  -0.160  -0.017  0.000  -0.000  0.000  -23.994
0.106006  0.000  -0.159  -0.017  0.000  -0.000  0.000  -23.859
0.107006  0.000  -0.158  -0.017  0.000  -0.000  0.000  -23.741
0.108006  0.000  -0.157  -0.018  0.000  -0.000  0.000  -23.570
0.109006  0.000  -0.156  -0.018  0.000  -0.000  0.000  -23.421
0.110006  0.000  -0.155  -0.018  0.000  -0.000  0.000  -23.292
0.111006  0.000  -0.155  -0.018  0.000  -0.000  0.000  -23.180
0.112006  0.000  -0.154  -0.018  0.000  -0.000  0.000  -23.082
0.113006  0.000  -0.152  -0.022  0.000  -0.000  0.000  -22.757
0.114006  0.000  -0.150  -0.022  0.000  -0.000  0.000  -22.474
0.115006  0.000  -0.148  -0.022  0.000  -0.000  0.000  -22.228
0.116006  0.000  -0.147  -0.022  0.000  -0.000  0.000  -22.015
0.117006  0.000  -0.146  -0.022  0.000  -0.000  0.000  -21.829
0.118006  0.000  -0.143  -0.018  0.000  -0.000  0.000  -21.379
0.119006  0.000  -0.140  -0.018  0.000  -0.000  0.000  -20.988
0.120006  0.000  -0.138  -0.018  0.000  -0.000  0.000  -20.649
0.121006  0.000  -0.136  -0.018  0.000  -0.000  0.000  -20.353
0.122007  0.000  -0.134  -0.018  0.000  -0.000  0.000  -20.097
0.123007  0.000  -0.131  -0.022  0.000  -0.000  0.000  -19.578
0.124007  0.000  -0.128  -0.022  0.000  -0.000  0.000  -19.127
0.125007  0.000  -0.125  -0.022  0.000  -0.000  0.000  -18.735
0.126007  0.000  -0.123  -0.022  0.000  -0.000  0.000  -18.395
0.127007  0.000  -0.121  -0.022  0.000  -0.000  0.000  -18.099
0.128007  0.000  -0.116  -0.019  0.000  -0.000  0.000  -17.423
0.129007  0.000  -0.112  -0.019  0.000  -0.000  0.000  -16.835
0.130007  0.000  -0.109  -0.019  0.000  -0.000  0.000  -16.324
0.131007  0.000  -0.106  -0.019  0.000  -0.000  0.000  -15.880
