qASGD: [2021-12-14-17-58-31]

0.013,-0.568,0.994,-0.890,0.717,0.321
0.019,-0.941,1.614,-1.566,1.229,0.625
0.025,-1.154,1.963,-1.907,1.482,0.753
0.032,-1.319,2.234,-2.173,1.681,0.853
0.039,-1.451,2.458,-2.377,1.842,0.925
0.045,-1.560,2.644,-2.538,1.972,0.977
0.051,-1.656,2.803,-2.675,2.083,1.017
0.058,-1.741,2.942,-2.793,2.184,1.051
0.064,-1.816,3.069,-2.903,2.281,1.086
0.070,-1.878,3.184,-3.004,2.368,1.124
0.076,-1.937,3.288,-3.102,2.443,1.163
0.083,-1.997,3.382,-3.195,2.510,1.196
0.089,-2.057,3.471,-3.285,2.573,1.226
0.095,-2.110,3.555,-3.367,2.631,1.254
0.101,-2.157,3.637,-3.445,2.687,1.286
0.107,-2.200,3.715,-3.520,2.740,1.317
0.114,-2.247,3.790,-3.590,2.794,1.341
0.121,-2.295,3.859,-3.654,2.849,1.356
0.127,-2.339,3.924,-3.714,2.902,1.371
0.134,-2.379,3.989,-3.774,2.956,1.391
0.141,-2.415,4.053,-3.836,3.009,1.418
0.148,-2.448,4.116,-3.899,3.060,1.448
0.156,-2.478,4.178,-3.962,3.106,1.480
0.162,-2.507,4.240,-4.024,3.151,1.513
0.168,-2.534,4.300,-4.083,3.194,1.544
0.174,-2.565,4.358,-4.139,3.235,1.569
0.181,-2.602,4.415,-4.194,3.278,1.588
0.186,-2.637,4.470,-4.246,3.320,1.604
0.193,-2.671,4.526,-4.297,3.361,1.621
0.199,-2.707,4.580,-4.348,3.401,1.637
0.205,-2.745,4.630,-4.399,3.440,1.649
0.404,-2.787,4.677,-4.454,3.478,1.661
0.410,-2.885,4.761,-4.608,3.554,1.717
0.415,-2.933,4.813,-4.673,3.596,1.734
0.423,-2.979,4.865,-4.736,3.639,1.751
0.428,-3.018,4.921,-4.798,3.685,1.774
0.436,-3.044,4.981,-4.856,3.728,1.806
0.441,-3.059,5.045,-4.916,3.770,1.850
0.447,-3.067,5.109,-4.972,3.809,1.899
0.455,-3.072,5.172,-5.025,3.848,1.946
0.460,-3.087,5.235,-5.078,3.889,1.983
0.466,-3.120,5.290,-5.130,3.928,2.002
0.474,-3.168,5.330,-5.183,3.964,2.007
0.479,-3.221,5.360,-5.237,4.002,2.008
0.485,-3.274,5.382,-5.289,4.040,2.007
0.492,-3.326,5.402,-5.340,4.075,2.006
0.499,-3.373,5.433,-5.397,4.108,2.015
0.505,-3.355,5.484,-5.452,4.141,2.088
0.512,-3.310,5.513,-5.503,4.176,2.184
0.518,-3.269,5.548,-5.552,4.211,2.273
0.524,-3.291,5.601,-5.599,4.246,2.298
0.530,-3.346,5.615,-5.645,4.282,2.288
0.536,-3.401,5.613,-5.687,4.318,2.276
0.543,-3.434,5.571,-5.729,4.354,2.284
0.550,-3.405,5.613,-5.774,4.391,2.358
0.556,-3.459,5.620,-5.822,4.425,2.352
0.564,-3.507,5.594,-5.872,4.459,2.353
0.571,-3.459,5.574,-5.921,4.492,2.451
0.577,-3.410,5.557,-5.972,4.523,2.550
0.585,-3.360,5.542,-6.021,4.556,2.649
0.592,-3.312,5.524,-6.069,4.591,2.744
