qASGD: [2021-12-14-17-25-10]

0.028,0.750,0.041,0.759,0.040,0.001
0.033,1.434,0.081,1.347,0.072,0.009
0.039,1.724,0.097,1.631,0.087,0.010
0.046,1.955,0.111,1.859,0.102,0.009
0.051,2.151,0.125,2.055,0.117,0.007
0.058,2.309,0.137,2.210,0.131,0.006
0.063,2.460,0.151,2.349,0.143,0.008
0.071,2.591,0.164,2.466,0.153,0.011
0.078,2.717,0.180,2.575,0.161,0.019
0.083,2.834,0.197,2.675,0.170,0.027
0.088,2.932,0.211,2.764,0.178,0.033
0.094,3.025,0.226,2.852,0.188,0.039
0.101,3.105,0.238,2.930,0.197,0.041
0.108,3.185,0.252,3.008,0.208,0.044
0.113,3.261,0.265,3.079,0.217,0.049
0.119,3.330,0.277,3.143,0.223,0.054
0.126,3.396,0.287,3.203,0.228,0.059
0.133,3.457,0.296,3.259,0.232,0.063
0.139,3.515,0.303,3.315,0.236,0.067
0.146,3.569,0.308,3.369,0.240,0.068
0.153,3.619,0.313,3.422,0.245,0.068
0.160,3.666,0.316,3.473,0.249,0.067
0.166,3.713,0.318,3.522,0.253,0.065
0.173,3.759,0.319,3.569,0.255,0.063
0.180,3.807,0.319,3.615,0.258,0.061
0.187,3.856,0.318,3.660,0.259,0.058
0.192,3.910,0.314,3.704,0.260,0.054
0.199,3.969,0.307,3.748,0.261,0.047
0.206,4.038,0.295,3.792,0.260,0.035
0.214,4.108,0.281,3.835,0.260,0.021
0.221,4.176,0.267,3.878,0.260,0.006
0.500,4.240,0.253,3.921,0.260,-0.006
0.507,4.496,0.158,4.022,0.240,-0.081
0.512,4.566,0.148,4.075,0.239,-0.091
0.518,4.632,0.139,4.125,0.239,-0.100
0.525,4.698,0.128,4.174,0.239,-0.111
0.530,4.760,0.119,4.220,0.239,-0.120
0.536,4.817,0.112,4.265,0.239,-0.127
0.544,4.867,0.109,4.307,0.240,-0.131
0.549,4.913,0.108,4.348,0.243,-0.135
0.556,4.955,0.110,4.390,0.248,-0.138
0.561,4.998,0.112,4.433,0.254,-0.141
0.567,5.040,0.114,4.473,0.258,-0.144
0.574,5.083,0.116,4.514,0.261,-0.146
0.580,5.125,0.117,4.554,0.265,-0.148
0.587,5.167,0.118,4.594,0.268,-0.150
0.594,5.208,0.119,4.636,0.272,-0.153
0.599,5.249,0.120,4.678,0.276,-0.156
0.606,5.288,0.122,4.720,0.280,-0.158
0.612,5.326,0.125,4.762,0.284,-0.159
0.619,5.365,0.130,4.804,0.290,-0.160
0.626,5.405,0.136,4.848,0.296,-0.161
0.633,5.448,0.143,4.891,0.302,-0.159
0.638,5.491,0.150,4.933,0.307,-0.157
0.645,5.530,0.155,4.972,0.310,-0.155
0.651,5.570,0.161,5.012,0.315,-0.154
0.658,5.609,0.164,5.050,0.319,-0.155
0.665,5.652,0.165,5.089,0.323,-0.158
0.672,5.695,0.164,5.127,0.326,-0.162
0.677,5.738,0.165,5.164,0.330,-0.165
0.684,5.777,0.167,5.201,0.333,-0.166
0.690,5.817,0.170,5.239,0.337,-0.167
0.736,5.854,0.173,5.277,0.340,-0.167
0.742,5.923,0.185,5.367,0.357,-0.172
0.750,5.968,0.189,5.416,0.363,-0.174
0.756,6.013,0.193,5.465,0.369,-0.175
0.763,6.057,0.198,5.513,0.375,-0.177
0.770,6.098,0.201,5.558,0.379,-0.178
0.775,6.140,0.202,5.603,0.382,-0.180
0.782,6.184,0.202,5.645,0.384,-0.182
0.787,6.233,0.198,5.689,0.386,-0.188
0.794,6.282,0.193,5.731,0.389,-0.196
0.801,6.337,0.184,5.773,0.392,-0.208
0.807,6.390,0.176,5.814,0.396,-0.220
0.815,6.447,0.166,5.854,0.399,-0.232
0.822,6.502,0.156,5.895,0.400,-0.243
0.828,6.557,0.146,5.936,0.399,-0.253
0.834,6.608,0.138,5.977,0.398,-0.260
0.841,6.662,0.127,6.018,0.396,-0.268
0.847,6.712,0.118,6.058,0.396,-0.277
0.853,6.754,0.115,6.096,0.399,-0.284
0.859,6.793,0.114,6.135,0.404,-0.290
0.866,6.828,0.116,6.174,0.410,-0.294
0.872,6.866,0.120,6.212,0.414,-0.294
0.879,6.905,0.126,6.249,0.417,-0.292
0.886,6.946,0.130,6.285,0.420,-0.289
0.892,6.986,0.133,6.322,0.422,-0.289
0.899,7.024,0.135,6.358,0.426,-0.291
0.905,7.063,0.137,6.396,0.432,-0.295
0.913,7.101,0.139,6.436,0.439,-0.299
0.919,7.139,0.142,6.476,0.446,-0.304
0.925,7.177,0.145,6.514,0.452,-0.308
0.931,7.215,0.148,6.551,0.457,-0.309
0.970,7.256,0.153,6.587,0.461,-0.308
0.979,7.351,0.183,6.651,0.473,-0.290
0.985,7.407,0.194,6.698,0.479,-0.285
0.992,7.460,0.206,6.745,0.487,-0.281
0.999,7.511,0.216,6.791,0.494,-0.278
1.006,7.560,0.226,6.839,0.504,-0.277
1.011,7.609,0.237,6.886,0.513,-0.276
1.018,7.653,0.247,6.929,0.520,-0.273
1.024,7.700,0.259,6.973,0.528,-0.268
1.031,7.744,0.268,7.014,0.534,-0.265
1.037,7.790,0.278,7.057,0.540,-0.262
1.043,7.832,0.284,7.097,0.545,-0.261
1.049,7.872,0.288,7.137,0.549,-0.261
1.055,7.913,0.290,7.176,0.553,-0.263
1.061,7.955,0.290,7.216,0.558,-0.268
1.067,7.995,0.290,7.255,0.563,-0.273
1.074,8.035,0.292,7.293,0.568,-0.276
1.081,8.073,0.296,7.331,0.572,-0.276
1.086,8.114,0.303,7.368,0.576,-0.273
1.092,8.154,0.310,7.405,0.579,-0.269
1.098,8.194,0.317,7.442,0.583,-0.266
1.106,8.233,0.322,7.479,0.587,-0.264
1.113,8.271,0.325,7.517,0.591,-0.265
1.118,8.309,0.327,7.555,0.595,-0.268
1.124,8.347,0.329,7.592,0.600,-0.271
1.130,8.383,0.332,7.631,0.605,-0.273
1.136,8.420,0.338,7.669,0.611,-0.273
1.143,8.456,0.343,7.705,0.616,-0.273
1.149,8.493,0.347,7.742,0.620,-0.273
1.154,8.529,0.350,7.778,0.623,-0.273
1.163,8.567,0.352,7.813,0.626,-0.274
1.202,8.607,0.352,7.850,0.629,-0.277
1.207,8.688,0.341,7.913,0.638,-0.297
