SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
2.839     -1   0.000  0.000  0.000  1.748  1.000  4.560  5.790  1.531  0.020  100000
5.633     -1   0.000  0.000  0.000  2.052  1.000  4.560  5.790  1.531  0.020  100000
4.552      2   0.000  0.000  0.000  0.703  1.000  4.560  5.790  1.531  0.020  100000
2.102      0   0.000  0.000  0.000  -0.057  1.000  4.560  5.790  1.531  0.020  100000
-0.663      0   0.000  0.000  0.000  -0.278  1.000  4.560  5.790  1.531  0.020  100000
-0.594      2   0.000  0.000  0.000  0.873  1.000  4.560  5.790  1.531  0.020  100000
-4.266      3   0.000  0.000  0.000  -0.853  1.000  4.560  5.790  1.531  0.020  100000
-5.179      2   0.000  0.000  0.000  0.125  1.000  4.560  5.790  1.531  0.020  100000
-6.590      2   0.000  0.000  0.000  -0.134  1.000  4.560  5.790  1.531  0.020  100000
-9.709      2   0.000  0.000  0.000  -1.115  1.000  4.560  5.790  1.531  0.020  100000
-11.136      2   0.000  0.000  0.000  -0.528  1.000  4.560  5.790  1.531  0.020  100000
-8.150      0   0.000  0.000  0.000  1.514  1.000  4.560  5.790  1.531  0.020  100000
-14.452      0   0.000  0.000  0.000  -2.744  1.000  4.560  5.790  1.531  0.020  100000
-10.298     -1   0.000  0.000  0.000  1.767  1.000  4.560  5.790  1.531  0.020  100000
-11.269     -1   0.000  0.000  0.000  -0.361  1.000  4.560  5.790  1.531  0.020  100000
-10.190     -1   0.000  0.000  0.000  0.540  1.000  4.560  5.790  1.531  0.020  100000
-11.567      1   0.000  0.000  0.000  -0.524  1.000  4.560  5.790  1.531  0.020  100000
-12.448      4   0.000  0.000  0.000  -0.406  1.000  4.560  5.790  1.531  0.020  100000
-12.184      4   0.000  0.000  0.000  0.138  1.000  4.560  5.790  1.531  0.020  100000
-11.960      4   0.000  0.000  0.000  0.008  1.000  4.560  5.790  1.531  0.020  100000
-10.308      3   0.000  0.000  0.000  0.757  1.000  4.560  5.790  1.531  0.020  100000
-10.269      4   0.000  0.000  0.000  0.186  1.000  4.560  5.790  1.531  0.020  100000
-10.160      5   0.000  0.000  0.000  0.195  1.000  4.560  5.790  1.531  0.020  100000
-10.017      5   0.000  0.000  0.000  0.200  1.000  4.560  5.790  1.531  0.020  100000
-9.290      7   0.000  0.000  0.000  0.473  1.000  4.560  5.790  1.531  0.020  100000
-10.186      5   0.000  0.000  0.000  -0.243  1.000  4.560  5.790  1.531  0.020  100000
-6.180      5   0.000  0.000  0.000  1.929  1.000  4.560  5.790  1.531  0.020  100000
-8.887      6   0.000  0.000  0.000  -0.813  1.000  4.560  5.790  1.531  0.020  100000
-7.610      6   0.000  0.000  0.000  0.881  1.000  4.560  5.790  1.531  0.020  100000
-8.138      8   0.000  0.000  0.000  0.140  1.000  4.560  5.790  1.531  0.020  100000
-9.737      4   0.000  0.000  0.000  -0.426  1.000  4.560  5.790  1.531  0.020  100000
-11.677      1   0.000  0.000  0.000  -0.707  1.000  4.560  5.790  1.531  0.020  100000
-12.223      1   0.000  0.000  0.000  -0.260  1.000  4.560  5.790  1.531  0.020  100000
-11.932      3   0.000  0.000  0.000  0.126  1.000  4.560  5.790  1.531  0.020  100000
-12.212      2   0.000  0.000  0.000  -0.127  1.000  4.560  5.790  1.531  0.020  100000
-10.708      6   0.000  0.000  0.000  0.673  1.000  4.560  5.790  1.531  0.020  100000
-12.422      6   0.000  0.000  0.000  -0.676  1.000  4.560  5.790  1.531  0.020  100000
-11.134      1   0.000  0.000  0.000  0.534  1.000  4.560  5.790  1.531  0.020  100000
-11.962      1   0.000  0.000  0.000  -0.301  1.000  4.560  5.790  1.531  0.020  100000
-10.992      1   0.000  0.000  0.000  0.503  1.000  4.560  5.790  1.531  0.020  100000
-12.280      6   0.000  0.000  0.000  -0.492  1.000  4.560  5.790  1.531  0.020  100000
-10.843     10   0.000  0.000  0.000  0.628  1.000  4.560  5.790  1.531  0.020  100000
