SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-12.868     32   0.000  0.000  0.000  0.159  -0.002  -0.030  -0.013  -0.018
-13.631     30   0.000  0.000  0.000  -0.303  -0.190  -0.128  -0.014  -0.019
-14.971     30   0.000  0.000  0.000  -0.738  -0.069  0.095  -0.015  -0.019
-9.948     31   0.000  0.000  0.000  2.142  0.308  -0.137  -0.014  -0.019
-14.744     31   0.000  0.000  0.000  -2.066  -0.184  0.265  -0.014  -0.019
-12.937     30   0.000  0.000  0.000  0.639  0.025  -0.107  -0.014  -0.018
-12.337     30   0.000  0.000  0.000  0.131  0.125  0.109  -0.013  -0.018
-11.844     29   0.000  0.000  0.000  0.119  0.091  0.076  -0.013  -0.017
-10.659     30   0.000  0.000  0.000  0.518  0.069  -0.034  -0.012  -0.017
-10.047     30   0.000  0.000  0.000  0.280  0.144  0.099  -0.011  -0.017
-10.276     30   0.000  0.000  0.000  -0.101  0.088  0.123  -0.010  -0.016
-10.213     30   0.000  0.000  0.000  0.062  -0.019  -0.026  -0.010  -0.016
-7.391     31   0.000  0.000  0.000  1.318  0.235  -0.031  -0.009  -0.016
-7.679     30   0.000  0.000  0.000  0.172  0.016  -0.011  -0.008  -0.016
-7.922     30   0.000  0.000  0.000  0.185  0.004  -0.025  -0.008  -0.016
-8.603     31   0.000  0.000  0.000  -0.146  0.096  0.144  -0.007  -0.016
-8.509     30   0.000  0.000  0.000  0.261  -0.052  -0.102  -0.007  -0.016
-9.691     30   0.000  0.000  0.000  -0.361  -0.064  0.022  -0.008  -0.016
-8.944     30   0.000  0.000  0.000  0.434  0.052  -0.030  -0.008  -0.016
-8.926     30   0.000  0.000  0.000  0.181  0.006  -0.022  -0.008  -0.016
-9.962     31   0.000  0.000  0.000  -0.164  -0.216  -0.182  -0.009  -0.017
-11.817     31   0.000  0.000  0.000  -0.833  0.016  0.209  -0.009  -0.017
-12.427     30   0.000  0.000  0.000  -0.313  -0.142  -0.073  -0.010  -0.017
-11.487     30   0.000  0.000  0.000  0.325  0.023  -0.038  -0.010  -0.017
-13.079     30   0.000  0.000  0.000  -0.717  -0.187  -0.033  -0.011  -0.017
-13.017     30   0.000  0.000  0.000  -0.041  -0.121  -0.112  -0.012  -0.018
-12.083     31   0.000  0.000  0.000  0.254  0.139  0.099  -0.012  -0.018
-12.422     32   0.000  0.000  0.000  -0.080  -0.176  -0.161  -0.012  -0.018
-12.980     31   0.000  0.000  0.000  -0.379  0.064  0.158  -0.013  -0.018
-12.322     30   0.000  0.000  0.000  0.288  -0.095  -0.157  -0.013  -0.018
-12.225     31   0.000  0.000  0.000  0.003  0.042  0.050  -0.013  -0.018
-11.414     30   0.000  0.000  0.000  0.433  -0.018  -0.106  -0.013  -0.019
-12.624     30   0.000  0.000  0.000  -0.526  -0.001  0.121  -0.013  -0.018
-9.527     30   0.000  0.000  0.000  1.445  0.165  -0.134  -0.012  -0.019
-12.349     30   0.000  0.000  0.000  -1.158  -0.028  0.232  -0.012  -0.018
-11.542     30   0.000  0.000  0.000  0.391  -0.047  -0.128  -0.012  -0.018
-10.423     30   0.000  0.000  0.000  0.592  0.065  -0.053  -0.012  -0.018
-10.694     30   0.000  0.000  0.000  -0.077  0.149  0.183  -0.011  -0.018
-9.779     30   0.000  0.000  0.000  0.586  -0.007  -0.127  -0.011  -0.018
-10.640     30   0.000  0.000  0.000  -0.200  -0.024  0.028  -0.011  -0.018
-11.265     30   0.000  0.000  0.000  -0.205  0.010  0.064  -0.011  -0.018
-10.194     30   0.000  0.000  0.000  0.561  0.057  -0.054  -0.010  -0.018
-12.615     30   0.000  0.000  0.000  -1.055  -0.072  0.164  -0.011  -0.017
-10.013     30   0.000  0.000  0.000  1.145  0.094  -0.142  -0.010  -0.017
-10.463     31   0.000  0.000  0.000  -0.014  -0.053  -0.043  -0.010  -0.018
-11.440     30   0.000  0.000  0.000  -0.365  0.002  0.091  -0.010  -0.018
-10.804     30   0.000  0.000  0.000  0.303  0.057  0.003  -0.010  -0.018
-11.289     30   0.000  0.000  0.000  -0.128  -0.063  -0.029  -0.010  -0.018
-11.060     31   0.000  0.000  0.000  0.082  0.083  0.079  -0.010  -0.017
-11.807     30   0.000  0.000  0.000  -0.312  -0.072  0.001  -0.010  -0.017
-10.118     30   0.000  0.000  0.000  0.704  0.150  0.013  -0.010  -0.017
-10.155     29   0.000  0.000  0.000  0.199  -0.117  -0.158  -0.010  -0.018
-12.919     30   0.000  0.000  0.000  -1.217  -0.085  0.186  -0.010  -0.017
