SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
-12.257     31   0.000  0.000  0.000  -0.327  1.000  4.560  5.790  1.531  0.020  100000
-9.329     30   0.000  0.000  0.000  1.277  1.000  4.560  5.790  1.531  0.020  100000
-11.293     30   0.000  0.000  0.000  -0.667  1.000  4.560  5.790  1.531  0.020  100000
-11.632     30   0.000  0.000  0.000  -0.147  1.000  4.560  5.790  1.531  0.020  100000
-11.255     30   0.000  0.000  0.000  0.211  1.000  4.560  5.790  1.531  0.020  100000
-11.090     32   0.000  0.000  0.000  0.128  1.000  4.560  5.790  1.531  0.020  100000
-9.478     32   0.000  0.000  0.000  0.782  1.000  4.560  5.790  1.531  0.020  100000
-13.696     33   0.000  0.000  0.000  -1.868  1.000  4.560  5.790  1.531  0.020  100000
-9.784     32   0.000  0.000  0.000  1.669  1.000  4.560  5.790  1.531  0.020  100000
-11.612     32   0.000  0.000  0.000  -0.782  1.000  4.560  5.790  1.531  0.020  100000
-11.172     33   0.000  0.000  0.000  0.224  1.000  4.560  5.790  1.531  0.020  100000
-10.532     31   0.000  0.000  0.000  0.269  1.000  4.560  5.790  1.531  0.020  100000
-10.764     31   0.000  0.000  0.000  0.001  1.000  4.560  5.790  1.531  0.020  100000
-11.084     31   0.000  0.000  0.000  -0.018  1.000  4.560  5.790  1.531  0.020  100000
-10.974     32   0.000  0.000  0.000  0.050  1.000  4.560  5.790  1.531  0.020  100000
-12.639     32   0.000  0.000  0.000  -0.652  1.000  4.560  5.790  1.531  0.020  100000
-11.514     32   0.000  0.000  0.000  0.559  1.000  4.560  5.790  1.531  0.020  100000
-10.834     33   0.000  0.000  0.000  0.389  1.000  4.560  5.790  1.531  0.020  100000
-11.406     32   0.000  0.000  0.000  -0.078  1.000  4.560  5.790  1.531  0.020  100000
-11.658     30   0.000  0.000  0.000  0.008  1.000  4.560  5.790  1.531  0.020  100000
-11.224     30   0.000  0.000  0.000  0.303  1.000  4.560  5.790  1.531  0.020  100000
-11.909     31   0.000  0.000  0.000  -0.214  1.000  4.560  5.790  1.531  0.020  100000
-12.732     32   0.000  0.000  0.000  -0.324  1.000  4.560  5.790  1.531  0.020  100000
-11.918     31   0.000  0.000  0.000  0.342  1.000  4.560  5.790  1.531  0.020  100000
-11.385     31   0.000  0.000  0.000  0.145  1.000  4.560  5.790  1.531  0.020  100000
-10.032     30   0.000  0.000  0.000  0.757  1.000  4.560  5.790  1.531  0.020  100000
-12.449     31   0.000  0.000  0.000  -1.099  1.000  4.560  5.790  1.531  0.020  100000
-10.674     31   0.000  0.000  0.000  0.788  1.000  4.560  5.790  1.531  0.020  100000
-10.419     30   0.000  0.000  0.000  0.152  1.000  4.560  5.790  1.531  0.020  100000
-10.214     31   0.000  0.000  0.000  0.228  1.000  4.560  5.790  1.531  0.020  100000
-11.349     32   0.000  0.000  0.000  -0.421  1.000  4.560  5.790  1.531  0.020  100000
-7.894     32   0.000  0.000  0.000  1.663  1.000  4.560  5.790  1.531  0.020  100000
-12.306     30   0.000  0.000  0.000  -1.697  1.000  4.560  5.790  1.531  0.020  100000
-11.413     32   0.000  0.000  0.000  0.382  1.000  4.560  5.790  1.531  0.020  100000
-11.650     31   0.000  0.000  0.000  -0.064  1.000  4.560  5.790  1.531  0.020  100000
-10.582     33   0.000  0.000  0.000  0.518  1.000  4.560  5.790  1.531  0.020  100000
-10.517     30   0.000  0.000  0.000  0.156  1.000  4.560  5.790  1.531  0.020  100000
-11.292     30   0.000  0.000  0.000  -0.207  1.000  4.560  5.790  1.531  0.020  100000
-14.689     30   0.000  0.000  0.000  -1.587  1.000  4.560  5.790  1.531  0.020  100000
-11.561     30   0.000  0.000  0.000  1.183  1.000  4.560  5.790  1.531  0.020  100000
-13.960     31   0.000  0.000  0.000  -1.010  1.000  4.560  5.790  1.531  0.020  100000
-10.290     31   0.000  0.000  0.000  1.591  1.000  4.560  5.790  1.531  0.020  100000
-12.295     32   0.000  0.000  0.000  -0.834  1.000  4.560  5.790  1.531  0.020  100000
-11.129     32   0.000  0.000  0.000  0.574  1.000  4.560  5.790  1.531  0.020  100000
-11.267     32   0.000  0.000  0.000  -0.007  1.000  4.560  5.790  1.531  0.020  100000
-11.738     32   0.000  0.000  0.000  -0.190  1.000  4.560  5.790  1.531  0.020  100000
-12.796     31   0.000  0.000  0.000  -0.544  1.000  4.560  5.790  1.531  0.020  100000
-10.027     30   0.000  0.000  0.000  1.234  1.000  4.560  5.790  1.531  0.020  100000
-11.914     30   0.000  0.000  0.000  -0.768  1.000  4.560  5.790  1.531  0.020  100000
-9.465     30   0.000  0.000  0.000  1.096  1.000  4.560  5.790  1.531  0.020  100000
-10.555     30   0.000  0.000  0.000  -0.229  1.000  4.560  5.790  1.531  0.020  100000
-11.822     32   0.000  0.000  0.000  -0.515  1.000  4.560  5.790  1.531  0.020  100000
-11.530     32   0.000  0.000  0.000  0.158  1.000  4.560  5.790  1.531  0.020  100000
-11.535     30   0.000  0.000  0.000  0.036  1.000  4.560  5.790  1.531  0.020  100000
-11.432     32   0.000  0.000  0.000  0.153  1.000  4.560  5.790  1.531  0.020  100000
-11.128     31   0.000  0.000  0.000  0.130  1.000  4.560  5.790  1.531  0.020  100000
-10.876     31   0.000  0.000  0.000  0.332  1.000  4.560  5.790  1.531  0.020  100000
-9.183     30   0.000  0.000  0.000  0.855  1.000  4.560  5.790  1.531  0.020  100000
-11.850     30   0.000  0.000  0.000  -0.795  1.000  4.560  5.790  1.531  0.020  100000
-11.889     31   0.000  0.000  0.000  0.009  1.000  4.560  5.790  1.531  0.020  100000
-11.351     32   0.000  0.000  0.000  0.306  1.000  4.560  5.790  1.531  0.020  100000
-12.102     32   0.000  0.000  0.000  -0.245  1.000  4.560  5.790  1.531  0.020  100000
-12.619     32   0.000  0.000  0.000  -0.264  1.000  4.560  5.790  1.531  0.020  100000
-12.118     32   0.000  0.000  0.000  0.216  1.000  4.560  5.790  1.531  0.020  100000
-13.191     31   0.000  0.000  0.000  -0.488  1.000  4.560  5.790  1.531  0.020  100000
-13.510     31   0.000  0.000  0.000  -0.422  1.000  4.560  5.790  1.531  0.020  100000
-10.779     31   0.000  0.000  0.000  1.179  1.000  4.560  5.790  1.531  0.020  100000
-10.801     32   0.000  0.000  0.000  0.048  1.000  4.560  5.790  1.531  0.020  100000
-11.447     31   0.000  0.000  0.000  -0.181  1.000  4.560  5.790  1.531  0.020  100000
-10.910     32   0.000  0.000  0.000  0.283  1.000  4.560  5.790  1.531  0.020  100000
-12.329     32   0.000  0.000  0.000  -0.602  1.000  4.560  5.790  1.531  0.020  100000
-10.957     33   0.000  0.000  0.000  0.655  1.000  4.560  5.790  1.531  0.020  100000
-12.495     32   0.000  0.000  0.000  -0.627  1.000  4.560  5.790  1.531  0.020  100000
-11.315     32   0.000  0.000  0.000  0.455  1.000  4.560  5.790  1.531  0.020  100000
-12.323     31   0.000  0.000  0.000  -0.376  1.000  4.560  5.790  1.531  0.020  100000
-11.001     31   0.000  0.000  0.000  0.551  1.000  4.560  5.790  1.531  0.020  100000
-11.468     32   0.000  0.000  0.000  -0.179  1.000  4.560  5.790  1.531  0.020  100000
-11.432     32   0.000  0.000  0.000  0.065  1.000  4.560  5.790  1.531  0.020  100000
-11.465     32   0.000  0.000  0.000  0.023  1.000  4.560  5.790  1.531  0.020  100000
-9.718     32   0.000  0.000  0.000  0.841  1.000  4.560  5.790  1.531  0.020  100000
-11.874     32   0.000  0.000  0.000  -0.838  1.000  4.560  5.790  1.531  0.020  100000
-9.760     32   0.000  0.000  0.000  0.962  1.000  4.560  5.790  1.531  0.020  100000
-11.241     32   0.000  0.000  0.000  -0.544  1.000  4.560  5.790  1.531  0.020  100000
-10.399     34   0.000  0.000  0.000  0.447  1.000  4.560  5.790  1.531  0.020  100000
-11.404     31   0.000  0.000  0.000  -0.327  1.000  4.560  5.790  1.531  0.020  100000
