SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-1.418      0   0.000  0.000  0.000  0.791  0.378  0.243  0.009  -0.004
-4.656     -2   0.000  0.000  0.000  -1.307  -0.366  -0.085  0.008  -0.004
-6.731     -1   0.000  0.000  0.000  -1.038  -0.329  -0.108  0.006  -0.004
-14.940     -2   0.000  0.000  0.000  -4.085  -0.766  0.093  0.001  -0.004
-5.823     -2   0.000  0.000  0.000  2.676  0.983  0.459  0.003  -0.002
-10.091     -4   0.000  0.000  0.000  -2.740  -0.122  0.476  0.005  0.001
-9.946     -2   0.000  0.000  0.000  -1.223  0.005  0.275  0.005  0.004
1.537     -1   0.000  0.000  0.000  4.089  0.661  -0.193  0.008  0.005
-4.654     -1   0.000  0.000  0.000  -2.561  -0.982  -0.472  0.006  0.002
0.929      0   0.000  0.000  0.000  2.050  0.423  0.004  0.005  0.001
-3.308     -1   0.000  0.000  0.000  -1.631  -0.603  -0.274  0.003  -0.001
-7.171     -1   0.000  0.000  0.000  -2.149  -0.157  0.307  0.001  -0.001
-7.280     -1   0.000  0.000  0.000  -0.802  -0.036  0.137  -0.000  0.001
4.716     -1   0.000  0.000  0.000  4.648  0.979  0.019  0.004  0.001
7.176     -1   0.000  0.000  0.000  1.931  -0.253  -0.682  0.005  -0.001
10.989     -1   0.000  0.000  0.000  2.141  0.965  0.564  0.010  -0.001
0.163     -4   0.000  0.000  0.000  -3.832  -0.885  -0.084  0.009  -0.000
-10.248     -2   0.000  0.000  0.000  -5.084  -0.531  0.556  0.005  0.002
6.986     -4   0.000  0.000  0.000  7.175  0.726  -0.800  0.006  0.001
-2.133     -4   0.000  0.000  0.000  -3.684  -0.412  0.378  0.005  0.001
7.760      0   0.000  0.000  0.000  4.487  0.565  -0.377  0.007  -0.001
5.693      0   0.000  0.000  0.000  -0.040  -0.139  -0.125  0.008  -0.002
10.732     -1   0.000  0.000  0.000  2.695  0.877  0.353  0.012  -0.001
4.711     -1   0.000  0.000  0.000  -1.335  -0.782  -0.517  0.011  -0.003
0.821     -3   0.000  0.000  0.000  -1.103  -0.238  0.005  0.008  -0.004
-2.389     -3   0.000  0.000  0.000  -1.122  -0.244  0.001  0.006  -0.004
3.629     -2   0.000  0.000  0.000  3.049  0.229  -0.411  0.006  -0.006
